rapid	18.453125	1712931743.94994354248046875	1712931743.97032546997070312
rapid	20.3125	1712931743.97045254707336426	1712931743.97866797447204590
rapid	17.609375	1712931743.97879409790039062	1712931743.98142766952514648
rapid	18.078125	1712931743.98153090476989746	1712931743.98416519165039062
rapid	42.125	1712931743.98427534103393555	1712931743.98693633079528809
rapid	18.453125	1712931743.98705172538757324	1712931743.98962783813476562
rapid	18.921875	1712931743.98973417282104492	1712931743.99239826202392578
rapid	17.3125	1712931743.99252009391784668	1712931743.99521875381469727
rapid	26.140625	1712931743.99532318115234375	1712931743.99799442291259766
rapid	17.328125	1712931743.99809885025024414	1712931744.00071382522583008
rapid	17.265625	1712931744.00082206726074219	1712931744.00350618362426758
rapid	17.375	1712931744.00360846519470215	1712931744.00631690025329590
rapid	17.28125	1712931744.00642371177673340	1712931744.00899052619934082
rapid	17.296875	1712931744.00909996032714844	1712931744.01171517372131348
rapid	18.78125	1712931744.01182866096496582	1712931744.01443076133728027
rapid	18.375	1712931744.01453852653503418	1712931744.01720118522644043
rapid	17.578125	1712931744.01732254028320312	1712931744.01999163627624512
rapid	17.28125	1712931744.02011346817016602	1712931744.02272796630859375
rapid	18.40625	1712931744.02285337448120117	1712931744.02544379234313965
rapid	17.59375	1712931744.02556514739990234	1712931744.02820420265197754
rapid	6.82421875	1712931776.48318362236022949	1712931776.50388836860656738
rapid	7.18359375	1712931776.50400900840759277	1712931776.51250672340393066
rapid	6.93359375	1712931776.51262140274047852	1712931776.51533627510070801
rapid	6.94140625	1712931776.51545739173889160	1712931776.51808595657348633
rapid	17.109375	1712931776.51820635795593262	1712931776.52094101905822754
rapid	7.171875	1712931776.52106046676635742	1712931776.52363586425781250
rapid	7.30078125	1712931776.52373790740966797	1712931776.52641248703002930
rapid	6.8515625	1712931776.52652740478515625	1712931776.52916383743286133
rapid	8.1328125	1712931776.52927589416503906	1712931776.53190469741821289
rapid	6.8203125	1712931776.53201508522033691	1712931776.53462743759155273
rapid	6.8046875	1712931776.53473806381225586	1712931776.53737759590148926
rapid	6.859375	1712931776.53749752044677734	1712931776.54010295867919922
rapid	6.80859375	1712931776.54021620750427246	1712931776.54289817810058594
rapid	6.85546875	1712931776.54300665855407715	1712931776.54577589035034180
rapid	6.8125	1712931776.54589152336120605	1712931776.54850411415100098
rapid	6.80078125	1712931776.54861593246459961	1712931776.55131459236145020
rapid	6.84765625	1712931776.55143451690673828	1712931776.55404162406921387
rapid	6.80078125	1712931776.55415964126586914	1712931776.55677151679992676
rapid	6.92578125	1712931776.55688619613647461	1712931776.55984425544738770
rapid	6.8515625	1712931776.55997157096862793	1712931776.56289815902709961
rapid	52.3125	1712931808.75349569320678711	1712931808.77410078048706055
rapid	63.75	1712931808.77421617507934570	1712931808.78245425224304199
rapid	47.0625	1712931808.78258085250854492	1712931808.78520703315734863
rapid	48.1875	1712931808.78531575202941895	1712931808.78796434402465820
rapid	113.125	1712931808.78807306289672852	1712931808.79071164131164551
rapid	46.3125	1712931808.79083132743835449	1712931808.79337573051452637
rapid	47.90625	1712931808.79349851608276367	1712931808.79616761207580566
rapid	46.375	1712931808.79627299308776855	1712931808.79886364936828613
rapid	109.5625	1712931808.79897165298461914	1712931808.80148768424987793
rapid	46.34375	1712931808.80159473419189453	1712931808.80417990684509277
rapid	46.1875	1712931808.80429029464721680	1712931808.80686950683593750
rapid	46.375	1712931808.80697631835937500	1712931808.80957341194152832
rapid	46.28125	1712931808.80967807769775391	1712931808.81222915649414062
rapid	46.46875	1712931808.81233787536621094	1712931808.81490278244018555
rapid	47.96875	1712931808.81502389907836914	1712931808.81761956214904785
rapid	52.15625	1712931808.81772184371948242	1712931808.82036304473876953
rapid	46.96875	1712931808.82047176361083984	1712931808.82309365272521973
rapid	46.21875	1712931808.82319760322570801	1712931808.82581615447998047
rapid	52.1875	1712931808.82593846321105957	1712931808.82852864265441895
rapid	47.0	1712931808.82864975929260254	1712931808.83126926422119141
rapid	340.75	1712931841.12328886985778809	1712931841.14371395111083984
rapid	434.0	1712931841.14382362365722656	1712931841.15223479270935059
rapid	301.75	1712931841.15235018730163574	1712931841.15501260757446289
rapid	346.5	1712931841.15512490272521973	1712931841.15772962570190430
rapid	706.5	1712931841.15783953666687012	1712931841.16048765182495117
rapid	358.0	1712931841.16059827804565430	1712931841.16325736045837402
rapid	358.25	1712931841.16337060928344727	1712931841.16598892211914062
rapid	340.5	1712931841.16610217094421387	1712931841.16877245903015137
rapid	702.5	1712931841.16888523101806641	1712931841.17151284217834473
rapid	306.0	1712931841.17162418365478516	1712931841.17432641983032227
rapid	328.0	1712931841.17443990707397461	1712931841.17716193199157715
rapid	299.75	1712931841.17727708816528320	1712931841.17991137504577637
rapid	299.25	1712931841.18002533912658691	1712931841.18266510963439941
rapid	330.25	1712931841.18277573585510254	1712931841.18543720245361328
rapid	307.25	1712931841.18555092811584473	1712931841.18824863433837891
rapid	338.5	1712931841.18836021423339844	1712931841.19099569320678711
rapid	301.25	1712931841.19110703468322754	1712931841.19372916221618652
rapid	338.25	1712931841.19383978843688965	1712931841.19653272628784180
rapid	343.25	1712931841.19664740562438965	1712931841.19928050041198730
rapid	340.5	1712931841.19939231872558594	1712931841.20200800895690918
rapid	861.0	1712931873.46161699295043945	1712931873.48182702064514160
rapid	1114.0	1712931873.48195028305053711	1712931873.49009466171264648
rapid	782.0	1712931873.49021053314208984	1712931873.49276542663574219
rapid	889.0	1712931873.49287199974060059	1712931873.49542498588562012
rapid	1772.0	1712931873.49553990364074707	1712931873.49814248085021973
