  naif_ite;         10;      10000;       4.412e+10;           3.862;           3.874;           3.863;           0.002 ( 0.052 %)
  naif_ite;         10;      10000;       4.506e+15;           3.863;           3.872;           3.865;           0.002 ( 0.042 %)
  naif_ite;         10;      10000;       4.553e+19;           3.873;           3.885;           3.875;           0.002 ( 0.051 %)
  naif_ite;         10;      10000;       4.636e+26;           3.861;           3.871;           3.863;           0.002 ( 0.043 %)
  naif_ite;         10;      10000;       4.743e+08;           3.863;           3.876;           3.864;           0.002 ( 0.058 %)
  naif_ite;         10;      10000;       4.844e+15;           3.862;           3.877;           3.864;           0.002 ( 0.064 %)
  naif_ite;         10;      10000;       4.984e+08;           3.862;           3.874;           3.863;           0.002 ( 0.053 %)
  naif_ite;         10;      10000;       5.068e+21;           3.861;           3.873;           3.863;           0.002 ( 0.053 %)
  naif_ite;         10;      10000;       5.357e+21;           3.875;           3.886;           3.876;           0.002 ( 0.048 %)
  naif_ite;         10;      10000;       5.415e+09;           3.861;           3.872;           3.863;           0.002 ( 0.050 %)
  naif_ite;         10;      10000;       5.418e+13;           3.862;           3.875;           3.864;           0.002 ( 0.059 %)
  naif_ite;         10;      10000;       5.927e+25;           3.862;           4.194;           3.873;           0.058 ( 1.486 %)
  naif_ite;         10;      10000;       5.992e+12;           3.863;           3.874;           3.864;           0.002 ( 0.052 %)
  naif_ite;         10;      10000;       6.147e+11;           3.861;           3.888;           3.863;           0.005 ( 0.117 %)
  naif_ite;         10;      10000;       6.776e+17;           3.861;           3.874;           3.862;           0.002 ( 0.058 %)
  naif_ite;         10;      10000;       6.786e+25;           3.861;           3.871;           3.862;           0.002 ( 0.046 %)
  naif_ite;         10;      10000;       6.883e+16;           3.862;           3.873;           3.864;           0.002 ( 0.049 %)
  naif_ite;         10;      10000;       6.960e+18;           3.862;           3.876;           3.864;           0.002 ( 0.061 %)
  naif_ite;         10;      10000;       7.024e+16;           3.861;           3.874;           3.862;           0.002 ( 0.060 %)
  naif_ite;         10;      10000;       7.047e+10;           3.863;           3.880;           3.865;           0.003 ( 0.074 %)
  naif_ite;         10;      10000;       7.211e+12;           3.863;           3.873;           3.865;           0.002 ( 0.043 %)
  naif_ite;         10;      10000;       7.327e+18;           3.862;           3.875;           3.864;           0.002 ( 0.056 %)
  naif_ite;         10;      10000;       7.562e+14;           3.862;           3.873;           3.863;           0.002 ( 0.050 %)
  naif_ite;         10;      10000;       7.648e+13;           3.862;           3.881;           3.866;           0.005 ( 0.132 %)
  naif_ite;         10;      10000;       7.713e+15;           3.861;           3.874;           3.863;           0.002 ( 0.055 %)
  naif_ite;         10;      10000;       7.931e+09;           3.861;           4.382;           3.880;           0.090 ( 2.324 %)
  naif_ite;         10;      10000;       8.095e+12;           3.863;           3.873;           3.864;           0.002 ( 0.044 %)
  naif_ite;         10;      10000;       8.180e+20;           3.862;           3.870;           3.863;           0.002 ( 0.043 %)
  naif_ite;         10;      10000;       8.221e+14;           3.863;           3.874;           3.865;           0.002 ( 0.063 %)
  naif_ite;         10;      10000;       8.367e+12;           3.861;           3.873;           3.863;           0.002 ( 0.054 %)
  naif_ite;         10;      10000;       9.038e+23;           3.862;           3.873;           3.863;           0.002 ( 0.051 %)
  naif_ite;         10;      10000;       9.090e+12;           3.863;           3.874;           3.865;           0.002 ( 0.050 %)
  naif_ite;         10;      10000;       9.283e+25;           3.861;           3.874;           3.862;           0.002 ( 0.059 %)
  naif_ite;         10;      10000;       9.295e+12;           3.864;           3.872;           3.865;           0.001 ( 0.039 %)
  naif_ite;         10;      10000;       1.994e+22;           4.249;           4.617;           4.262;           0.064 ( 1.497 %)
  naif_ite;         10;      10000;       2.089e+18;           3.862;           7.879;           4.052;           0.771 (19.039 %)
  naif_ite;         10;      10000;       2.182e+15;           4.246;           4.635;           4.434;           0.195 ( 4.393 %)
  naif_ite;         10;      10000;       4.927e+16;           3.861;           8.296;           4.035;           0.782 (19.380 %)
  naif_ite;         10;      10000;       5.572e+12;           4.249;           4.634;           4.264;           0.067 ( 1.564 %)
  naif_ite;         10;      10000;       6.186e+13;           4.250;           4.636;           4.611;           0.093 ( 2.016 %)
