     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.174e+10;          32.007;          43.706;          35.328;           3.297 ( 9.333 %)
  naif_ite;         10;      10000;       3.993e+17;           6.566;          14.642;           9.525;           1.785 (18.742 %)
  rapi_rec;         10;      10000;       2.344e+18;          16.843;          22.518;          18.457;           1.403 ( 7.603 %)
  rapi_ite;         10;      10000;       2.831e+12;           7.811;          13.925;           9.373;           1.401 (14.949 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       3.523e+13;          32.815;          41.047;          36.533;           2.522 ( 6.903 %)
  naif_ite;         10;      10000;       8.873e+41;           6.564;          15.683;           9.723;           2.265 (23.293 %)
  rapi_rec;         10;      10000;       2.497e+16;          17.645;          28.084;          21.078;           2.729 (12.948 %)
  rapi_ite;         10;      10000;       9.857e+13;           7.724;          14.258;           9.579;           1.946 (20.316 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.270e+20;          33.041;          47.691;          36.006;           3.408 ( 9.464 %)
  naif_ite;         10;      10000;       2.034e+12;           6.563;          10.332;           7.460;           1.063 (14.244 %)
  rapi_rec;         10;      10000;       1.375e+12;          16.940;          26.516;          20.047;           2.861 (14.271 %)
  rapi_ite;         10;      10000;       7.597e+11;           7.723;          17.173;          10.664;           2.806 (26.313 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       4.551e+19;          32.923;          47.720;          39.353;           4.149 (10.542 %)
  naif_ite;         10;      10000;       5.018e+21;           6.564;          12.747;           7.343;           1.289 (17.554 %)
  rapi_rec;         10;      10000;       4.762e+12;          16.910;          26.384;          19.753;           2.890 (14.634 %)
  rapi_ite;         10;      10000;       9.107e+21;           7.725;          17.200;          10.150;           2.310 (22.764 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       5.917e+18;          32.007;          46.162;          36.185;           4.207 (11.626 %)
  naif_ite;         10;      10000;       3.760e+15;           6.564;           9.440;           7.318;           0.753 (10.284 %)
  rapi_rec;         10;      10000;       1.526e+14;          16.846;          27.588;          19.656;           2.405 (12.235 %)
  rapi_ite;         10;      10000;       3.269e+20;           7.721;          13.424;           8.654;           1.489 (17.203 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       7.966e+07;          32.010;          44.352;          36.092;           3.163 ( 8.763 %)
  naif_ite;         10;      10000;       3.485e+21;           6.563;           9.934;           6.863;           0.740 (10.787 %)
  rapi_rec;         10;      10000;       7.321e+07;          16.977;          23.984;          18.902;           1.779 ( 9.413 %)
  rapi_ite;         10;      10000;       3.094e+13;           7.721;          15.969;          10.715;           2.473 (23.076 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.650e+18;          33.167;          52.354;          39.104;           5.238 (13.394 %)
  naif_ite;         10;      10000;       7.715e+20;           6.564;          11.751;           7.566;           1.089 (14.387 %)
  rapi_rec;         10;      10000;       2.067e+10;          17.050;          20.575;          18.076;           1.079 ( 5.971 %)
  rapi_ite;         10;      10000;       3.192e+22;           7.721;          20.260;          10.014;           3.165 (31.605 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.507e+19;          32.041;          49.002;          36.603;           3.805 (10.395 %)
  naif_ite;         10;      10000;       9.451e+11;           6.564;          16.369;           8.377;           2.561 (30.573 %)
  rapi_rec;         10;      10000;       3.640e+27;          17.038;          27.290;          19.267;           2.357 (12.232 %)
  rapi_ite;         10;      10000;       1.871e+14;           7.729;          14.588;           9.611;           1.799 (18.722 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       3.897e+16;          32.007;          42.482;          34.756;           2.573 ( 7.404 %)
  naif_ite;         10;      10000;       8.830e+12;           7.296;          13.809;           9.487;           1.634 (17.222 %)
  rapi_rec;         10;      10000;       4.378e+20;          16.919;          25.457;          18.900;           1.861 ( 9.847 %)
  rapi_ite;         10;      10000;       3.278e+18;           7.720;          14.136;           9.331;           1.879 (20.136 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       7.547e+11;          32.007;          39.942;          34.487;           2.230 ( 6.465 %)
  naif_ite;         10;      10000;       9.091e+13;           6.565;          12.573;           8.631;           1.899 (21.997 %)
  rapi_rec;         10;      10000;       9.091e+12;          16.973;          27.046;          19.582;           2.988 (15.261 %)
  rapi_ite;         10;      10000;       3.008e+12;           7.721;          14.252;           8.771;           1.394 (15.898 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.975e+17;          32.007;          46.357;          34.913;           3.017 ( 8.640 %)
  naif_ite;         10;      10000;       1.377e+17;           6.563;          10.829;           7.614;           1.361 (17.879 %)
  rapi_rec;         10;      10000;       1.938e+21;          16.845;          31.259;          20.886;           3.478 (16.654 %)
  rapi_ite;         10;      10000;       2.550e+10;           7.721;          16.550;           9.177;           1.768 (19.270 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.651e+25;          32.629;          46.389;          36.156;           3.637 (10.059 %)
  naif_ite;         10;      10000;       5.085e+25;           6.564;          11.766;           7.118;           1.209 (16.990 %)
  rapi_rec;         10;      10000;       3.933e+10;          16.973;          26.016;          20.237;           2.955 (14.602 %)
  rapi_ite;         10;      10000;       1.745e+16;           7.724;          18.227;           9.982;           2.987 (29.928 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
