     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_ite;         10;      10000;       3.459e+15;           5.406;          10.389;           6.148;           0.993 (16.159 %)
  rapi_rec;         10;      10000;       2.354e+12;          13.502;          15.240;          14.964;           0.379 ( 2.534 %)
  rapi_ite;         10;      10000;       2.355e+13;           7.333;           7.666;           7.346;           0.058 ( 0.783 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.003e+14;           6.177;           7.724;           6.291;           0.260 ( 4.126 %)
  naif_ite;         10;      10000;       9.493e+24;           5.409;          13.717;           7.773;           2.170 (27.915 %)
  rapi_rec;         10;      10000;       2.356e+23;          15.044;          17.979;          15.245;           0.587 ( 3.848 %)
  rapi_ite;         10;      10000;       2.101e+17;           7.335;          13.488;           8.930;           1.991 (22.296 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.583e+18;           6.176;           6.285;           6.181;           0.019 ( 0.303 %)
  naif_ite;         10;      10000;       4.132e+11;           5.508;          10.592;           6.305;           0.897 (14.223 %)
  rapi_rec;         10;      10000;       2.239e+13;          14.875;          18.871;          15.710;           0.933 ( 5.939 %)
  rapi_ite;         10;      10000;       2.030e+20;           6.951;          14.896;           8.595;           1.951 (22.695 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       3.093e+09;           6.176;           6.205;           6.179;           0.005 ( 0.078 %)
  naif_ite;         10;      10000;       7.048e+11;           5.410;          17.192;           7.306;           2.489 (34.062 %)
  rapi_rec;         10;      10000;       1.202e+17;          13.538;          34.291;          17.154;           4.188 (24.414 %)
  rapi_ite;         10;      10000;       3.401e+26;           7.335;           8.038;           7.363;           0.123 ( 1.669 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.902e+12;           6.177;           7.271;           6.230;           0.202 ( 3.240 %)
  naif_ite;         10;      10000;       1.522e+18;           5.407;          12.047;           6.332;           1.879 (29.678 %)
  rapi_rec;         10;      10000;       8.053e+16;          15.043;          27.780;          18.601;           3.704 (19.914 %)
  rapi_ite;         10;      10000;       3.276e+17;           7.335;          14.686;           9.209;           2.041 (22.161 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.629e+07;           7.632;          21.082;          14.239;           3.323 (23.335 %)
  naif_ite;         10;      10000;       5.569e+12;           6.624;          20.580;          11.889;           3.438 (28.917 %)
  rapi_rec;         10;      10000;       1.318e+14;          14.722;          25.221;          17.450;           2.917 (16.717 %)
  rapi_ite;         10;      10000;       4.438e+14;           7.333;          13.303;           7.917;           1.268 (16.019 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.428e+16;           6.680;          19.531;          11.115;           3.156 (28.396 %)
  naif_ite;         10;      10000;       9.453e+14;           5.412;          24.814;          13.248;           4.236 (31.977 %)
  rapi_rec;         10;      10000;       3.028e+10;          15.202;          33.784;          22.514;           3.909 (17.361 %)
  rapi_ite;         10;      10000;       1.952e+14;           7.336;          16.639;          10.352;           2.717 (26.245 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       6.044e+11;           6.175;          13.361;           6.890;           1.687 (24.487 %)
  naif_ite;         10;      10000;       1.014e+12;           5.407;          15.311;           6.963;           2.143 (30.769 %)
  rapi_rec;         10;      10000;       3.460e+24;          15.044;          15.495;          15.098;           0.129 ( 0.853 %)
  rapi_ite;         10;      10000;       4.758e+25;           7.334;           9.784;           7.493;           0.537 ( 7.167 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       6.685e+15;           6.177;          14.536;           8.577;           2.734 (31.876 %)
  naif_ite;         10;      10000;       1.341e+11;           5.410;          10.870;           6.209;           0.935 (15.066 %)
  rapi_rec;         10;      10000;       3.782e+08;          14.764;          17.677;          15.217;           0.472 ( 3.099 %)
  rapi_ite;         10;      10000;       5.911e+16;           7.340;          15.082;          10.100;           1.905 (18.861 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       4.569e+16;           6.177;           9.145;           6.511;           0.592 ( 9.086 %)
  naif_ite;         10;      10000;       1.838e+09;           5.407;          13.864;           6.570;           1.500 (22.836 %)
  rapi_rec;         10;      10000;       1.201e+15;          15.046;          23.495;          16.398;           1.970 (12.016 %)
  rapi_ite;         10;      10000;       2.149e+38;           7.332;          10.630;           7.899;           0.806 (10.207 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.870e+12;           6.176;           6.205;           6.179;           0.005 ( 0.077 %)
  naif_ite;         10;      10000;       1.847e+12;           5.419;          12.569;           7.353;           2.120 (28.835 %)
  rapi_rec;         10;      10000;       2.241e+19;          14.512;          23.549;          17.001;           2.448 (14.402 %)
  rapi_ite;         10;      10000;       3.944e+15;           7.241;           9.690;           7.783;           0.555 ( 7.135 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.383e+23;           6.177;           6.516;           6.257;           0.058 ( 0.921 %)
  naif_ite;         10;      10000;       2.089e+10;           5.407;          19.211;           9.353;           3.459 (36.987 %)
  rapi_rec;         10;      10000;       2.224e+16;          13.886;          21.215;          15.491;           1.208 ( 7.796 %)
  rapi_ite;         10;      10000;       9.485e+11;           7.335;           9.405;           7.748;           0.552 ( 7.125 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.052e+18;           6.177;          15.210;           9.410;           2.549 (27.092 %)
  naif_ite;         10;      10000;       5.686e+07;           5.405;          10.492;           6.212;           1.341 (21.586 %)
  rapi_rec;         10;      10000;       9.750e+12;          13.783;          17.704;          14.863;           0.726 ( 4.884 %)
  rapi_ite;         10;      10000;       9.315e+09;           7.196;           8.426;           7.648;           0.341 ( 4.464 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       6.449e+15;           6.178;           8.386;           6.808;           0.617 ( 9.059 %)
  naif_ite;         10;      10000;       8.604e+14;           5.407;           9.020;           6.008;           0.869 (14.470 %)
  rapi_rec;         10;      10000;       4.656e+14;          15.044;          18.588;          15.519;           1.094 ( 7.052 %)
  rapi_ite;         10;      10000;       4.009e+10;           7.334;           8.517;           7.391;           0.219 ( 2.960 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.558e+15;           6.178;           8.302;           6.832;           0.565 ( 8.267 %)
  naif_ite;         10;      10000;       1.725e+19;           5.408;          13.282;           6.784;           1.533 (22.599 %)
  rapi_rec;         10;      10000;       2.936e+28;          13.537;          15.504;          14.238;           0.503 ( 3.531 %)
  rapi_ite;         10;      10000;       5.046e+17;           7.336;          16.915;           9.277;           2.104 (22.678 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       6.144e+15;           6.176;          11.009;           6.721;           1.033 (15.363 %)
  naif_ite;         10;      10000;       2.109e+18;           5.408;           9.873;           6.318;           1.017 (16.098 %)
  rapi_rec;         10;      10000;       5.249e+19;          14.235;          18.674;          15.536;           0.911 ( 5.864 %)
  rapi_ite;         10;      10000;       2.731e+11;           7.336;          13.802;           9.938;           1.956 (19.678 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       3.433e+12;           6.177;           7.311;           6.414;           0.345 ( 5.371 %)
  naif_ite;         10;      10000;       1.419e+11;           5.793;           9.474;           6.398;           0.934 (14.593 %)
  rapi_rec;         10;      10000;       7.084e+29;          15.065;          29.441;          18.159;           3.507 (19.314 %)
  rapi_ite;         10;      10000;       4.254e+20;           7.334;           8.873;           7.767;           0.466 ( 6.005 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.131e+16;           6.178;           6.286;           6.257;           0.025 ( 0.403 %)
  naif_ite;         10;      10000;       3.070e+15;           5.431;          13.839;           7.797;           2.296 (29.453 %)
  rapi_rec;         10;      10000;       6.136e+13;          14.072;          21.084;          16.256;           1.970 (12.117 %)
  rapi_ite;         10;      10000;       2.548e+15;           7.336;          13.125;           8.026;           1.216 (15.155 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       7.933e+10;           6.176;          13.236;           8.339;           2.039 (24.449 %)
  naif_ite;         10;      10000;       4.353e+24;           5.407;           9.823;           6.161;           0.988 (16.032 %)
  rapi_rec;         10;      10000;       3.007e+18;          14.735;          17.105;          15.234;           0.468 ( 3.070 %)
