     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       5.802e+14;          52.021;          79.754;          63.880;           9.542 (14.938 %)
  naif_ite;         10;      10000;       7.123e+14;          30.961;          50.583;          36.194;           3.669 (10.138 %)
  rapi_rec;         10;      10000;       3.901e+15;          28.382;          44.325;          36.185;           4.314 (11.921 %)
  rapi_ite;         10;      10000;       2.062e+17;          13.437;          24.037;          18.187;           2.769 (15.227 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.988e+22;          52.172;          75.000;          63.553;           5.534 ( 8.709 %)
  naif_ite;         10;      10000;       2.453e+26;          26.019;          39.171;          32.628;           3.530 (10.818 %)
  rapi_rec;         10;      10000;       2.007e+12;          20.642;          38.861;          28.032;           6.977 (24.890 %)
  rapi_ite;         10;      10000;       1.212e+09;          13.438;          14.117;          14.006;           0.229 ( 1.634 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       4.732e+12;          52.000;          74.457;          62.893;           5.680 ( 9.032 %)
  naif_ite;         10;      10000;       2.546e+09;          25.892;          39.002;          32.184;           3.050 ( 9.477 %)
  rapi_rec;         10;      10000;       1.541e+11;          20.657;          36.414;          23.079;           3.352 (14.526 %)
  rapi_ite;         10;      10000;       1.235e+13;          13.430;          20.164;          14.734;           1.803 (12.238 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.363e+10;          53.364;          84.740;          64.038;           6.890 (10.759 %)
  naif_ite;         10;      10000;       4.594e+17;          25.906;          43.084;          30.578;           4.916 (16.077 %)
  rapi_rec;         10;      10000;       8.789e+20;          20.674;          26.956;          22.162;           1.430 ( 6.453 %)
  rapi_ite;         10;      10000;       1.939e+11;          14.084;          23.117;          15.229;           2.088 (13.707 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.375e+15;          51.696;          66.560;          55.133;           4.448 ( 8.067 %)
  naif_ite;         10;      10000;       1.456e+14;          25.887;          35.775;          28.427;           2.939 (10.339 %)
  rapi_rec;         10;      10000;       2.882e+19;          20.665;          28.595;          21.943;           1.629 ( 7.424 %)
  rapi_ite;         10;      10000;       7.328e+15;          13.427;          14.995;          14.045;           0.431 ( 3.067 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.814e+08;          51.720;          66.558;          53.683;           3.208 ( 5.976 %)
  naif_ite;         10;      10000;       6.660e+30;      -99973.812;          30.583;       -3003.992;       17407.788 (-579.488 %)
  rapi_rec;         10;      10000;       7.453e+15;          20.633;          38.540;          24.496;           4.792 (19.562 %)
  rapi_ite;         10;      10000;       2.872e+12;          13.427;          19.851;          14.370;           1.369 ( 9.524 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       3.865e+19;          51.831;          70.219;          56.114;           4.811 ( 8.573 %)
  naif_ite;         10;      10000;       1.684e+13;          26.156;          35.214;          27.951;           2.237 ( 8.003 %)
  rapi_rec;         10;      10000;       2.662e+27;          20.915;          58.151;          35.341;           8.831 (24.988 %)
  rapi_ite;         10;      10000;       5.171e+17;          13.436;          31.714;          18.612;           4.942 (26.554 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.543e+23;          52.109;          79.431;          63.232;           8.596 (13.595 %)
  naif_ite;         10;      10000;       5.893e+12;          25.890;          37.363;          28.674;           3.171 (11.058 %)
  rapi_rec;         10;      10000;       2.793e+17;          20.655;          44.790;          24.897;           6.965 (27.975 %)
  rapi_ite;         10;      10000;       8.171e+13;          13.425;          19.410;          14.634;           1.482 (10.124 %)
