           0.432 ( 0.755 %)	           0.433 ( 1.286 %)	           0.118 ( 0.352 %)	           0.393 ( 1.224 %)	           0.004 ( 0.065 %)
           0.452 ( 0.792 %)	           0.526 ( 1.560 %)	           0.468 ( 1.391 %)	           1.312 ( 4.068 %)	           0.005 ( 0.082 %)
           0.778 ( 1.360 %)	           1.663 ( 4.880 %)	           0.749 ( 2.223 %)	           0.408 ( 1.271 %)	           0.005 ( 0.075 %)
           0.791 ( 1.380 %)	           1.623 ( 4.735 %)	           0.480 ( 1.426 %)	           0.467 ( 1.454 %)	           0.004 ( 0.059 %)
           0.619 ( 1.087 %)	           0.701 ( 2.076 %)	           0.518 ( 1.540 %)	           0.396 ( 1.234 %)	           0.854 (13.155 %)
           0.590 ( 1.031 %)	           2.132 ( 6.185 %)	           0.387 ( 1.151 %)	           0.623 ( 1.940 %)	           0.009 ( 0.151 %)
           0.385 ( 0.676 %)	           2.122 ( 6.202 %)	           0.076 ( 0.227 %)	           0.487 ( 1.515 %)	           0.006 ( 0.092 %)
           0.437 ( 0.746 %)	           0.608 ( 1.803 %)	           0.571 ( 1.697 %)	           0.550 ( 1.712 %)	           0.005 ( 0.074 %)
           1.671 ( 2.887 %)	           1.648 ( 4.832 %)	           0.530 ( 1.576 %)	           0.459 ( 1.431 %)	           0.004 ( 0.069 %)
           0.420 ( 0.738 %)	           0.903 ( 2.670 %)	           0.401 ( 1.192 %)	           0.636 ( 1.978 %)	           0.004 ( 0.066 %)
           0.503 ( 0.882 %)	           0.481 ( 1.428 %)	           0.511 ( 1.519 %)	           0.681 ( 2.154 %)	           0.119 ( 1.909 %)
           0.452 ( 0.793 %)	           1.444 ( 4.228 %)	           0.439 ( 1.304 %)	           0.479 ( 1.492 %)	           0.004 ( 0.070 %)
           0.498 ( 0.875 %)	           0.848 ( 2.512 %)	           0.469 ( 1.394 %)	           0.388 ( 1.211 %)	           0.005 ( 0.081 %)
           0.678 ( 1.187 %)	           0.145 ( 0.431 %)	           0.507 ( 1.505 %)	           0.993 ( 3.085 %)	           0.004 ( 0.058 %)
           0.449 ( 0.782 %)	           1.315 ( 3.873 %)	           0.417 ( 1.240 %)	           0.319 ( 0.993 %)	           0.005 ( 0.074 %)
           0.517 ( 0.905 %)	           0.641 ( 1.900 %)	           0.506 ( 1.502 %)	           0.318 ( 0.993 %)	           0.274 ( 4.395 %)
           3.421 ( 5.791 %)	           1.324 ( 3.889 %)	           0.744 ( 2.207 %)	           0.492 ( 1.531 %)	           0.561 ( 8.943 %)
           1.715 ( 2.971 %)	           1.968 ( 5.717 %)	           0.553 ( 1.642 %)	           1.366 ( 4.214 %)	           0.010 ( 0.169 %)
           1.164 ( 2.038 %)	           0.572 ( 1.699 %)	           0.388 ( 1.153 %)	           0.798 ( 2.482 %)	           0.873 (13.649 %)
           1.414 ( 2.456 %)	           0.454 ( 1.347 %)	           1.334 ( 3.947 %)	           0.488 ( 1.520 %)	           0.005 ( 0.075 %)
           1.288 ( 2.235 %)	           0.462 ( 1.372 %)	       17407.799 (-580.925 %)	           0.464 ( 1.446 %)	           0.004 ( 0.068 %)
           1.344 ( 2.334 %)	           0.466 ( 1.385 %)	           0.502 ( 1.491 %)	           0.745 ( 2.354 %)	           0.005 ( 0.076 %)
           0.482 ( 0.843 %)	           0.378 ( 1.124 %)	           0.394 ( 1.171 %)	           0.492 ( 1.534 %)	           0.004 ( 0.064 %)
           0.479 ( 0.841 %)	           0.570 ( 1.693 %)	           0.628 ( 1.866 %)	           0.454 ( 1.413 %)	           0.253 ( 4.070 %)
           0.641 ( 1.123 %)	           0.581 ( 1.725 %)	           0.483 ( 1.435 %)	           0.465 ( 1.447 %)	           0.010 ( 0.162 %)
           1.106 ( 1.929 %)	           0.773 ( 2.293 %)	           0.576 ( 1.710 %)	           0.594 ( 1.850 %)	           0.004 ( 0.064 %)
           0.482 ( 0.843 %)	           0.486 ( 1.444 %)	           0.383 ( 1.140 %)	           0.681 ( 2.116 %)	           0.004 ( 0.068 %)
           0.607 ( 1.066 %)	           0.787 ( 2.332 %)	           1.293 ( 3.826 %)	           0.384 ( 1.196 %)	           0.004 ( 0.071 %)
           0.496 ( 0.866 %)	           0.413 ( 1.229 %)	           6.474 (17.375 %)	           0.487 ( 1.518 %)	           0.003 ( 0.053 %)
           0.508 ( 0.891 %)	           1.260 ( 3.708 %)	           0.637 ( 1.892 %)	           0.966 ( 3.062 %)	           0.004 ( 0.067 %)
           0.389 ( 0.683 %)	           0.384 ( 1.140 %)	           0.556 ( 1.652 %)	           0.375 ( 1.170 %)	           0.947 (14.791 %)
           0.509 ( 0.891 %)	           0.376 ( 1.118 %)	           0.525 ( 1.558 %)	           0.500 ( 1.558 %)	           0.004 ( 0.066 %)
           0.446 ( 0.780 %)	           0.527 ( 1.565 %)	           1.531 ( 4.526 %)	           0.476 ( 1.484 %)	           0.004 ( 0.070 %)
           1.299 ( 2.260 %)	           0.496 ( 1.472 %)	           0.371 ( 1.104 %)	           0.378 ( 1.178 %)	           0.005 ( 0.084 %)
           0.455 ( 0.796 %)	           0.386 ( 1.149 %)	           0.352 ( 1.047 %)	           0.867 ( 2.694 %)	           0.005 ( 0.081 %)
           0.758 ( 1.330 %)	           0.401 ( 1.191 %)	           0.718 ( 2.125 %)	           0.532 ( 1.658 %)	           0.006 ( 0.092 %)
           0.540 ( 0.942 %)	           0.702 ( 2.085 %)	           0.564 ( 1.675 %)	           0.492 ( 1.530 %)	           0.320 ( 5.122 %)
           0.462 ( 0.809 %)	           0.632 ( 1.876 %)	           0.448 ( 1.331 %)	           0.468 ( 1.459 %)	           0.006 ( 0.095 %)
           0.547 ( 0.957 %)	           0.629 ( 1.869 %)	           0.134 ( 0.400 %)	           0.398 ( 1.242 %)	           0.004 ( 0.066 %)
           0.476 ( 0.838 %)	           0.710 ( 2.100 %)	           1.562 ( 4.572 %)	           0.397 ( 1.238 %)	           0.006 ( 0.099 %)
           0.690 ( 1.209 %)	           0.513 ( 1.522 %)	           0.537 ( 1.595 %)	           0.486 ( 1.515 %)	           0.006 ( 0.098 %)
           0.554 ( 0.971 %)	           0.513 ( 1.525 %)	           1.760 ( 5.087 %)	           1.060 ( 3.278 %)	           0.006 ( 0.096 %)
           1.177 ( 2.049 %)	           1.214 ( 3.587 %)	           0.478 ( 1.418 %)	           0.472 ( 1.471 %)	           0.007 ( 0.111 %)
           0.449 ( 0.787 %)	           0.482 ( 1.432 %)	           1.120 ( 3.301 %)	           0.346 ( 1.078 %)	           0.004 ( 0.070 %)
           0.410 ( 0.718 %)	           1.382 ( 4.072 %)	           1.151 ( 3.398 %)	           0.753 ( 2.341 %)	           0.004 ( 0.061 %)
           0.658 ( 1.153 %)	           0.568 ( 1.689 %)	           1.903 ( 5.575 %)	           0.416 ( 1.295 %)	           0.120 ( 1.938 %)
           1.977 ( 3.425 %)	           0.382 ( 1.135 %)	           0.694 ( 2.056 %)	           0.402 ( 1.252 %)	           0.011 ( 0.179 %)
           2.727 ( 4.656 %)	           0.953 ( 2.825 %)	           0.991 ( 2.921 %)	           0.502 ( 1.562 %)	           0.005 ( 0.077 %)
           1.065 ( 1.864 %)	           0.409 ( 1.217 %)	           0.758 ( 2.242 %)	           0.481 ( 1.499 %)	           0.121 ( 1.957 %)
