           3.371 	           0.593 	           5.323 	           2.241 	           0.006 
           5.938 	           0.146 	           0.183 	           0.167 	           0.048 
           0.971 	           0.183 	           0.131 	           0.685 	           0.005 
           0.134 	           0.431 	           0.977 	           0.808 	           0.006 
           1.016 	           1.313 	           0.732 	           1.291 	           0.003 
           0.947 	           7.251 	           0.906 	           0.084 	           0.139 
           0.863 	           3.365 	           0.079 	           0.280 	           0.139 
           0.597 	           2.166 	           0.954 	           0.070 	           0.357 
           0.418 	           0.790 	           1.968 	           0.608 	           0.005 
           0.336 	           0.636 	           0.961 	           0.636 	           0.184 
           5.298 	           1.442 	           0.803 	           0.308 	           0.006 
           0.805 	           0.805 	           0.868 	           0.607 	           0.006 
           0.072 	           0.081 	           0.774 	           0.758 	           0.010 
           0.099 	           0.812 	           1.841 	           0.072 	           0.005 
       17407.782 	           1.123 	           1.286 	           0.952 	           0.428 
           0.726 	           0.653 	           1.710 	           1.132 	           0.006 
           0.159 	           0.699 	           0.077 	           0.753 	           0.351 
           1.068 	           0.069 	           0.173 	           0.451 	           0.005 
           2.873 	           2.017 	           0.200 	           1.094 	           0.006 
           0.161 	           0.163 	           0.695 	           0.813 	           0.006 
           2.915 	           1.444 	           0.612 	           1.421 	           0.006 
           0.073 	           1.319 	           0.076 	           0.465 	           0.006 
           5.096 	           0.137 	           0.752 	           0.125 	           0.005 
           1.165 	           1.244 	           0.073 	           0.086 	           0.005 
           0.107 	           1.156 	           1.548 	           2.316 	           0.147 
           0.603 	           1.283 	       17407.580 	           3.337 	           0.005 
           0.861 	           1.647 	           2.087 	           0.626 	           0.005 
           0.646 	           0.948 	           1.178 	           1.928 	           0.048 
           0.073 	           0.070 	           1.263 	           0.621 	           0.006 
           0.116 	           0.991 	           1.174 	           2.037 	           0.005 
           0.185 	           0.229 	           2.191 	           1.182 	           0.007 
           0.587 	           1.759 	           3.427 	           1.397 	           0.008 
           1.030 	           0.082 	           0.917 	           0.804 	           0.005 
           2.568 	           1.375 	           1.398 	           0.577 	           0.006 
           0.750 	           1.216 	           0.580 	           2.579 	           0.005 
           0.578 	           0.950 	           0.080 	           1.658 	           0.005 
