           8.380 (14.163 %)	           4.431 (12.412 %)	           4.803 (12.712 %)	           3.654 (10.915 %)	           2.255 (28.561 %)
          16.783 (21.342 %)	           5.185 (13.783 %)	           8.045 (20.261 %)	           2.993 ( 9.029 %)	           1.680 (22.342 %)
           6.341 (10.281 %)	           5.800 (15.211 %)	           6.290 (16.796 %)	           1.680 ( 5.273 %)	           0.952 (15.167 %)
           7.619 (13.027 %)	          11.830 (29.109 %)	           3.616 ( 9.890 %)	           3.844 (11.207 %)	           1.393 (20.769 %)
           6.457 (10.948 %)	           3.783 (10.315 %)	           1.325 ( 3.728 %)	           1.488 ( 4.647 %)	           1.097 (16.713 %)
           8.450 (13.812 %)	           3.032 ( 8.767 %)	           4.777 (12.724 %)	           4.019 (11.870 %)	           0.006 ( 0.098 %)
           7.536 (12.931 %)	           6.534 (17.158 %)	           4.037 (11.441 %)	           2.346 ( 7.307 %)	           0.777 (11.774 %)
           7.043 (11.923 %)	           4.407 (11.973 %)	           4.915 (13.132 %)	           2.150 ( 6.700 %)	           1.456 (19.647 %)
           6.038 (10.520 %)	           5.312 (14.028 %)	           4.857 (13.196 %)	           2.298 ( 7.120 %)	           1.386 (19.426 %)
           9.075 (15.567 %)	           2.628 ( 7.303 %)	           5.250 (13.969 %)	           3.102 ( 9.479 %)	           2.543 (32.163 %)
           4.357 ( 7.858 %)	           3.874 (10.665 %)	           4.929 (13.441 %)	           4.640 (13.698 %)	           0.550 ( 8.550 %)
           6.136 (10.904 %)	           5.835 (16.205 %)	           5.683 (15.166 %)	           3.776 (11.481 %)	           0.760 (11.796 %)
           5.911 (10.612 %)	           5.675 (14.744 %)	           3.743 (10.623 %)	           3.055 ( 8.943 %)	           0.012 ( 0.207 %)
           5.775 (10.363 %)	           4.847 (12.805 %)	           3.697 (10.254 %)	           4.841 (14.421 %)	           0.527 ( 8.449 %)
           5.549 ( 9.933 %)	           5.202 (13.863 %)	           4.128 (11.397 %)	           2.225 ( 6.813 %)	           0.722 (11.353 %)
          17.246 (22.271 %)	           5.623 (12.102 %)	           4.185 (11.281 %)	           3.446 (10.302 %)	           1.623 (20.793 %)
           6.554 (11.761 %)	           9.910 (25.016 %)	           5.414 (14.449 %)	           1.964 ( 6.074 %)	           1.850 (23.378 %)
           9.039 (16.024 %)	           5.654 (12.608 %)	           4.707 (12.610 %)	           4.022 (12.310 %)	           0.201 ( 3.372 %)
           8.760 (15.335 %)	           5.735 (13.541 %)	           4.752 (13.076 %)	           3.915 (11.719 %)	           0.789 (12.123 %)
           5.051 ( 9.107 %)	           3.404 ( 9.360 %)	          13.681 (27.954 %)	           0.990 ( 3.151 %)	           0.683 (11.439 %)
           8.784 (15.431 %)	           3.052 ( 8.600 %)	           7.438 (18.761 %)	           2.621 ( 8.087 %)	           2.733 (28.746 %)
           5.503 ( 9.968 %)	           5.693 (14.939 %)	           8.047 (21.018 %)	           2.749 ( 8.409 %)	           1.151 (17.488 %)
           8.195 (14.258 %)	           5.045 (14.025 %)	           2.976 ( 8.423 %)	           1.863 ( 5.768 %)	           2.332 (26.643 %)
           4.654 ( 8.164 %)	           3.922 (10.769 %)	           2.993 ( 8.348 %)	           3.098 ( 9.719 %)	           0.046 ( 0.793 %)
           6.393 (11.341 %)	           0.811 ( 2.390 %)	           4.373 (12.079 %)	           5.328 (15.807 %)	           0.195 ( 3.342 %)
           8.383 (12.567 %)	           3.652 (10.009 %)	           5.166 (13.929 %)	           4.708 (14.029 %)	           0.305 ( 5.189 %)
           5.373 ( 9.576 %)	           3.307 ( 8.987 %)	           3.606 (10.064 %)	           0.843 ( 2.656 %)	           0.870 (13.578 %)
           7.098 (12.005 %)	           5.028 (12.959 %)	           7.184 (19.100 %)	           1.773 ( 5.511 %)	           2.199 (27.320 %)
       17407.957 (-585.085 %)	           6.902 (16.714 %)	           8.670 (22.916 %)	           3.201 ( 9.888 %)	           0.235 ( 3.823 %)
           8.617 (14.816 %)	           4.761 (12.737 %)	           6.125 (16.125 %)	           1.238 ( 3.933 %)	           0.554 ( 8.902 %)
           5.253 ( 9.711 %)	           3.322 ( 9.038 %)	           2.535 ( 7.030 %)	           5.541 (16.525 %)	           1.906 (21.545 %)
           6.468 (11.468 %)	           5.978 (15.276 %)	           4.374 (11.812 %)	           5.450 (16.156 %)	           2.328 (32.549 %)
           7.506 (13.009 %)	           6.792 (18.412 %)	           4.576 (12.395 %)	           1.164 ( 3.686 %)	           0.731 (11.089 %)
          15.203 (21.972 %)	           5.069 (13.658 %)	           4.102 (11.323 %)	           2.576 ( 7.860 %)	           1.422 (20.803 %)
           5.671 (10.361 %)	           4.574 (12.487 %)	           4.086 (11.291 %)	           2.520 ( 7.766 %)	           0.540 ( 8.968 %)
           4.919 ( 8.743 %)	           1.733 ( 4.900 %)	           4.080 (11.286 %)	           1.027 ( 3.267 %)	           0.027 ( 0.461 %)
           4.062 ( 7.337 %)	           7.595 (13.677 %)	           9.134 (24.118 %)	           4.294 (12.793 %)	           0.041 ( 0.710 %)
           8.080 (13.716 %)	          12.219 (27.802 %)	           5.979 (15.710 %)	           3.905 (11.781 %)	           0.944 (15.473 %)
           4.768 ( 8.565 %)	           5.511 (14.044 %)	           8.193 (21.662 %)	           0.736 ( 2.350 %)	           0.643 ( 9.883 %)
           7.238 (12.291 %)	           4.344 (11.824 %)	           3.561 (10.073 %)	           3.705 (10.926 %)	           2.494 (28.879 %)
           7.034 (12.386 %)	           7.638 (18.336 %)	          11.861 (28.630 %)	           2.894 ( 8.870 %)	           2.626 (30.649 %)
           4.734 ( 8.614 %)	           6.394 (14.871 %)	           8.397 (20.236 %)	           3.906 (11.545 %)	           3.605 (26.995 %)
          16.416 (24.131 %)	          11.845 (21.675 %)	           3.528 ( 9.850 %)	           3.140 ( 9.536 %)	           2.042 (21.932 %)
           9.603 (15.398 %)	           6.822 (12.295 %)	           4.562 (12.003 %)	           4.840 (14.449 %)	           2.591 (34.922 %)
