           0.008 ( 0.056 %)	           0.990 (13.434 %)	           0.150 ( 1.809 %)	           0.068 ( 0.979 %)	           0.301 ( 4.076 %)
           0.009 ( 0.061 %)	           0.449 ( 6.331 %)	           0.210 ( 2.670 %)	           0.128 ( 1.836 %)	           0.664 ( 8.814 %)
           0.230 ( 1.640 %)	           1.603 (21.381 %)	           0.211 ( 2.672 %)	           0.002 ( 0.023 %)	           0.220 ( 2.978 %)
           3.309 (22.014 %)	           0.135 ( 1.941 %)	           0.168 ( 2.030 %)	           0.017 ( 0.249 %)	           0.334 ( 4.508 %)
           0.005 ( 0.037 %)	           0.347 ( 4.774 %)	           0.193 ( 2.469 %)	           0.144 ( 2.064 %)	           0.064 ( 0.876 %)
           0.007 ( 0.049 %)	           0.114 ( 1.632 %)	           0.177 ( 2.143 %)	           0.372 ( 4.999 %)	           0.693 ( 9.221 %)
           0.230 ( 1.641 %)	           0.249 ( 3.285 %)	           0.224 ( 2.858 %)	           0.225 ( 3.203 %)	           0.066 ( 0.895 %)
           0.011 ( 0.076 %)	           0.119 ( 1.629 %)	           0.176 ( 2.134 %)	           0.133 ( 1.911 %)	           0.060 ( 0.811 %)
           0.230 ( 1.645 %)	           0.263 ( 3.468 %)	           0.107 ( 1.376 %)	           0.383 ( 5.242 %)	           0.139 ( 1.885 %)
           0.007 ( 0.052 %)	           0.598 ( 8.288 %)	           0.035 ( 0.433 %)	           0.068 ( 0.976 %)	           0.061 ( 0.825 %)
           0.591 ( 4.197 %)	           0.222 ( 2.901 %)	           0.002 ( 0.024 %)	           0.227 ( 3.223 %)	           0.065 ( 0.887 %)
           0.024 ( 0.170 %)	           1.139 (15.292 %)	           0.188 ( 2.400 %)	           0.093 ( 1.339 %)	           0.064 ( 0.865 %)
           0.006 ( 0.046 %)	           0.068 ( 0.973 %)	           0.107 ( 1.382 %)	           0.006 ( 0.085 %)	           0.056 ( 0.762 %)
           0.008 ( 0.059 %)	           0.129 ( 1.845 %)	           0.002 ( 0.029 %)	           0.388 ( 5.299 %)	           0.245 ( 3.323 %)
           0.008 ( 0.054 %)	           0.143 ( 2.042 %)	           0.107 ( 1.282 %)	           0.377 ( 5.205 %)	           1.184 (15.504 %)
           0.011 ( 0.078 %)	           1.368 (18.731 %)	           0.245 ( 3.065 %)	           0.002 ( 0.027 %)	           0.057 ( 0.778 %)
           0.006 ( 0.042 %)	           0.166 ( 2.355 %)	           1.916 (22.419 %)	           0.227 ( 2.984 %)	           0.057 ( 0.781 %)
           0.009 ( 0.063 %)	           0.127 ( 1.810 %)	           0.100 ( 1.215 %)	           0.132 ( 1.899 %)	           0.067 ( 0.908 %)
           0.009 ( 0.062 %)	           0.345 ( 4.738 %)	           0.208 ( 2.628 %)	           0.506 ( 7.185 %)	           0.060 ( 0.817 %)
           0.008 ( 0.058 %)	           0.093 ( 1.266 %)	           0.111 ( 1.338 %)	           0.014 ( 0.201 %)	           0.054 ( 0.732 %)
           0.007 ( 0.049 %)	           0.095 ( 1.362 %)	           0.885 (10.463 %)	           0.134 ( 1.918 %)	           0.059 ( 0.804 %)
           0.007 ( 0.046 %)	           0.188 ( 2.620 %)	           2.203 (25.947 %)	           0.145 ( 2.078 %)	           0.923 (10.807 %)
           0.007 ( 0.050 %)	           0.087 ( 1.237 %)	           0.288 ( 3.622 %)	           0.126 ( 1.805 %)	           0.062 ( 0.847 %)
           0.007 ( 0.053 %)	           0.094 ( 1.351 %)	           0.046 ( 0.598 %)	           0.002 ( 0.027 %)	           0.064 ( 0.872 %)
           0.009 ( 0.063 %)	           0.002 ( 0.025 %)	           0.345 ( 4.161 %)	           0.516 ( 7.260 %)	           0.062 ( 0.841 %)
