          14.099	           8.241	           6.985	           7.746	           8.127
          14.101	           8.299	           7.465	           7.790	           8.117
          14.096	           8.123	           7.102	           7.777	           8.114
          14.101	           8.318	           7.160	           7.755	           8.146
          14.097	           8.276	           6.986	           7.798	           8.118
          14.102	           8.280	           7.099	           7.943	           8.190
          14.013	           8.283	           6.963	           7.820	           8.117
          14.098	           8.264	           7.067	           7.759	           8.121
          14.116	           8.300	           7.418	           7.803	           8.118
          14.096	           8.294	           7.412	           7.766	           8.132
          14.097	           8.111	           7.361	           7.763	           8.118
          14.100	           8.364	           7.437	           7.859	           8.113
          14.094	           8.242	           7.039	           8.095	           8.116
          14.172	           7.898	           7.004	           7.831	           8.106
          14.136	           8.113	           7.040	           7.804	           8.117
          14.096	           8.007	           6.976	           7.863	           8.116
          14.013	           8.170	           7.351	           7.756	           8.118
          14.094	           8.125	           6.957	           7.895	           8.117
          14.106	           8.294	           6.956	           7.741	           8.225
          14.095	           8.297	           7.172	           8.654	           8.116
          14.114	           8.143	           7.325	           9.529	           8.115
          14.643	           7.773	           7.202	           7.749	           8.113
          14.100	           8.105	           7.282	           7.807	           8.381
          14.096	           7.810	           8.172	           7.835	           8.204
          14.009	           8.151	           7.407	           7.950	           8.112
          14.098	           8.099	           7.153	           7.746	           8.249
          14.105	           7.792	           6.983	           7.800	           8.185
          14.342	           7.807	           7.401	           7.770	           8.117
          14.001	           8.123	           6.974	           7.827	           8.119
          14.100	           8.127	           6.964	           8.056	           8.185
          14.096	           8.106	           7.012	           8.091	           8.117
          14.076	           8.248	           7.011	           7.829	           8.118
          14.099	           8.100	           7.402	           7.800	           8.127
          14.097	           7.928	           7.197	           7.742	           8.123
          14.001	           8.057	           7.284	           7.945	           8.119
          14.097	           7.760	           7.162	           7.911	           8.118
          14.098	           7.765	           7.191	           8.041	           8.197
          14.106	           7.752	           6.957	           7.767	           8.116
          13.998	           7.988	           7.057	           7.742	           8.117
          14.007	           7.802	           7.189	           7.870	           8.118
          14.177	           8.070	           6.992	           7.752	           8.113
          14.101	           8.246	           7.150	           7.778	           8.191
          14.098	           8.051	           7.660	           7.776	           8.115
          14.095	           8.275	           7.248	           7.895	           8.119
          14.014	           7.778	           7.582	           7.759	           8.115
          14.106	           8.298	           6.985	           7.752	           8.331
          14.099	           7.842	           6.984	           7.841	           8.523
          14.105	           8.029	           6.957	           7.808	           8.118
          14.017	           8.090	           7.488	           8.079	           8.124
          14.098	           8.235	           7.186	           8.059	           8.120
          14.199	           8.266	           7.160	           7.761	           8.117
          14.096	           8.133	           7.383	           7.736	           8.117
          14.014	           8.254	           7.605	           7.748	           8.116
          14.097	           8.210	           7.031	           7.756	           8.116
          14.109	           8.076	           7.407	           7.728	           8.973
          14.001	           8.291	           7.097	           7.763	           8.117
          14.120	           8.099	           7.265	           7.744	           8.118
          14.112	           8.073	           7.083	           7.881	           8.114
       -3016.296	           8.247	           6.975	           7.790	           8.114
          14.072	           7.864	           7.102	           8.344	           8.107
          14.007	           7.923	           6.985	           7.804	           8.115
          14.033	           8.113	           7.008	           7.804	           8.117
          14.003	           7.774	           6.998	           7.811	           8.119
          14.007	           7.751	           6.984	           7.806	           8.118
          14.095	           8.269	           7.647	           7.805	           8.120
          14.100	           8.014	           7.311	           7.816	           8.126
          14.097	           8.020	           6.979	           7.803	           8.117
          14.097	           7.799	           6.966	           7.761	           8.116
          14.096	           7.928	           7.359	           8.084	           8.118
          13.999	           8.286	           7.296	           7.936	           8.117
          14.112	           7.739	           7.237	           7.745	           8.118
          14.101	           8.291	           6.985	           7.825	           8.117
          14.101	           8.260	           7.129	           7.753	           8.257
          14.120	           8.044	           6.959	           7.764	           8.117
          14.099	       -3022.256	           7.373	           7.765	           8.118
          14.173	           8.045	           6.960	           7.821	           8.117
          14.001	           8.257	           6.995	           7.764	           8.118
          14.097	           8.272	           7.181	           7.814	           8.118
          14.096	           8.273	           6.960	           7.828	           8.355
          14.097	           8.274	           7.334	           7.762	           8.115
          14.098	           8.033	           7.546	           7.746	           8.243
          14.013	           9.545	           7.320	           7.825	           8.116
          14.102	           8.063	           7.174	           7.765	           8.116
          14.094	           8.220	           7.023	           7.742	           8.120
          14.138	           7.849	           7.496	           7.806	           8.167
          14.096	           8.276	           7.052	           7.887	           8.119
          14.005	           8.308	           7.084	           7.743	           8.117
          14.106	           8.265	           7.306	           7.803	           8.114
          14.213	           7.794	           6.968	           7.781	           8.118
          14.102	           7.955	           7.288	           7.807	           8.115
          14.105	           8.289	           6.960	           7.794	           8.116
          14.096	           7.721	           7.504	           7.761	           8.122
          14.099	           7.987	           7.581	           7.748	           8.117
          14.098	           8.420	           7.408	           7.764	           8.119
          14.000	           7.772	           8.034	           7.752	           8.116
          14.100	           8.306	           7.373	           7.756	           8.119
          14.097	           8.290	           7.353	           7.771	           8.117
          14.097	           8.898	           7.342	           7.761	           8.116
          14.100	           8.072	           7.033	           7.763	           8.140
          14.102	           8.311	           6.965	           7.755	           8.118
          13.998	           8.293	           7.111	           7.745	           8.123
