0 00000000000000001
750 00000000000000010
1500 00000000000000019
2250 00000000000000028
3000 00000000000000039
3750 00000000000000046
4500 00000000000000055
5250 00000000000000064
6000 00000000000000072
6750 00000000000000081
7500 00000000000000089
8250 00000000000000100
9000 00000000000000107
9750 00000000000000117
