1.34 ^ 0 =  1
1.34 ^ 1 =  1.34
1.34 ^ 2 =  1.7956
1.34 ^ 3 =  2.406104
1.34 ^ 4 =  3.22417936
1.34 ^ 5 =  4.32040034
1.34 ^ 6 =  5.78933646
1.34 ^ 7 =  7.75771085
1.34 ^ 8 =  10.3953325
1.34 ^ 9 =  13.9297456
1.34 ^ 10 =  18.6658591
1.34 ^ 11 =  25.0122512
1.34 ^ 12 =  33.5164166
1.34 ^ 13 =  44.9119983
1.34 ^ 14 =  60.1820777
1.34 ^ 15 =  80.6439841
1.34 ^ 16 =  108.062939
1.34 ^ 17 =  144.804338
1.34 ^ 18 =  194.037813
1.34 ^ 19 =  260.010669
1.34 ^ 20 =  348.414297
1.34 ^ 21 =  466.875157
1.34 ^ 22 =  625.612711
1.34 ^ 23 =  838.321033
1.34 ^ 24 =  1123.35018
1.34 ^ 25 =  1505.28925
1.34 ^ 26 =  2017.08759
1.34 ^ 27 =  2702.89737
1.34 ^ 28 =  3621.88248
1.34 ^ 29 =  4853.32252
1.34 ^ 30 =  6503.45218
1.34 ^ 31 =  8714.62592
1.34 ^ 32 =  11677.5987
1.34 ^ 33 =  15647.9823
1.34 ^ 34 =  20968.2963
1.34 ^ 35 =  28097.5170
1.34 ^ 36 =  37650.6728
1.34 ^ 37 =  50451.9015
1.34 ^ 38 =  67605.5481
1.34 ^ 39 =  90591.4344
1.34 ^ 40 =  121392.522
1.34 ^ 41 =  162665.980
1.34 ^ 42 =  217972.413
1.34 ^ 43 =  292083.033
1.34 ^ 44 =  391391.264
1.34 ^ 45 =  524464.294
1.34 ^ 46 =  702782.154
1.34 ^ 47 =  941728.086
1.34 ^ 48 =  1261915.64
1.34 ^ 49 =  1690966.95
1.34 ^ 50 =  2265895.72
1.34 ^ 51 =  3036300.26
1.34 ^ 52 =  4068642.35
1.34 ^ 53 =  5451980.74
