           0.521 ( 1.985 %)	           0.498 ( 7.293 %)	           0.747 (16.003 %)	           1.660 (30.384 %)	           0.517 ( 9.426 %)
           3.227 (11.611 %)	           0.003 ( 0.044 %)	           1.963 (35.103 %)	           0.683 (15.019 %)	           1.856 (24.364 %)
           7.254 (21.735 %)	           0.650 ( 9.510 %)	           0.003 ( 0.064 %)	           1.940 (29.829 %)	           1.384 (22.741 %)
           3.936 (12.749 %)	           0.199 ( 3.118 %)	           1.669 (26.154 %)	           1.368 (21.890 %)	           0.775 (13.528 %)
           5.041 (16.334 %)	           1.018 (14.231 %)	           1.288 (23.507 %)	           2.782 (30.383 %)	           1.372 (23.346 %)
           5.707 (18.417 %)	           2.129 (23.432 %)	           0.345 ( 7.759 %)	           0.502 (10.971 %)	           0.846 (15.533 %)
           4.236 (14.003 %)	           1.643 (20.399 %)	           0.003 ( 0.064 %)	           1.603 (24.741 %)	           0.094 ( 1.755 %)
           4.795 (15.634 %)	           0.182 ( 2.748 %)	           0.002 ( 0.056 %)	           1.429 (23.864 %)	           0.985 (17.705 %)
           3.813 (13.582 %)	           1.309 (18.442 %)	           1.440 (25.867 %)	           1.682 (24.357 %)	           1.716 (22.039 %)
           4.679 (16.090 %)	           0.685 ( 9.777 %)	           0.516 (11.576 %)	           0.549 (11.370 %)	           1.703 (26.352 %)
           3.368 (11.763 %)	           1.754 (22.039 %)	           0.470 (10.658 %)	           0.380 ( 7.956 %)	           1.010 (17.454 %)
           3.288 (11.925 %)	           1.479 (20.368 %)	           0.975 (18.909 %)	           1.707 (34.636 %)	           1.095 (19.888 %)
           3.026 (10.508 %)	           1.098 (16.461 %)	           1.135 (19.592 %)	           2.102 (37.502 %)	           0.638 (11.985 %)
           1.454 ( 5.402 %)	           0.003 ( 0.050 %)	           0.386 ( 8.446 %)	           0.608 (13.129 %)	           0.272 ( 5.071 %)
           2.704 ( 9.733 %)	           0.433 ( 6.536 %)	           0.349 ( 7.626 %)	           1.884 (26.883 %)	           0.734 (12.723 %)
           3.707 (12.798 %)	           1.525 (19.638 %)	           0.325 ( 7.442 %)	           0.002 ( 0.053 %)	           2.392 (30.759 %)
           4.367 (14.973 %)	           2.107 (21.100 %)	           2.119 (32.500 %)	           0.525 (10.940 %)	           1.975 (26.037 %)
           1.483 ( 5.408 %)	           2.294 (24.896 %)	           0.661 (13.862 %)	           1.499 (21.442 %)	           1.052 (18.541 %)
           2.017 ( 7.327 %)	           0.693 (10.333 %)	           0.393 ( 8.553 %)	           0.003 ( 0.054 %)	           0.692 (13.227 %)
           4.021 (14.163 %)	           0.153 ( 2.299 %)	           1.583 (28.870 %)	           0.465 ( 9.869 %)	           1.617 (28.010 %)
           4.864 (16.787 %)	           1.841 (19.837 %)	           2.562 (28.999 %)	           2.684 (34.459 %)	           1.216 (21.100 %)
           3.262 (11.751 %)	           1.855 (22.698 %)	           0.671 (14.500 %)	           1.939 (32.189 %)	           1.210 (21.077 %)
           4.613 (16.477 %)	           0.370 ( 5.647 %)	           0.438 (10.111 %)	           0.967 (20.279 %)	           2.396 (26.599 %)
           0.760 ( 2.864 %)	           0.248 ( 3.860 %)	           2.640 (41.992 %)	           1.383 (26.634 %)	       17407.749 (-575.538 %)
           0.355 ( 1.356 %)	           0.434 ( 6.314 %)	           0.002 ( 0.051 %)	           0.214 ( 4.565 %)	           1.332 (23.982 %)
           3.162 (11.295 %)	           1.943 (22.656 %)	           0.002 ( 0.056 %)	           1.522 (28.407 %)	           0.146 ( 2.895 %)
           0.325 ( 1.239 %)	           0.524 ( 7.708 %)	           0.003 ( 0.076 %)	           0.696 (14.662 %)	           0.620 (11.526 %)
           5.458 (18.344 %)	           0.101 ( 1.533 %)	           1.768 (29.973 %)	           0.423 ( 9.439 %)	           0.943 (16.611 %)
           3.177 (10.692 %)	           0.583 ( 8.526 %)	           0.002 ( 0.047 %)	           0.444 (10.020 %)	           0.785 (14.104 %)
           6.514 (21.871 %)	           1.266 (16.526 %)	           0.002 ( 0.038 %)	           1.202 (21.197 %)	           0.214 ( 4.116 %)
