           0.042 	           0.125 	           0.193 	           0.002 	           0.143 
           0.076 	           0.002 	           0.003 	           0.002 	           0.002 
           0.062 	           0.004 	           0.069 	           0.002 	           0.002 
           0.054 	           0.002 	           0.002 	           0.007 	           0.196 
           0.099 	           0.002 	           0.002 	           0.002 	           0.115 
           1.584 	           0.002 	           0.112 	           0.002 	           0.024 
           0.571 	           0.004 	           0.002 	           0.099 	           0.094 
           0.075 	           0.431 	           0.002 	           0.002 	           0.003 
           0.064 	           0.005 	           0.067 	           0.002 	           0.025 
           0.070 	           0.003 	           0.091 	           0.002 	           0.026 
           0.073 	           0.002 	           0.069 	           0.002 	           0.230 
           0.070 	           0.003 	           0.068 	           0.007 	           0.025 
           0.067 	           0.158 	           0.002 	           0.092 	           0.019 
           0.095 	           1.090 	           0.017 	           0.008 	           0.840 
           0.079 	           0.025 	           0.128 	           0.002 	           0.022 
           0.041 	           0.002 	           0.083 	           0.002 	           0.122 
           0.102 	           0.003 	           0.002 	           0.006 	           0.025 
           0.078 	           0.001 	           0.002 	           0.150 	           0.002 
           0.626 	           0.001 	           0.320 	           0.036 	           0.022 
           0.056 	           0.002 	           0.002 	           0.188 	           0.026 
           0.073 	           0.002 	           0.002 	           0.007 	           0.024 
       17407.765 	           0.001 	           0.002 	           0.002 	           1.180 
           0.072 	           0.001 	           0.095 	           0.002 	           0.020 
           0.086 	           0.004 	           0.069 	           0.002 	           0.002 
           0.067 	           0.002 	       17407.760 	           1.725 	           0.023 
           0.074 	           0.008 	           0.002 	           0.002 	           0.003 
           0.063 	           0.079 	           0.127 	           0.002 	           0.798 
           0.074 	           0.772 	           0.002 	           0.002 	           0.003 
           0.060 	           0.001 	           0.094 	           0.002 	           0.024 
           0.068 	           0.003 	           0.140 	           0.002 	           0.002 
           0.075 	           0.002 	           0.002 	           0.069 	           0.121 
           0.076 	           0.359 	           0.097 	           0.005 	           0.113 
           0.069 	           0.002 	           0.020 	           0.002 	           0.111 
           0.059 	           0.002 	           0.002 	           0.002 	           0.002 
           0.059 	           0.002 	           0.026 	           0.002 	           0.887 
           0.040 	           0.002 	           0.191 	           0.002 	           0.624 
           0.082 	           0.003 	           0.069 	           0.002 	           0.022 
           1.181 	           0.002 	           0.115 	           0.058 	           0.002 
           0.074 	           0.002 	           0.003 	           0.643 	           0.003 
           0.654 	           0.122 	           0.003 	           0.002 	           1.037 
           0.072 	           0.002 	           0.019 	           0.002 	           0.021 
           0.073 	           0.001 	           0.002 	           0.002 	           0.025 
           0.081 	           0.005 	           0.002 	           0.002 	           0.036 
           0.069 	           0.206 	           0.068 	           0.002 	           0.025 
           0.085 	           0.642 	           0.002 	           0.002 	           0.090 
           0.086 	           0.004 	           0.002 	           0.002 	           0.025 
           0.068 	           0.119 	           0.002 	           0.002 	           0.002 
           1.070 	           0.002 	           0.002 	           0.002 	           0.002 
           0.068 	           0.654 	           0.191 	           0.002 	           0.062 
           0.042 	           0.002 	           0.121 	           0.095 	           0.096 
           0.062 	           0.003 	           0.001 	           0.002 	           0.003 
           0.066 	           0.662 	           0.003 	           0.002 	           0.024 
           0.070 	           0.773 	           0.002 	           0.007 	           0.845 
           0.074 	           0.056 	           0.015 	           0.002 	           0.467 
           0.103 	           0.271 	           0.002 	           0.002 	           0.002 
           0.070 	           0.004 	           0.002 	           0.002 	           0.162 
           0.059 	           0.002 	           0.254 	           0.002 	           0.557 
           2.444 	           0.597 	           0.127 	           0.002 	           0.003 
           0.088 	           0.014 	           0.003 	           0.005 	           0.002 
           0.479 	           0.004 	           0.095 	           0.002 	           0.322 
