rapid	1.0556640625^60	1712921443.96670603752136230	1712921444.76031613349914551
rapid	1.1064453125^60	1712921484.49642324447631836	1712921485.30538249015808105
rapid	1.013671875^60	1712921524.85038781166076660	1712921525.65013122558593750
rapid	1.033203125^60	1712921565.24448227882385254	1712921566.04587459564208984
rapid	1.0244140625^60	1712921605.51779413223266602	1712921606.33520007133483887
rapid	1.1279296875^60	1712921645.94959044456481934	1712921646.73847675323486328
rapid	1.1201171875^60	1712921686.36999273300170898	1712921687.16723704338073730
rapid	1.0966796875^60	1712921726.78617930412292480	1712921727.57919836044311523
rapid	1.1337890625^60	1712921767.02976560592651367	1712921767.82674169540405273
rapid	1.1552734375^60	1712921807.47724270820617676	1712921808.27686691284179688
rapid	1.01953125^60	1712921847.93132925033569336	1712921848.72260165214538574
rapid	1.0791015625^60	1712921888.44289755821228027	1712921889.25217628479003906
rapid	1.0830078125^60	1712921928.90675783157348633	1712921929.71617889404296875
rapid	1.1142578125^60	1712921969.35501670837402344	1712921970.15195131301879883
rapid	1.091796875^60	1712922009.69388866424560547	1712922010.48853373527526855
rapid	1.140625^60	1712922050.26202392578125000	1712922051.05904555320739746
rapid	1.1083984375^60	1712922090.63008737564086914	1712922091.43856739997863770
rapid	1.0400390625^60	1712922130.91160416603088379	1712922131.71227598190307617
rapid	1.1689453125^60	1712922171.11822438240051270	1712922171.92920422554016113
rapid	1.0244140625^60	1712922211.54036402702331543	1712922212.34072446823120117
rapid	1.1181640625^60	1712922251.80006146430969238	1712922252.59439802169799805
rapid	1.1875^60	1712922292.18317532539367676	1712922292.99065446853637695
rapid	1.076171875^60	1712922332.64951086044311523	1712922333.46260213851928711
rapid	1.14453125^60	1712922372.98580360412597656	1712922373.78118395805358887
rapid	1.080078125^60	1712922413.57769060134887695	1712922414.38780355453491211
rapid	1.1494140625^60	1712922453.93758225440979004	1712922454.74368286132812500
rapid	1.0234375^60	1712922494.15611004829406738	1712922494.97214150428771973
rapid	1.05078125^60	1712922534.48674154281616211	1712922535.28341770172119141
rapid	1.0556640625^60	1712922574.96051621437072754	1712922575.75491833686828613
rapid	1.1083984375^60	1712922615.39827251434326172	1712922616.21717381477355957
rapid	1.0712890625^60	1712922655.87242221832275391	1712922656.66905975341796875
rapid	1.18359375^60	1712922696.33978676795959473	1712922697.13897156715393066
rapid	1.041015625^60	1712922736.55379056930541992	1712922737.36467266082763672
rapid	1.134765625^60	1712922777.06013083457946777	1712922777.85690402984619141
rapid	1.0888671875^60	1712922817.28408837318420410	1712922818.07570576667785645
rapid	1.037109375^60	1712922857.65112233161926270	1712922858.46980094909667969
rapid	1.0986328125^60	1712922898.04079699516296387	1712922898.84195041656494141
rapid	1.0439453125^60	1712922938.43823122978210449	1712922939.23472094535827637
rapid	1.177734375^60	1712922978.64743494987487793	1712922979.44781374931335449
rapid	1.12109375^60	1712923019.13543224334716797	1712923019.94451284408569336
rapid	1.080078125^60	1712923059.58179426193237305	1712923060.39127063751220703
rapid	1.0205078125^60	1712923100.05432295799255371	1712923100.86658906936645508
rapid	1.140625^60	1712923140.53950667381286621	1712923141.33558487892150879
rapid	1.0859375^60	1712923180.87220358848571777	1712923181.69011235237121582
rapid	1.0849609375^60	1712923221.08585953712463379	1712923221.88524699211120605
rapid	1.0361328125^60	1712923261.48387598991394043	1712923262.28265547752380371
rapid	1.1396484375^60	1712923301.69782662391662598	1712923302.50570654869079590
rapid	1.0654296875^60	1712923341.97544074058532715	1712923342.77319502830505371
rapid	1.0234375^60	1712923382.59007811546325684	1712923383.38803076744079590
rapid	1.10546875^60	1712923423.07620477676391602	1712923423.88304972648620605
