           4.314 	           3.044 	           0.826 	           2.546 	           1.606 
           6.977 	           1.722 	           2.366 	           6.151 	           0.488 
           3.352 	           1.191 	           2.673 	           7.191 	           0.960 
           1.430 	           1.108 	           0.203 	           4.005 	           1.975 
           1.629 	           1.512 	           2.337 	           4.512 	           1.867 
           4.792 	           2.070 	           3.285 	           3.838 	           2.124 
           8.831 	           2.314 	           0.300 	           4.868 	           0.519 
           6.965 	           2.442 	           0.901 	           3.819 	           1.311 
           0.280 	           0.279 	           5.228 	           2.862 	           0.747 
           2.110 	           0.874 	           1.498 	           4.026 	           0.224 
           3.303 	           0.483 	           1.325 	           0.417 	           1.524 
           4.022 	           0.163 	           2.536 	           3.526 	           0.699 
           9.462 	           0.199 	           2.751 	           4.538 	           2.182 
           2.918 	           1.403 	           0.042 	           3.197 	           0.379 
           4.924 	           2.729 	           0.216 	           3.511 	           0.587 
           4.992 	           2.861 	           3.103 	           2.403 	           0.933 
           3.607 	           2.890 	           2.402 	           4.049 	           4.188 
           5.457 	           2.405 	           0.207 	           3.401 	           3.704 
           2.147 	           1.779 	           3.162 	           3.734 	           2.917 
           1.407 	           1.079 	           2.095 	           3.081 	           3.909 
          10.985 	           2.357 	           3.317 	           4.797 	           0.129 
           4.273 	           1.861 	           0.365 	           4.143 	           0.472 
           4.569 	           2.988 	           1.551 	           3.680 	           1.970 
           4.525 	           3.478 	           3.293 	           4.805 	           2.448 
           0.665 	           2.955 	           2.608 	          61.150 	           1.208 
           2.302 	           3.309 	           1.186 	          14.026 	           0.726 
           3.173 	           3.146 	           0.553 	           8.105 	           1.094 
           2.459 	           2.023 	           4.597 	           2.590 	           0.503 
           3.997 	           2.889 	           0.163 	           4.645 	           0.911 
           1.468 	           2.371 	           0.844 	           4.168 	           3.507 
           3.284 	           1.149 	           2.775 	           3.974 	           1.970 
           4.971 	           2.137 	           2.026 	           0.822 	           0.468 
           4.339 	           3.328 	           1.852 	           3.717 	           0.310 
           3.239 	           2.156 	           2.193 	           1.924 	           0.587 
           1.103 	           2.192 	           3.769 	           3.662 	           1.812 
           3.428 	           7.379 	           2.646 	           3.358 	           2.803 
           3.029 	           2.372 	           2.326 	           3.008 	           0.510 
           5.112 	           3.229 	           3.315 	           3.862 	           1.172 
           4.479 	           1.852 	           0.852 	           1.846 	           0.312 
           0.310 	           0.177 	           0.181 	           2.612 	           2.152 
           9.690 	           1.204 	           2.299 	           1.100 	           2.522 
           5.426 	           0.941 	           1.395 	           0.622 	           1.011 
           2.848 	           2.080 	           2.281 	           2.713 	           0.829 
           1.015 	           2.956 	           1.790 	           1.453 	           1.442 
           1.034 	           0.177 	           1.690 	           1.094 	           0.516 
           4.714 	           1.907 	           2.708 	           2.227 	           0.842 
           6.901 	           2.648 	           4.015 	           2.624 	           1.755 
           2.976 	           1.970 	           0.550 	           0.226 	           1.770 
           6.668 	           2.402 	           1.030 	           2.919 	           2.023 
           4.492 	           0.434 	           1.386 	           3.306 	           1.299 
           0.444 	           0.971 	           2.091 	           4.728 	           0.719 
           0.328 	           0.832 	           0.465 	           3.469 	           0.782 
           1.374 	           2.469 	           0.969 	           0.112 	           0.549 
           2.251 	           1.541 	           4.294 	           2.741 	           4.083 
           4.002 	           0.194 	           2.230 	           0.231 	           1.234 
           0.360 	           3.162 	           0.993 	           4.448 	           3.754 
           3.244 	           0.565 	           0.243 	           2.411 	           1.127 
           3.302 	           3.084 	           2.509 	           0.289 	           6.827 
           4.381 	           3.106 	           1.988 	           2.414 	           1.816 
           4.745 	           3.864 	           1.355 	           2.388 	           0.022 
           1.348 	           1.354 	           0.255 	           0.885 	           0.617 
           0.171 	           1.115 	           3.232 	           2.832 	           1.232 
           2.127 	           0.653 	           0.040 	           1.144 	           1.582 
           4.373 	           2.659 	           0.464 	           5.488 	           2.387 
           3.973 	           2.432 	           1.832 	           2.701 	           1.774 
           0.637 	           0.947 	           5.550 	           2.528 	           1.102 
           9.186 	           2.495 	           2.417 	           1.880 	           3.425 
          11.521 	           2.967 	           0.275 	           2.820 	           0.819 
           4.872 	           1.944 	           3.536 	           3.204 	           1.869 
           4.564 	           0.803 	           3.059 	           4.445 	           2.560 
           3.258 	           0.648 	           2.049 	           5.203 	           1.242 
           2.418 	           0.712 	           4.035 	           3.713 	           2.363 
           4.882 	           1.838 	           2.401 	           2.049 	           2.133 
           1.013 	           1.595 	           0.793 	           5.597 	           0.531 
           4.796 	           1.987 	           1.465 	           7.336 	           2.486 
           4.326 	           2.529 	           0.998 	           2.323 	           0.376 
           3.807 	           2.705 	           2.605 	           0.237 	           0.410 
           0.518 	           2.681 	           2.769 	           3.345 	           1.116 
           1.461 	           3.730 	           3.356 	           0.048 	           1.846 
           4.631 	           2.815 	           2.970 	           1.074 	           2.023 
           4.347 	           0.734 	           4.022 	           2.884 	           2.801 
           5.115 	           0.793 	           2.979 	           2.786 	           0.734 
           2.455 	           3.168 	           3.872 	           0.713 	           1.003 
           7.476 	           2.357 	           2.928 	           2.525 	           0.895 
           9.635 	           0.537 	           2.871 	           0.850 	           0.686 
           9.714 	           5.234 	           0.656 	           3.345 	           1.989 
           4.827 	           5.805 	           7.377 	           2.994 	           2.298 
           1.037 	           0.516 	           1.981 	           1.540 	           1.378 
           1.166 	           0.961 	           2.439 	           2.916 	           1.383 
           1.755 	           2.704 	           4.395 	           2.474 	           0.950 
