8727963568087.726562;8727963568087.731445
8727963568087.724609;8727963568087.727539
8727963568087.730469;8727963568087.722656
8727963568087.728516;8727963568087.727539
8727963568087.720703;8727963568087.725586
8727963568087.731445;8727963568087.721680
8727963568087.727539;8727963568087.723633
8727963568087.733398;8727963568087.733398
8727963568087.737305;8727963568087.728516
8727963568087.723633;8727963568087.721680
8727963568087.733398;8727963568087.728516
8727963568087.732422;8727963568087.733398
8727963568087.734375;8727963568087.720703
8727963568087.721680;8727963568087.724609
8727963568087.740234;8727963568087.726562
8727963568087.733398;8727963568087.724609
8727963568087.726562;8727963568087.735352
8727963568087.730469;8727963568087.736328
8727963568087.733398;8727963568087.732422
8727963568087.726562;8727963568087.740234
8727963568087.728516;8727963568087.729492
8727963568087.733398;8727963568087.728516
8727963568087.727539;8727963568087.729492
8727963568087.728516;8727963568087.729492
8727963568087.718750;8727963568087.737305
8727963568087.722656;8727963568087.727539
8727963568087.721680;8727963568087.731445
8727963568087.733398;8727963568087.722656
8727963568087.729492;8727963568087.720703
8727963568087.725586;8727963568087.734375
8727963568087.730469;8727963568087.731445
8727963568087.723633;8727963568087.722656
8727963568087.726562;8727963568087.727539
8727963568087.729492;8727963568087.732422
8727963568087.737305;8727963568087.726562
8727963568087.725586;8727963568087.735352
8727963568087.726562;8727963568087.726562
8727963568087.729492;8727963568087.732422
8727963568087.726562;8727963568087.729492
8727963568087.734375;8727963568087.722656
8727963568087.741211;8727963568087.725586
8727963568087.736328;8727963568087.732422
8727963568087.731445;8727963568087.724609
8727963568087.732422;8727963568087.727539
8727963568087.736328;8727963568087.740234
8727963568087.734375;8727963568087.727539
8727963568087.725586;8727963568087.719727
8727963568087.736328;8727963568087.722656
8727963568087.724609;8727963568087.719727
8727963568087.726562;8727963568087.728516
8727963568087.731445;8727963568087.727539
8727963568087.739258;8727963568087.736328
8727963568087.726562;8727963568087.734375
8727963568087.727539;8727963568087.729492
8727963568087.726562;8727963568087.721680
8727963568087.733398;8727963568087.727539
8727963568087.722656;8727963568087.734375
8727963568087.728516;8727963568087.728516
8727963568087.734375;8727963568087.729492
8727963568087.730469;8727963568087.733398
8727963568087.736328;8727963568087.729492
8727963568087.729492;8727963568087.728516
8727963568087.725586;8727963568087.722656
8727963568087.728516;8727963568087.733398
8727963568087.729492;8727963568087.732422
8727963568087.720703;8727963568087.732422
8727963568087.738281;8727963568087.726562
8727963568087.726562;8727963568087.729492
8727963568087.728516;8727963568087.726562
8727963568087.728516;8727963568087.733398
8727963568087.726562;8727963568087.728516
8727963568087.733398;8727963568087.718750
8727963568087.731445;8727963568087.721680
8727963568087.732422;8727963568087.734375
8727963568087.736328;8727963568087.737305
8727963568087.719727;8727963568087.721680
8727963568087.722656;8727963568087.733398
8727963568087.733398;8727963568087.729492
8727963568087.727539;8727963568087.729492
8727963568087.720703;8727963568087.728516
8727963568087.734375;8727963568087.727539
8727963568087.740234;8727963568087.732422
8727963568087.727539;8727963568087.730469
8727963568087.717773;8727963568087.730469
8727963568087.724609;8727963568087.728516
8727963568087.728516;8727963568087.726562
8727963568087.738281;8727963568087.729492
8727963568087.724609;8727963568087.733398
8727963568087.728516;8727963568087.728516
8727963568087.729492;8727963568087.728516
8727963568087.729492;8727963568087.724609
8727963568087.728516;8727963568087.725586
8727963568087.728516;8727963568087.725586
8727963568087.724609;8727963568087.732422
8727963568087.725586;8727963568087.724609
8727963568087.717773;8727963568087.728516
8727963568087.727539;8727963568087.724609
8727963568087.732422;8727963568087.722656
8727963568087.727539;8727963568087.732422
8727963568087.729492;8727963568087.729492
