     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;          10.500;          77.611;          82.300;          77.940;           0.866 ( 1.110 %);     97.888
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;       62922.607;          13.411;          14.385;          14.005;           0.244 ( 1.746 %);    544.761
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   504726938.783;          54.365;          61.691;          55.115;           1.210 ( 2.195 %);    138.427
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;         147.602;          25.885;          29.690;          26.227;           0.631 ( 2.405 %);    290.903
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;         424.151;          77.598;          99.928;          79.668;           5.077 ( 6.373 %);     95.764
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;          10.579;          13.437;          14.413;          14.011;           0.241 ( 1.720 %);    544.534
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   504433995.328;          54.367;          63.868;          55.611;           2.472 ( 4.445 %);    137.192
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;          20.753;          25.887;          35.425;          26.741;           2.088 ( 7.807 %);    285.307
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;      160180.457;          77.601;         101.097;          80.092;           6.047 ( 7.551 %);     95.258
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;     1112615.062;          13.436;          14.400;          14.010;           0.243 ( 1.733 %);    544.555
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   504141238.890;          54.368;          76.541;          55.868;           3.800 ( 6.801 %);    136.561
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;           4.028;          25.901;          36.537;          27.064;           2.415 ( 8.923 %);    281.900
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000; 2630025297955.084;          76.734;         103.114;          79.277;           5.765 ( 7.272 %);     96.237
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;          31.970;          13.422;          14.116;          14.000;           0.230 ( 1.641 %);    544.951
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   503848669.337;          54.364;          72.169;          55.667;           3.203 ( 5.754 %);    137.055
  naif_ite;           0.016;           0.000;           0.000;         10;      10000; 20329621548048845024977223680.000;          25.902;          39.781;          27.500;           3.654 (13.288 %);    277.428
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;           7.938;          77.616;          97.173;          79.549;           5.289 ( 6.649 %);     95.908
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;    63615304.628;          13.420;          15.217;          14.017;           0.332 ( 2.366 %);    544.283
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   503556286.540;          54.366;          75.657;          56.412;           4.347 ( 7.706 %);    135.245
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;   576795950.243;          25.912;          28.820;          26.221;           0.500 ( 1.905 %);    290.964
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;         283.639;          77.601;          98.156;          78.756;           3.786 ( 4.808 %);     96.874
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;         110.883;          13.422;          20.535;          14.190;           1.247 ( 8.789 %);    537.664
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   503264090.368;          54.369;          61.846;          55.950;           1.878 ( 3.357 %);    136.362
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;      595512.449;          25.910;          37.832;          26.857;           2.386 ( 8.885 %);    284.076
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;       78209.944;          77.608;          98.288;          79.249;           4.896 ( 6.178 %);     96.271
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000; 63502768424.587;          13.436;          15.033;          13.958;           0.349 ( 2.501 %);    546.592
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   502972080.692;          54.366;          78.454;          57.010;           5.600 ( 9.823 %);    133.825
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;       10521.180;          25.905;          36.127;          27.523;           2.403 ( 8.731 %);    277.199
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000; 96680610973.489;          77.302;          98.378;          80.558;           5.750 ( 7.138 %);     94.707
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;         459.014;          13.425;          23.771;          14.950;           2.648 (17.709 %);    510.325
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   502680257.382;          54.366;          74.203;          56.330;           4.650 ( 8.255 %);    135.440
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;         598.034;          25.902;          33.685;          26.773;           1.945 ( 7.264 %);    284.965
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;           6.047;          77.598;          94.196;          78.848;           3.830 ( 4.857 %);     96.760
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000; 5430264226369157412337044900806656.000;          13.434;          24.765;          14.596;           2.151 (14.736 %);    522.702
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   502388620.307;          54.363;          68.089;          56.320;           3.128 ( 5.555 %);    135.465
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;          64.574;          25.904;          36.770;          26.624;           2.010 ( 7.550 %);    286.565
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;         192.651;          77.612;         117.172;          80.748;           8.495 (10.521 %);     94.484
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;        2405.357;          13.435;          22.335;          14.567;           1.805 (12.388 %);    523.756
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   502097169.339;          54.785;          70.897;          56.424;           3.978 ( 7.050 %);    135.215
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;          10.468;          25.891;          35.203;          26.671;           1.919 ( 7.195 %);    286.060
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;       40063.574;          77.618;         100.885;          80.892;           6.543 ( 8.088 %);     94.315
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;           2.360;          13.429;          14.108;          14.005;           0.216 ( 1.545 %);    544.755
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   501805904.348;          54.364;          79.727;          56.177;           4.980 ( 8.865 %);    135.810
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;           2.247;          25.924;          35.987;          26.968;           2.374 ( 8.802 %);    282.907
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;  8105442395.007;          77.605;         102.323;          80.840;           7.549 ( 9.338 %);     94.377
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;       17531.086;          13.439;          14.117;          14.002;           0.227 ( 1.619 %);    544.880
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   501514825.203;          54.366;          68.282;          56.168;           3.495 ( 6.222 %);    135.833
  naif_ite;           0.016;           0.000;           0.000;         10;      10000; 4941982970724.866;          25.892;          33.879;          26.714;           1.693 ( 6.338 %);    285.600
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;           4.640;          77.599;          92.094;          78.287;           2.546 ( 3.252 %);     97.454
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;           6.068;          13.440;          14.122;          14.001;           0.225 ( 1.611 %);    544.932
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   501223931.777;          54.720;          62.055;          55.753;           1.824 ( 3.271 %);    136.844
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;    20934404.734;          25.907;          41.576;          26.932;           2.897 (10.758 %);    283.284
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;         132.750;          77.604;          96.754;          78.910;           4.161 ( 5.274 %);     96.685
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;      209578.868;          13.414;          15.573;          14.031;           0.360 ( 2.563 %);    543.741
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   500933223.940;          54.412;          77.710;          57.405;           5.200 ( 9.058 %);    132.904
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;       98040.381;          25.910;          39.440;          27.062;           2.746 (10.149 %);    281.928
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;       21402.187;          77.606;          96.061;          79.938;           5.198 ( 6.503 %);     95.441
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;          17.217;          13.425;          21.094;          14.279;           1.468 (10.284 %);    534.314
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   500642701.562;          54.364;          70.118;          56.072;           3.109 ( 5.545 %);    136.063
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;        3043.837;          25.905;          35.846;          26.785;           2.159 ( 8.059 %);    284.842
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;  1113709620.396;          77.613;          98.036;          78.596;           3.653 ( 4.648 %);     97.071
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;     5724118.881;          13.436;          14.108;          13.998;           0.226 ( 1.616 %);    545.041
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   500352364.515;          54.367;          61.359;          55.544;           1.486 ( 2.675 %);    137.358
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;         232.405;          25.896;          41.086;          26.926;           2.863 (10.634 %);    283.352
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;           3.585;          77.618;          97.005;          79.423;           4.985 ( 6.277 %);     96.060
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;          55.168;          13.433;          14.859;          14.051;           0.336 ( 2.390 %);    542.988
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   500062212.669;          54.366;          57.924;          55.082;           0.826 ( 1.499 %);    138.509
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;          30.092;          25.913;          31.714;          26.315;           0.981 ( 3.728 %);    289.924
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;          92.705;          77.618;          78.077;          77.682;           0.129 ( 0.166 %);     98.213
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;   829089520.800;          14.088;          14.310;          14.104;           0.038 ( 0.267 %);    540.926
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   499772245.896;          54.364;          57.427;          54.966;           0.501 ( 0.911 %);    138.802
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;           5.517;          25.907;          26.374;          26.131;           0.071 ( 0.271 %);    291.965
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;       11864.134;          76.725;          77.883;          77.285;           0.441 ( 0.570 %);     98.717
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;         206.147;          14.083;          14.127;          14.096;           0.009 ( 0.063 %);    541.248
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   499482464.066;          54.607;          61.493;          55.429;           1.329 ( 2.398 %);    137.644
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;           1.294;          26.108;          26.350;          26.153;           0.038 ( 0.146 %);    291.725
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;   212741558.286;          77.617;          78.112;          77.710;           0.151 ( 0.195 %);     98.178
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000; 25868368923359.328;          14.069;          14.106;          14.092;           0.009 ( 0.062 %);    541.406
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   499192867.052;          54.365;          56.999;          54.777;           0.518 ( 0.945 %);    139.280
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;  5541481519.437;          25.934;          26.366;          26.139;           0.068 ( 0.258 %);    291.883
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;           2.787;          77.611;          86.446;          78.855;           2.344 ( 2.973 %);     96.752
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;         941.366;          13.429;          19.676;          14.184;           1.015 ( 7.158 %);    537.894
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   498903454.724;          54.667;          61.162;          55.526;           1.436 ( 2.586 %);    137.401
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;     1742581.502;          25.909;          28.752;          26.235;           0.475 ( 1.812 %);    290.811
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;          65.551;          77.600;          86.296;          78.516;           1.868 ( 2.379 %);     97.170
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;           1.460;          13.428;          16.209;          14.077;           0.449 ( 3.191 %);    541.968
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   498614226.955;          54.370;          63.223;          55.442;           1.567 ( 2.827 %);    137.611
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;       21276.220;          25.883;          30.567;          26.470;           1.035 ( 3.909 %);    288.227
