     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       6.838e+18;          30.848;          31.264;          30.862;           0.072 ( 0.234 %)
  naif_ite;         10;      10000;       1.354e+17;           4.631;           4.643;           4.633;           0.002 ( 0.050 %)
  rapi_rec;         10;      10000;       3.057e+26;          11.572;          11.595;          11.574;           0.004 ( 0.034 %)
  rapi_ite;         10;      10000;       1.293e+26;           7.716;           8.116;           7.742;           0.095 ( 1.229 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.454e+16;          30.847;          34.775;          31.167;           0.952 ( 3.056 %)
  naif_ite;         10;      10000;       2.620e+14;           4.246;           4.258;           4.248;           0.002 ( 0.054 %)
  rapi_rec;         10;      10000;       2.367e+32;          11.570;          11.580;          11.574;           0.002 ( 0.016 %)
  rapi_ite;         10;      10000;       7.164e+09;           7.720;           8.331;           8.265;           0.174 ( 2.106 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.524e+10;          30.846;          37.356;          31.082;           1.132 ( 3.642 %)
  naif_ite;         10;      10000;       1.483e+18;           4.247;           4.463;           4.256;           0.037 ( 0.875 %)
  rapi_rec;         10;      10000;       3.231e+09;          11.572;          11.773;          11.597;           0.063 ( 0.541 %)
  rapi_ite;         10;      10000;       3.068e+20;           7.719;           8.319;           7.769;           0.156 ( 2.002 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.597e+26;          30.846;          35.169;          30.991;           0.753 ( 2.429 %)
  naif_ite;         10;      10000;       1.981e+20;           4.248;          10.002;           4.856;           1.249 (25.724 %)
  rapi_rec;         10;      10000;       1.840e+30;          11.572;          12.315;          11.601;           0.131 ( 1.132 %)
  rapi_ite;         10;      10000;       3.493e+16;           7.718;          15.039;          10.255;           2.181 (21.264 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.514e+11;          30.848;          32.500;          31.126;           0.451 ( 1.449 %)
  naif_ite;         10;      10000;       1.789e+13;           4.246;           4.299;           4.260;           0.015 ( 0.358 %)
  rapi_rec;         10;      10000;       4.668e+20;          11.572;          14.046;          11.751;           0.535 ( 4.549 %)
