     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.449e+07;           6.176;           6.206;           6.177;           0.005 ( 0.084 %)
  naif_ite;         10;      10000;       3.710e+18;           5.790;           5.914;           5.795;           0.022 ( 0.371 %)
  rapi_rec;         10;      10000;       1.768e+17;           9.646;          14.529;          10.175;           0.876 ( 8.605 %)
  rapi_ite;         10;      10000;       2.359e+10;           6.948;           8.606;           7.072;           0.338 ( 4.784 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.346e+19;           6.176;           8.636;           6.253;           0.428 ( 6.843 %)
  naif_ite;         10;      10000;       7.180e+20;           5.790;           9.670;           5.946;           0.700 (11.764 %)
  rapi_rec;         10;      10000;       1.376e+09;           9.647;          16.118;          10.310;           1.063 (10.308 %)
  rapi_ite;         10;      10000;       1.869e+17;           6.947;           7.347;           6.982;           0.107 ( 1.539 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.397e+22;           6.175;           6.210;           6.176;           0.006 ( 0.098 %)
  naif_ite;         10;      10000;       1.863e+14;           5.792;           5.803;           5.794;           0.002 ( 0.032 %)
  rapi_rec;         10;      10000;       3.978e+21;           9.646;          13.892;           9.916;           0.775 ( 7.815 %)
  rapi_ite;         10;      10000;       3.710e+14;           6.949;           7.345;           6.999;           0.109 ( 1.561 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       3.532e+08;           6.175;           6.998;           6.388;           0.351 ( 5.496 %)
  naif_ite;         10;      10000;       1.694e+17;           5.791;           5.801;           5.793;           0.002 ( 0.030 %)
  rapi_rec;         10;      10000;       1.747e+15;          10.051;          11.461;          10.302;           0.285 ( 2.765 %)
  rapi_ite;         10;      10000;       2.554e+12;           6.946;           7.627;           7.142;           0.225 ( 3.154 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       6.113e+19;           6.176;           6.206;           6.177;           0.005 ( 0.084 %)
  naif_ite;         10;      10000;       3.859e+15;           5.790;           5.803;           5.791;           0.002 ( 0.040 %)
  rapi_rec;         10;      10000;       8.954e+20;          10.416;          10.551;          10.422;           0.023 ( 0.224 %)
  rapi_ite;         10;      10000;       6.528e+10;           6.951;           7.023;           6.972;           0.010 ( 0.149 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       7.179e+17;           6.176;           6.208;           6.177;           0.006 ( 0.091 %)
  naif_ite;         10;      10000;       2.104e+14;           5.790;           9.275;           5.965;           0.689 (11.549 %)
  rapi_rec;         10;      10000;       6.907e+13;           9.646;          14.413;          10.003;           0.968 ( 9.680 %)
  rapi_ite;         10;      10000;       1.907e+15;           6.946;           7.347;           6.984;           0.114 ( 1.634 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       3.063e+12;           6.175;           6.207;           6.176;           0.006 ( 0.089 %)
  naif_ite;         10;      10000;       2.773e+17;           6.174;           6.190;           6.175;           0.003 ( 0.044 %)
  rapi_rec;         10;      10000;       2.332e+11;           9.647;          11.364;           9.746;           0.346 ( 3.551 %)
  rapi_ite;         10;      10000;       1.032e+16;           6.946;           7.342;           6.983;           0.114 ( 1.628 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.604e+09;           6.174;           6.212;           6.177;           0.006 ( 0.105 %)
  naif_ite;         10;      10000;       7.731e+12;           5.788;           6.887;           5.824;           0.191 ( 3.277 %)
  rapi_rec;         10;      10000;       2.729e+12;           9.647;          15.766;           9.903;           1.076 (10.868 %)
  rapi_ite;         10;      10000;       8.342e+18;           6.945;           7.347;           6.993;           0.130 ( 1.852 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       3.640e+14;           6.176;           6.206;           6.178;           0.006 ( 0.095 %)
  naif_ite;         10;      10000;       1.552e+18;           5.792;           5.804;           5.793;           0.002 ( 0.036 %)
  rapi_rec;         10;      10000;       2.241e+11;          10.416;          12.130;          10.470;           0.298 ( 2.846 %)
  rapi_ite;         10;      10000;       2.221e+15;           6.947;           6.961;           6.950;           0.002 ( 0.034 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       7.271e+15;           6.175;           6.204;           6.176;           0.005 ( 0.082 %)
  naif_ite;         10;      10000;       4.174e+21;           5.790;           6.214;           5.809;           0.077 ( 1.332 %)
  rapi_rec;         10;      10000;       2.815e+21;           9.683;          13.904;           9.971;           0.770 ( 7.727 %)
  rapi_ite;         10;      10000;       4.264e+16;           7.333;           7.346;           7.335;           0.002 ( 0.032 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       3.277e+23;           6.175;           6.204;           6.176;           0.005 ( 0.081 %)
  naif_ite;         10;      10000;       2.003e+18;           5.790;           5.803;           5.791;           0.002 ( 0.038 %)
  rapi_rec;         10;      10000;       8.599e+12;           9.647;          10.420;           9.728;           0.229 ( 2.357 %)
  rapi_ite;         10;      10000;       1.194e+18;           6.945;           7.343;           6.970;           0.095 ( 1.359 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.068e+13;           6.177;           7.024;           6.206;           0.147 ( 2.368 %)
  naif_ite;         10;      10000;       7.308e+11;           5.790;           5.922;           5.795;           0.023 ( 0.394 %)
  rapi_rec;         10;      10000;       1.704e+10;           9.647;          14.523;          10.450;           1.374 (13.149 %)
  rapi_ite;         10;      10000;       3.316e+13;           6.947;           7.311;           6.961;           0.063 ( 0.903 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       4.681e+11;           6.174;           6.206;           6.176;           0.005 ( 0.088 %)
  naif_ite;         10;      10000;       3.855e+35;           5.790;           5.930;           5.795;           0.024 ( 0.419 %)
  rapi_rec;         10;      10000;       1.255e+17;           9.647;          17.820;          10.699;           1.729 (16.159 %)
  rapi_ite;         10;      10000;       6.887e+12;           6.946;           7.346;           6.981;           0.110 ( 1.571 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       8.480e+18;           6.175;           6.205;           6.177;           0.005 ( 0.082 %)
  naif_ite;         10;      10000;       2.326e+13;           5.789;           5.904;           5.795;           0.020 ( 0.339 %)
  rapi_rec;         10;      10000;       2.170e+12;           9.647;          10.702;          10.264;           0.328 ( 3.198 %)
  rapi_ite;         10;      10000;       4.648e+14;           6.949;           6.958;           6.951;           0.002 ( 0.023 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       3.644e+14;           6.176;           6.450;           6.186;           0.048 ( 0.774 %)
  naif_ite;         10;      10000;       3.958e+14;           6.177;           6.196;           6.179;           0.003 ( 0.052 %)
  rapi_rec;         10;      10000;       1.374e+13;          10.416;          10.547;          10.422;           0.023 ( 0.216 %)
  rapi_ite;         10;      10000;       2.525e+22;           6.947;           7.291;           6.960;           0.060 ( 0.856 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.155e+14;           6.174;           6.207;           6.176;           0.006 ( 0.090 %)
  naif_ite;         10;      10000;       6.571e+20;           5.791;           6.997;           5.850;           0.240 ( 4.103 %)
  rapi_rec;         10;      10000;       2.203e+20;           9.681;          14.052;           9.932;           0.790 ( 7.957 %)
  rapi_ite;         10;      10000;       2.475e+14;           6.947;           7.348;           6.974;           0.095 ( 1.361 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       4.477e+13;           6.176;           6.207;           6.178;           0.005 ( 0.085 %)
  naif_ite;         10;      10000;       1.000e+19;           5.792;           6.533;           5.816;           0.129 ( 2.213 %)
  rapi_rec;         10;      10000;       1.349e+24;          10.031;          10.561;          10.227;           0.199 ( 1.950 %)
  rapi_ite;         10;      10000;       1.165e+17;           6.947;           7.429;           7.182;           0.193 ( 2.685 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.898e+25;           6.176;           6.215;           6.178;           0.007 ( 0.107 %)
  naif_ite;         10;      10000;       5.192e+12;           5.790;           5.930;           5.795;           0.024 ( 0.417 %)
  rapi_rec;         10;      10000;       7.977e+16;          10.416;          10.995;          10.447;           0.105 ( 1.005 %)
  rapi_ite;         10;      10000;       5.872e+11;           6.949;           7.551;           7.145;           0.203 ( 2.843 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       8.059e+11;           6.176;           6.221;           6.178;           0.008 ( 0.126 %)
  naif_ite;         10;      10000;       3.727e+23;           5.791;           5.805;           5.793;           0.002 ( 0.040 %)
  rapi_rec;         10;      10000;       2.862e+13;           9.647;          10.991;           9.841;           0.368 ( 3.739 %)
  rapi_ite;         10;      10000;       1.036e+20;           6.946;           6.962;           6.948;           0.003 ( 0.038 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       7.228e+28;           6.176;           6.202;           6.177;           0.005 ( 0.074 %)
  naif_ite;         10;      10000;       5.742e+10;           5.790;           7.455;           5.913;           0.316 ( 5.340 %)
