     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       3.756e+19;          33.166;          83.516;          45.141;          14.752 (32.679 %)
  naif_ite;         10;      10000;       1.460e+12;           5.076;          24.161;           9.793;           4.071 (41.571 %)
  rapi_rec;         10;      10000;       3.500e+12;          19.555;          40.826;          28.044;           4.535 (16.173 %)
  rapi_ite;         10;      10000;       8.149e+13;           6.951;          17.083;          10.831;           2.682 (24.763 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.129e+14;          33.169;          64.309;          41.089;           8.022 (19.524 %)
  naif_ite;         10;      10000;       6.702e+13;           4.250;          11.216;           4.933;           1.395 (28.276 %)
  rapi_rec;         10;      10000;       2.732e+15;          16.586;          19.926;          17.168;           0.728 ( 4.243 %)
  rapi_ite;         10;      10000;       1.185e+27;           6.952;           7.384;           6.980;           0.098 ( 1.408 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.693e+16;          33.554;          46.632;          36.373;           3.615 ( 9.938 %)
  naif_ite;         10;      10000;       1.288e+11;           4.250;          10.222;           5.672;           1.474 (25.991 %)
  rapi_rec;         10;      10000;       9.700e+11;          16.585;          26.868;          18.081;           2.524 (13.962 %)
  rapi_ite;         10;      10000;       8.665e+20;           6.950;          10.300;           7.280;           0.780 (10.708 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.760e+12;          33.163;          54.251;          37.808;           6.262 (16.564 %)
  naif_ite;         10;      10000;       1.086e+19;           4.249;           4.389;           4.256;           0.024 ( 0.564 %)
  rapi_rec;         10;      10000;       8.845e+11;          16.760;          27.021;          19.439;           3.432 (17.655 %)
  rapi_ite;         10;      10000;       5.332e+15;           6.950;          10.534;           7.846;           0.831 (10.594 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.023e+27;          33.162;          59.375;          38.039;           7.489 (19.688 %)
  naif_ite;         10;      10000;       1.565e+14;           4.255;          13.047;           5.363;           1.674 (31.209 %)
  rapi_rec;         10;      10000;       4.095e+14;          16.588;          18.716;          17.432;           0.571 ( 3.275 %)
  rapi_ite;         10;      10000;       6.896e+22;           6.950;          13.660;           9.727;           1.925 (19.791 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.936e+29;          33.165;          49.789;          35.431;           4.129 (11.653 %)
  naif_ite;         10;      10000;       1.042e+13;           4.250;           6.073;           4.424;           0.412 ( 9.322 %)
  rapi_rec;         10;      10000;       1.358e+22;          16.586;          25.128;          18.910;           2.809 (14.856 %)
  rapi_ite;         10;      10000;       4.588e+15;           6.951;          11.307;           8.016;           1.131 (14.108 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       9.699e+20;          33.549;          42.424;          34.174;           1.850 ( 5.413 %)
  naif_ite;         10;      10000;       1.078e+23;           4.251;          12.052;           5.205;           1.648 (31.659 %)
  rapi_rec;         10;      10000;       7.399e+09;          16.585;          23.218;          17.551;           1.897 (10.808 %)
  rapi_ite;         10;      10000;       4.307e+18;           6.951;          17.122;           9.024;           2.362 (26.177 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       9.734e+28;          33.167;          52.362;          36.928;           5.754 (15.581 %)
  naif_ite;         10;      10000;       9.365e+13;           4.379;           4.394;           4.382;           0.003 ( 0.064 %)
  rapi_rec;         10;      10000;       3.550e+18;          16.588;          25.142;          18.065;           2.454 (13.586 %)
  rapi_ite;         10;      10000;       1.124e+13;           6.950;           9.375;           7.626;           0.590 ( 7.738 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       7.542e+08;          33.165;          54.641;          38.020;           5.507 (14.484 %)
  naif_ite;         10;      10000;       6.984e+31;           4.248;           5.398;           4.320;           0.226 ( 5.222 %)
  rapi_rec;         10;      10000;       7.212e+12;          16.585;          25.854;          17.209;           2.202 (12.794 %)
  rapi_ite;         10;      10000;       2.889e+30;           6.950;          12.640;           7.949;           1.422 (17.895 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       9.738e+23;          33.712;          49.061;          38.195;           4.739 (12.408 %)
  naif_ite;         10;      10000;       4.178e+14;           4.248;           5.381;           4.578;           0.396 ( 8.648 %)
