     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.549e+16;          33.549;          67.760;          40.073;           9.752 (24.335 %)
  naif_ite;         10;      10000;       2.951e+11;           6.181;          19.098;          10.371;           3.500 (33.750 %)
  rapi_rec;         10;      10000;       9.609e+11;          16.637;          25.610;          19.744;           2.522 (12.774 %)
  rapi_ite;         10;      10000;       2.692e+07;           7.721;          10.667;           8.216;           0.819 ( 9.963 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       5.897e+17;          33.549;          48.898;          35.988;           4.162 (11.566 %)
  naif_ite;         10;      10000;       9.511e+12;           6.195;           6.204;           6.198;           0.002 ( 0.027 %)
  rapi_rec;         10;      10000;       3.925e+15;          16.586;          31.218;          19.548;           3.018 (15.436 %)
  rapi_ite;         10;      10000;       7.059e+34;           7.722;          19.497;           9.693;           2.433 (25.100 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.510e+16;          33.636;          48.988;          38.031;           4.469 (11.750 %)
  naif_ite;         10;      10000;       1.081e+18;           6.180;          10.317;           6.906;           0.849 (12.298 %)
  rapi_rec;         10;      10000;       2.719e+12;          16.588;          33.163;          19.131;           3.662 (19.140 %)
  rapi_ite;         10;      10000;       4.325e+12;           7.723;          12.911;           9.358;           1.352 (14.452 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       6.464e+14;          33.549;          47.855;          36.501;           3.697 (10.129 %)
  naif_ite;         10;      10000;       1.041e+14;           6.194;           6.212;           6.198;           0.005 ( 0.074 %)
  rapi_rec;         10;      10000;       2.337e+16;          16.585;          22.485;          17.537;           1.522 ( 8.676 %)
  rapi_ite;         10;      10000;       9.725e+16;           7.721;          16.340;           9.229;           2.984 (32.326 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       4.333e+07;          33.549;          50.341;          36.316;           4.041 (11.127 %)
  naif_ite;         10;      10000;       1.150e+16;           6.195;          13.676;           8.267;           2.061 (24.931 %)
  rapi_rec;         10;      10000;       2.896e+16;          16.611;          19.452;          17.763;           0.710 ( 3.998 %)
  rapi_ite;         10;      10000;       1.589e+14;           7.811;          17.091;           9.156;           1.935 (21.133 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.026e+16;          33.550;          43.318;          34.427;           2.104 ( 6.112 %)
  naif_ite;         10;      10000;       1.049e+17;           6.579;           7.224;           6.606;           0.115 ( 1.736 %)
  rapi_rec;         10;      10000;       6.832e+31;          16.584;          25.090;          18.463;           2.375 (12.864 %)
  rapi_ite;         10;      10000;       2.503e+14;           7.720;          10.125;           7.832;           0.414 ( 5.286 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       4.793e+20;          33.549;          48.263;          36.896;           4.166 (11.291 %)
  naif_ite;         10;      10000;       2.677e+20;           6.195;           7.958;           6.955;           0.467 ( 6.717 %)
  rapi_rec;         10;      10000;       5.403e+07;          16.668;          30.728;          19.109;           3.524 (18.442 %)
  rapi_ite;         10;      10000;       5.414e+15;           7.721;           9.508;           7.948;           0.406 ( 5.105 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       9.263e+14;          33.549;          45.950;          37.622;           4.120 (10.952 %)
  naif_ite;         10;      10000;       2.469e+12;           6.195;           8.272;           6.678;           0.604 ( 9.046 %)
  rapi_rec;         10;      10000;       2.684e+16;          16.586;          17.234;          16.630;           0.139 ( 0.836 %)
  rapi_ite;         10;      10000;       3.358e+12;           7.721;          15.764;          10.032;           2.577 (25.691 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.824e+10;          38.040;          83.240;          61.094;          11.124 (18.208 %)
  naif_ite;         10;      10000;       3.576e+10;           6.889;          18.944;          12.977;           2.575 (19.841 %)
  rapi_rec;         10;      10000;       2.217e+17;          16.587;          33.745;          21.519;           4.819 (22.394 %)
  rapi_ite;         10;      10000;       1.490e+21;           7.721;          17.161;          12.382;           2.674 (21.593 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       8.713e+13;          33.669;          56.144;          45.401;           5.729 (12.618 %)
  naif_ite;         10;      10000;       7.139e+17;           6.195;          12.543;           7.919;           1.882 (23.763 %)
  rapi_rec;         10;      10000;       4.303e+21;          16.588;          27.506;          20.171;           3.138 (15.558 %)
  rapi_ite;         10;      10000;       9.009e+11;           7.719;          16.306;           9.720;           2.304 (23.702 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       5.057e+14;          33.550;          50.071;          36.143;           4.080 (11.290 %)
  naif_ite;         10;      10000;       2.934e+12;           6.194;           8.351;           6.934;           0.640 ( 9.236 %)
  rapi_rec;         10;      10000;       1.920e+20;          16.587;          18.281;          17.386;           0.468 ( 2.691 %)
  rapi_ite;         10;      10000;       1.089e+10;           7.721;          15.305;           9.958;           2.259 (22.682 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.388e+12;          33.550;          53.316;          36.753;           5.582 (15.188 %)
  naif_ite;         10;      10000;       1.916e+16;           6.580;           8.740;           6.648;           0.375 ( 5.647 %)
  rapi_rec;         10;      10000;       1.150e+17;          16.588;          29.236;          17.505;           2.338 (13.356 %)
  rapi_ite;         10;      10000;       1.247e+11;           7.810;          11.916;           8.820;           0.908 (10.293 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       4.146e+06;          33.550;          60.850;          40.040;           7.876 (19.670 %)
  naif_ite;         10;      10000;       5.140e+13;           6.197;          13.692;           7.635;           2.037 (26.679 %)
  rapi_rec;         10;      10000;       2.273e+17;          16.844;          18.991;          17.143;           0.498 ( 2.903 %)
  rapi_ite;         10;      10000;       4.840e+26;           7.808;           8.336;           7.974;           0.182 ( 2.279 %)
