           2.717 (14.596 %)	           0.305 ( 3.888 %)	           0.564 ( 6.648 %)	           2.159 (23.300 %)	           0.003 ( 0.038 %)
           0.430 ( 3.055 %)	           2.202 (24.038 %)	           3.591 (30.848 %)	           2.048 (23.349 %)	           1.366 (17.314 %)
           0.895 ( 6.309 %)	           1.026 (11.702 %)	           0.359 ( 4.506 %)	           0.858 (11.524 %)	           0.347 ( 4.596 %)
           0.251 ( 1.793 %)	           1.754 (18.929 %)	           0.623 ( 7.830 %)	           1.649 (17.236 %)	           0.640 ( 8.110 %)
           3.871 (22.983 %)	           0.696 ( 8.255 %)	           0.571 ( 6.813 %)	           1.212 (15.450 %)	           0.442 ( 5.678 %)
           1.302 ( 9.024 %)	           0.722 ( 8.369 %)	           1.583 (19.146 %)	           2.333 (23.867 %)	           1.441 (17.344 %)
           5.283 (25.429 %)	           0.998 (12.280 %)	           2.218 (24.008 %)	           2.830 (26.762 %)	           2.983 (22.942 %)
           2.131 (14.198 %)	           0.986 (11.660 %)	           1.005 (11.270 %)	           2.708 (24.508 %)	           1.359 (16.038 %)
           3.546 (21.133 %)	           0.152 ( 1.958 %)	           4.078 (34.915 %)	           2.066 (22.225 %)	           2.347 (24.670 %)
           1.698 (11.649 %)	           2.355 (17.399 %)	           0.003 ( 0.039 %)	           1.584 (19.820 %)	           1.550 (18.762 %)
           1.998 (13.149 %)	           1.019 (11.953 %)	           0.177 ( 2.235 %)	           0.460 ( 6.341 %)	           2.373 (25.702 %)
           0.655 ( 4.668 %)	           0.595 ( 6.966 %)	           0.263 ( 3.300 %)	           0.191 ( 2.694 %)	           3.631 (24.227 %)
           1.030 ( 7.233 %)	           2.080 (23.160 %)	           1.207 (13.740 %)	           1.062 (13.556 %)	           0.507 ( 6.595 %)
           1.277 ( 8.934 %)	           0.980 (12.084 %)	           0.281 ( 3.518 %)	           2.014 (22.676 %)	           2.347 (24.269 %)
           2.276 (14.941 %)	           1.992 (21.101 %)	           0.166 ( 2.079 %)	           2.209 (25.025 %)	           0.345 ( 4.513 %)
           1.767 (11.766 %)	           0.780 ( 9.219 %)	           1.131 (12.760 %)	           0.580 ( 7.990 %)	           0.626 ( 8.016 %)
           0.557 ( 3.955 %)	           0.609 ( 7.405 %)	           1.815 (20.569 %)	           1.665 (18.833 %)	           2.344 (26.100 %)
           0.244 ( 1.734 %)	           0.299 ( 3.811 %)	           0.139 ( 1.778 %)	           0.207 ( 2.954 %)	           1.053 (13.153 %)
           1.072 ( 7.443 %)	           2.448 (25.646 %)	           0.955 (11.709 %)	           0.561 ( 7.407 %)	           1.049 (12.923 %)
           2.102 (13.759 %)	           0.236 ( 2.952 %)	           3.080 (32.848 %)	           2.529 (27.543 %)	           0.923 (11.695 %)
           2.359 (15.204 %)	           0.674 ( 7.874 %)	           1.724 (20.141 %)	           2.352 (26.336 %)	           0.947 (12.153 %)
           0.802 ( 5.576 %)	           1.977 (21.006 %)	           0.121 ( 1.563 %)	           1.430 (18.488 %)	           0.738 ( 9.293 %)
           0.963 ( 6.796 %)	           2.369 (25.187 %)	           0.685 ( 8.354 %)	           2.879 (29.012 %)	           1.708 (18.950 %)
           2.030 (13.302 %)	           2.186 (22.293 %)	           2.805 (26.151 %)	           2.808 (32.542 %)	           0.967 (12.092 %)
           1.772 (11.889 %)	           0.642 ( 7.505 %)	           1.882 (20.797 %)	           2.575 (29.599 %)	           1.597 (17.927 %)
           3.151 (19.487 %)	           0.815 ( 9.920 %)	           0.313 ( 3.923 %)	           0.585 ( 7.535 %)	           0.405 ( 5.455 %)
           2.178 (14.737 %)	           0.267 ( 3.421 %)	           0.659 ( 7.760 %)	           2.773 (31.282 %)	           0.112 ( 1.525 %)
           0.538 ( 3.802 %)	           1.759 (19.181 %)	           2.158 (21.579 %)	           2.680 (28.727 %)	           3.313 (33.550 %)
           1.277 ( 8.934 %)	           0.726 ( 8.931 %)	           2.908 (30.050 %)	           2.056 (23.929 %)	           0.123 ( 1.664 %)
           0.820 ( 5.686 %)	           1.596 (19.076 %)	           1.902 (21.110 %)	           3.920 (31.872 %)	           0.475 ( 6.025 %)
           1.774 (12.190 %)	           1.113 (12.697 %)	           0.481 ( 5.677 %)	           1.876 (21.400 %)	           0.468 ( 6.035 %)
           1.831 (11.978 %)	           2.106 (23.929 %)	           2.266 (22.556 %)	           1.989 (21.560 %)	           2.150 (18.478 %)
           1.678 (11.370 %)	           0.796 ( 9.677 %)	           2.502 (26.136 %)	           2.319 (24.561 %)	           1.681 (19.718 %)
           0.696 ( 4.982 %)	           3.085 (30.470 %)	           4.602 (44.669 %)	           0.518 ( 6.951 %)	           0.426 ( 5.525 %)
           0.552 ( 3.951 %)	           0.121 ( 1.559 %)	           0.462 ( 5.811 %)	           0.447 ( 5.961 %)	           0.603 ( 8.004 %)
           2.197 (14.244 %)	           0.815 ( 9.331 %)	           2.788 (28.763 %)	           2.113 (22.512 %)	           0.121 ( 1.640 %)
           2.283 (14.960 %)	           0.266 ( 3.315 %)	           3.333 (33.012 %)	           0.656 ( 8.632 %)	           0.058 ( 0.790 %)
           2.996 (16.827 %)	           0.206 ( 2.634 %)	           1.922 (21.275 %)	           0.689 ( 8.967 %)	           0.711 ( 9.055 %)
           4.684 (18.905 %)	           2.767 (26.213 %)	           3.208 (32.868 %)	           0.095 ( 1.357 %)	           1.690 (17.513 %)
           0.971 ( 6.782 %)	           2.888 (21.622 %)	           3.968 (38.289 %)	           1.154 (14.810 %)	           1.565 (17.782 %)
           1.029 ( 7.212 %)	           0.355 ( 4.466 %)	           3.110 (29.682 %)	           1.402 (17.543 %)	           0.740 ( 9.257 %)
           4.169 (24.885 %)	           1.540 (16.328 %)	           3.045 (29.504 %)	           1.559 (19.224 %)	           0.378 ( 4.924 %)
           1.761 (11.894 %)	           0.640 ( 7.656 %)	           3.163 (30.761 %)	           0.589 ( 7.621 %)	           0.057 ( 0.776 %)
           0.468 ( 3.380 %)	           1.387 (15.414 %)	           2.848 (29.817 %)	           2.551 (29.734 %)	           0.659 ( 8.208 %)
           0.245 ( 1.741 %)	           1.912 (20.185 %)	           0.861 (10.726 %)	           2.674 (27.579 %)	           2.505 (25.689 %)
           0.077 ( 0.547 %)	           1.602 (16.375 %)	           2.851 (24.736 %)	           0.158 ( 2.253 %)	           1.559 (18.870 %)
           0.396 ( 2.839 %)	           0.792 ( 9.091 %)	           3.449 (29.370 %)	           0.620 ( 8.652 %)	           0.037 ( 0.508 %)
           2.803 (17.725 %)	           0.293 ( 3.739 %)	           2.505 (25.499 %)	           0.448 ( 6.049 %)	           0.725 ( 9.388 %)
           5.594 (29.973 %)	           2.516 (25.318 %)	           0.113 ( 1.453 %)	           2.110 (24.290 %)	           0.443 ( 5.838 %)
           1.582 (10.849 %)	           0.605 ( 7.283 %)	           1.490 (17.167 %)	           0.615 ( 8.038 %)	           0.631 ( 8.139 %)
           0.975 ( 6.890 %)	           2.463 (24.151 %)	           0.628 ( 7.845 %)	           2.492 (30.743 %)	           2.497 (23.799 %)
           2.183 (14.478 %)	           0.584 ( 6.819 %)	           3.225 (32.057 %)	           1.111 (14.938 %)	           3.659 (25.653 %)
           2.312 (14.877 %)	           1.153 (13.991 %)	           0.264 ( 3.296 %)	           0.208 ( 2.899 %)	           1.580 (17.738 %)
           2.211 (14.452 %)	           0.845 ( 9.854 %)	           2.276 (25.519 %)	           2.061 (23.915 %)	           0.427 ( 5.601 %)
           1.755 (11.840 %)	           1.083 (13.042 %)	           0.898 (10.001 %)	           0.435 ( 5.756 %)	           0.402 ( 5.247 %)
