           0.068 ( 0.097 %)	           0.153 ( 1.362 %)	           0.106 ( 0.976 %)	           0.002 ( 0.017 %)	           0.754 ( 7.279 %)
           0.280 ( 0.396 %)	           0.010 ( 0.081 %)	           0.002 ( 0.019 %)	           0.002 ( 0.013 %)	           0.800 ( 7.572 %)
           0.064 ( 0.091 %)	           0.938 ( 8.159 %)	           0.073 ( 0.669 %)	           0.002 ( 0.014 %)	           0.818 ( 8.206 %)
           0.051 ( 0.072 %)	           0.011 ( 0.102 %)	           0.041 ( 0.375 %)	           0.596 ( 5.066 %)	           0.665 ( 6.307 %)
           0.804 ( 1.136 %)	           0.068 ( 0.590 %)	           0.002 ( 0.017 %)	           0.044 ( 0.376 %)	           0.575 ( 5.476 %)
           0.326 ( 0.461 %)	           0.189 ( 1.672 %)	           0.081 ( 0.751 %)	           0.003 ( 0.022 %)	           0.313 ( 3.196 %)
           0.944 ( 1.332 %)	           1.145 ( 9.732 %)	           0.006 ( 0.058 %)	           0.002 ( 0.016 %)	           0.160 ( 1.532 %)
           0.205 ( 0.289 %)	           0.171 ( 1.514 %)	           0.079 ( 0.730 %)	           0.002 ( 0.013 %)	           0.303 ( 3.023 %)
           5.960 ( 8.270 %)	           0.002 ( 0.013 %)	           0.046 ( 0.424 %)	           0.002 ( 0.017 %)	           0.151 ( 1.447 %)
           0.160 ( 0.226 %)	           0.002 ( 0.022 %)	           2.027 (17.465 %)	           0.337 ( 2.890 %)	           0.711 ( 7.166 %)
           1.657 ( 2.330 %)	           0.100 ( 0.892 %)	           0.048 ( 0.442 %)	           2.352 (19.045 %)	           0.704 ( 6.778 %)
           0.363 ( 0.513 %)	           0.002 ( 0.022 %)	           0.001 ( 0.008 %)	           0.002 ( 0.017 %)	           0.641 ( 6.072 %)
           0.366 ( 0.517 %)	           0.886 ( 7.597 %)	           0.245 ( 2.229 %)	           0.677 ( 5.785 %)	           0.357 ( 3.640 %)
           0.421 ( 0.594 %)	           0.231 ( 2.049 %)	           0.074 ( 0.674 %)	           0.002 ( 0.021 %)	           0.094 ( 0.907 %)
           0.076 ( 0.108 %)	           0.001 ( 0.013 %)	           0.021 ( 0.197 %)	           0.002 ( 0.020 %)	           0.179 ( 1.715 %)
           0.408 ( 0.576 %)	           0.100 ( 0.889 %)	           0.024 ( 0.218 %)	           0.091 ( 0.787 %)	           0.803 ( 8.002 %)
           0.057 ( 0.080 %)	           0.002 ( 0.019 %)	           0.016 ( 0.148 %)	           0.050 ( 0.428 %)	           0.240 ( 2.302 %)
           3.160 ( 4.423 %)	           0.141 ( 1.251 %)	           0.681 ( 6.188 %)	           1.102 ( 9.370 %)	           0.684 ( 6.881 %)
           0.131 ( 0.185 %)	           0.011 ( 0.102 %)	           0.023 ( 0.209 %)	           0.092 ( 0.790 %)	           0.393 ( 4.009 %)
           0.052 ( 0.074 %)	           0.135 ( 1.208 %)	           1.634 (14.680 %)	           0.002 ( 0.019 %)	           0.220 ( 2.146 %)
       17407.783 (-588.176 %)	           1.461 (12.714 %)	           0.096 ( 0.881 %)	           0.002 ( 0.021 %)	           0.149 ( 1.434 %)
           0.064 ( 0.091 %)	           0.009 ( 0.081 %)	           0.026 ( 0.243 %)	           0.090 ( 0.774 %)	           0.119 ( 1.142 %)
           0.057 ( 0.081 %)	           0.010 ( 0.088 %)	           0.099 ( 0.912 %)	           0.003 ( 0.028 %)	           0.258 ( 2.639 %)
           0.050 ( 0.071 %)	           0.003 ( 0.025 %)	           0.225 ( 2.065 %)	           0.002 ( 0.014 %)	           0.354 ( 3.621 %)
           1.081 ( 1.525 %)	           0.002 ( 0.015 %)	           0.082 ( 0.755 %)	           0.002 ( 0.017 %)	           2.056 (18.619 %)
           0.051 ( 0.072 %)	           0.337 ( 2.992 %)	           0.074 ( 0.681 %)	           0.002 ( 0.014 %)	           0.053 ( 0.508 %)
           0.869 ( 1.227 %)	           0.231 ( 2.052 %)	           0.005 ( 0.045 %)	           0.116 ( 0.999 %)	           3.857 (32.560 %)
           0.077 ( 0.109 %)	           0.883 ( 7.752 %)	           0.003 ( 0.027 %)	           1.008 ( 8.518 %)	           1.221 (11.599 %)
           0.055 ( 0.078 %)	           0.003 ( 0.023 %)	           0.018 ( 0.167 %)	           0.002 ( 0.013 %)	           0.873 ( 8.814 %)
           0.054 ( 0.076 %)	           0.097 ( 0.867 %)	           0.018 ( 0.164 %)	           0.002 ( 0.013 %)	           1.967 (19.027 %)
           0.076 ( 0.107 %)	           0.009 ( 0.079 %)	           0.601 ( 5.375 %)	           0.002 ( 0.014 %)	           0.713 ( 7.200 %)
           0.045 ( 0.064 %)	           0.010 ( 0.081 %)	           0.081 ( 0.747 %)	           0.002 ( 0.020 %)	           0.450 ( 4.561 %)
           0.084 ( 0.118 %)	           0.002 ( 0.018 %)	           0.070 ( 0.650 %)	           0.002 ( 0.014 %)	           0.824 ( 8.049 %)
           0.241 ( 0.341 %)	           0.122 ( 1.088 %)	           0.017 ( 0.154 %)	           0.002 ( 0.017 %)	           0.978 ( 9.578 %)
           0.071 ( 0.101 %)	           0.202 ( 1.798 %)	           0.002 ( 0.019 %)	           0.074 ( 0.640 %)	           1.502 (14.673 %)
           0.273 ( 0.387 %)	           0.007 ( 0.063 %)	           0.027 ( 0.248 %)	           0.002 ( 0.017 %)	           0.098 ( 0.936 %)
           2.818 ( 3.956 %)	           0.095 ( 0.845 %)	           0.016 ( 0.151 %)	           0.108 ( 0.931 %)	           0.429 ( 4.207 %)
       17407.782 (-588.179 %)	           0.106 ( 0.941 %)	           0.016 ( 0.147 %)	           0.002 ( 0.018 %)	           1.113 (10.804 %)
           0.124 ( 0.176 %)	           0.069 ( 0.594 %)	           0.052 ( 0.480 %)	           0.006 ( 0.053 %)	           0.186 ( 1.779 %)
           0.052 ( 0.074 %)	           0.076 ( 0.682 %)	           0.051 ( 0.470 %)	           0.848 ( 7.237 %)	           0.608 ( 5.797 %)
           0.264 ( 0.373 %)	           0.070 ( 0.627 %)	           0.094 ( 0.873 %)	           0.002 ( 0.016 %)	           0.918 ( 8.824 %)
           0.260 ( 0.368 %)	           0.013 ( 0.113 %)	           0.613 ( 5.596 %)	           0.057 ( 0.490 %)	           1.227 (11.741 %)
           0.075 ( 0.106 %)	           0.002 ( 0.021 %)	           0.002 ( 0.015 %)	           0.002 ( 0.017 %)	           0.642 ( 6.100 %)
           0.042 ( 0.059 %)	           2.006 (16.942 %)	           0.002 ( 0.021 %)	           0.002 ( 0.014 %)	           0.903 ( 8.905 %)
           0.060 ( 0.084 %)	           0.143 ( 1.276 %)	           0.022 ( 0.204 %)	           0.002 ( 0.021 %)	           0.805 ( 8.060 %)
           0.043 ( 0.061 %)	           0.069 ( 0.576 %)	           0.039 ( 0.357 %)	           0.002 ( 0.017 %)	           2.037 (19.575 %)
           0.111 ( 0.157 %)	           0.218 ( 1.910 %)	           0.116 ( 1.070 %)	           0.001 ( 0.013 %)	           0.665 ( 6.455 %)
           0.054 ( 0.076 %)	           1.296 (11.098 %)	           0.003 ( 0.027 %)	           0.280 ( 2.446 %)	           0.611 ( 6.205 %)
           0.070 ( 0.098 %)	           0.009 ( 0.076 %)	           0.023 ( 0.213 %)	           0.014 ( 0.117 %)	           1.035 (10.028 %)
           0.055 ( 0.078 %)	           0.094 ( 0.841 %)	           0.127 ( 1.170 %)	           0.002 ( 0.014 %)	           0.226 ( 2.326 %)
           0.058 ( 0.082 %)	           0.128 ( 1.144 %)	           0.021 ( 0.191 %)	           0.809 ( 6.899 %)	           0.126 ( 1.211 %)
           0.047 ( 0.067 %)	           0.114 ( 1.020 %)	           0.025 ( 0.233 %)	           1.030 ( 8.785 %)	           0.307 ( 3.145 %)
           3.650 ( 5.034 %)	           0.243 ( 2.145 %)	           1.922 (16.770 %)	           0.004 ( 0.032 %)	           0.193 ( 1.846 %)
           0.111 ( 0.157 %)	           0.003 ( 0.030 %)	           0.203 ( 1.747 %)	           0.002 ( 0.015 %)	           0.915 ( 8.968 %)
           0.271 ( 0.383 %)	           0.008 ( 0.074 %)	           0.337 ( 3.083 %)	           0.826 ( 7.004 %)	           0.711 ( 7.198 %)
           0.587 ( 0.829 %)	           0.067 ( 0.580 %)	           0.017 ( 0.154 %)	           0.002 ( 0.014 %)	           0.900 ( 8.701 %)
           0.071 ( 0.101 %)	           0.157 ( 1.402 %)	           0.019 ( 0.179 %)	           0.002 ( 0.016 %)	           0.882 ( 8.897 %)
           0.053 ( 0.075 %)	           0.002 ( 0.018 %)	           0.031 ( 0.286 %)	           0.002 ( 0.016 %)	           0.166 ( 1.542 %)
