naif	1.125^60	1712921419.36554026603698730	1712921423.70692968368530273
naif	1.1708984375^60	1712921459.88008379936218262	1712921464.29290437698364258
naif	1.0712890625^60	1712921500.29513549804687500	1712921504.68461585044860840
naif	1.125^60	1712921540.76886391639709473	1712921545.11567020416259766
naif	1.0712890625^60	1712921580.83269214630126953	1712921585.22375583648681641
naif	1.0673828125^60	1712921621.37916851043701172	1712921625.68374824523925781
naif	1.099609375^60	1712921661.79107332229614258	1712921666.21561861038208008
naif	1.1337890625^60	1712921702.28025746345520020	1712921706.67457818984985352
naif	1.12109375^60	1712921742.50531721115112305	1712921746.82065939903259277
naif	1.0224609375^60	1712921782.96493792533874512	1712921787.31358671188354492
naif	1.185546875^60	1712921823.33951997756958008	1712921827.73017907142639160
naif	1.173828125^60	1712921863.78183174133300781	1712921868.14489889144897461
naif	1.1240234375^60	1712921904.28544449806213379	1712921908.52655124664306641
naif	1.06640625^60	1712921944.68847465515136719	1712921949.09547543525695801
naif	1.1748046875^60	1712921985.16147279739379883	1712921989.51748394966125488
naif	1.017578125^60	1712922025.64261341094970703	1712922030.01922321319580078
naif	1.1435546875^60	1712922066.06186604499816895	1712922070.47795248031616211
naif	1.158203125^60	1712922106.45121955871582031	1712922110.74103903770446777
naif	1.078125^60	1712922146.63771510124206543	1712922150.98173475265502930
naif	1.08203125^60	1712922186.85453104972839355	1712922191.23245596885681152
naif	1.12890625^60	1712922227.36143255233764648	1712922231.67400240898132324
naif	1.173828125^60	1712922267.56613445281982422	1712922271.96105217933654785
naif	1.1279296875^60	1712922307.97333574295043945	1712922312.30833721160888672
naif	1.1416015625^60	1712922348.42633223533630371	1712922352.73534417152404785
naif	1.091796875^60	1712922388.83865284919738770	1712922393.15909814834594727
naif	1.0205078125^60	1712922429.31263041496276855	1712922433.72125482559204102
naif	1.041015625^60	1712922469.69315981864929199	1712922473.99411916732788086
naif	1.1103515625^60	1712922509.93605518341064453	1712922514.30028319358825684
naif	1.1240234375^60	1712922550.43519687652587891	1712922554.80476498603820801
naif	1.1728515625^60	1712922590.87052869796752930	1712922595.27787423133850098
naif	1.021484375^60	1712922631.35859799385070801	1712922635.79495954513549805
naif	1.171875^60	1712922671.75581359863281250	1712922676.14593768119812012
naif	1.1748046875^60	1712922712.12158799171447754	1712922716.46724200248718262
naif	1.041015625^60	1712922752.33498597145080566	1712922756.72120976448059082
naif	1.05859375^60	1712922792.89516115188598633	1712922797.23265933990478516
naif	1.1484375^60	1712922833.01439452171325684	1712922837.42724990844726562
naif	1.0478515625^60	1712922873.50377583503723145	1712922877.93894004821777344
naif	1.0478515625^60	1712922913.88107633590698242	1712922918.19135141372680664
naif	1.1767578125^60	1712922954.30536389350891113	1712922958.60091066360473633
naif	1.072265625^60	1712922994.56462192535400391	1712922998.96457004547119141
naif	1.115234375^60	1712923034.99640226364135742	1712923039.37626695632934570
naif	1.1796875^60	1712923075.44766736030578613	1712923079.77326393127441406
naif	1.0615234375^60	1712923115.88444375991821289	1712923120.21362423896789551
naif	1.0126953125^60	1712923156.37818241119384766	1712923160.70672845840454102
naif	1.10546875^60	1712923196.76027846336364746	1712923200.99600815773010254
naif	1.1103515625^60	1712923237.00021314620971680	1712923241.33761167526245117
naif	1.0439453125^60	1712923277.22113347053527832	1712923281.61192989349365234
naif	1.1083984375^60	1712923317.59779119491577148	1712923321.86848425865173340
naif	1.0634765625^60	1712923357.93030524253845215	1712923362.32535839080810547
naif	1.0615234375^60	1712923398.52090024948120117	1712923402.87313413619995117
