naif	1.2676506002282294e+30	1712145338.82091498374938965	1712145338.93557190895080566
rapid	1.2676506002282294e+30	1712145338.93566107749938965	1712145338.95596098899841309
naif	1.2676506002282294e+30	1712145343.47075700759887695	1712145343.59403014183044434
rapid	1.2676506002282294e+30	1712145343.59413099288940430	1712145343.61422491073608398
naif	1.2676506002282294e+30	1712145348.06336593627929688	1712145348.17883491516113281
rapid	1.2676506002282294e+30	1712145348.17893815040588379	1712145348.19889616966247559
naif	1.2676506002282294e+30	1712145352.53323221206665039	1712145352.64912581443786621
rapid	1.2676506002282294e+30	1712145352.64923286437988281	1712145352.66934204101562500
naif	1.2676506002282294e+30	1712145357.02347588539123535	1712145357.14257192611694336
rapid	1.2676506002282294e+30	1712145357.14267396926879883	1712145357.16352200508117676
naif	1.2676506002282294e+30	1712145361.52774000167846680	1712145361.64816689491271973
rapid	1.2676506002282294e+30	1712145361.64827585220336914	1712145361.66809701919555664
naif	1.2676506002282294e+30	1712145366.00016593933105469	1712145366.11913180351257324
rapid	1.2676506002282294e+30	1712145366.11923098564147949	1712145366.13960599899291992
naif	1.2676506002282294e+30	1712145370.58779120445251465	1712145370.70293498039245605
rapid	1.2676506002282294e+30	1712145370.70303583145141602	1712145370.72356891632080078
naif	1.2676506002282294e+30	1712145375.12137198448181152	1712145375.23630905151367188
rapid	1.2676506002282294e+30	1712145375.23641180992126465	1712145375.25666308403015137
naif	1.2676506002282294e+30	1712145379.55996489524841309	1712145379.67394614219665527
rapid	1.2676506002282294e+30	1712145379.67404913902282715	1712145379.69504404067993164
naif	1.2676506002282294e+30	1712145383.98446393013000488	1712145384.10133290290832520
rapid	1.2676506002282294e+30	1712145384.10143113136291504	1712145384.12135100364685059
naif	1.2676506002282294e+30	1712145388.45518302917480469	1712145388.56967592239379883
rapid	1.2676506002282294e+30	1712145388.56978678703308105	1712145388.58967709541320801
naif	1.2676506002282294e+30	1712145392.86239790916442871	1712145392.97696113586425781
rapid	1.2676506002282294e+30	1712145392.97705292701721191	1712145392.99668002128601074
naif	1.2676506002282294e+30	1712145397.38508892059326172	1712145397.50126004219055176
rapid	1.2676506002282294e+30	1712145397.50134611129760742	1712145397.52223587036132812
naif	1.2676506002282294e+30	1712145401.80374717712402344	1712145401.92481994628906250
rapid	1.2676506002282294e+30	1712145401.92491102218627930	1712145401.94571018218994141
naif	1.2676506002282294e+30	1712145406.22571015357971191	1712145406.33951687812805176
rapid	1.2676506002282294e+30	1712145406.33961391448974609	1712145406.35966420173645020
naif	1.2676506002282294e+30	1712145410.67315721511840820	1712145410.78756999969482422
rapid	1.2676506002282294e+30	1712145410.78766107559204102	1712145410.80751895904541016
naif	1.2676506002282294e+30	1712145415.15329194068908691	1712145415.27662396430969238
rapid	1.2676506002282294e+30	1712145415.27671694755554199	1712145415.29640078544616699
naif	1.2676506002282294e+30	1712145419.54586505889892578	1712145419.67018795013427734
rapid	1.2676506002282294e+30	1712145419.67027783393859863	1712145419.69134116172790527
naif	1.2676506002282294e+30	1712145424.03062701225280762	1712145424.15130996704101562
rapid	1.2676506002282294e+30	1712145424.15140199661254883	1712145424.17164397239685059
naif	1.2676506002282294e+30	1712145428.46245980262756348	1712145428.58012390136718750
rapid	1.2676506002282294e+30	1712145428.58022594451904297	1712145428.60054993629455566
naif	1.2676506002282294e+30	1712145433.06979203224182129	1712145433.18999695777893066
rapid	1.2676506002282294e+30	1712145433.19010305404663086	1712145433.21057581901550293
naif	1.2676506002282294e+30	1712145437.60029911994934082	1712145437.71223402023315430
rapid	1.2676506002282294e+30	1712145437.71233892440795898	1712145437.73347306251525879
naif	1.2676506002282294e+30	1712145442.15505504608154297	1712145442.26960301399230957
rapid	1.2676506002282294e+30	1712145442.26971292495727539	1712145442.29043292999267578
naif	1.2676506002282294e+30	1712145446.67157816886901855	1712145446.79183697700500488
rapid	1.2676506002282294e+30	1712145446.79193711280822754	1712145446.81292390823364258
naif	1.2676506002282294e+30	1712145451.14495420455932617	1712145451.26248407363891602
rapid	1.2676506002282294e+30	1712145451.26259207725524902	1712145451.28358101844787598
naif	1.2676506002282294e+30	1712145456.34193301200866699	1712145456.46400403976440430
rapid	1.2676506002282294e+30	1712145456.46409606933593750	1712145456.48857021331787109
naif	1.2676506002282294e+30	1712145461.34625196456909180	1712145461.47087478637695312
rapid	1.2676506002282294e+30	1712145461.47096395492553711	1712145461.49464797973632812
naif	1.2676506002282294e+30	1712145465.90400409698486328	1712145466.02125906944274902
rapid	1.2676506002282294e+30	1712145466.02136301994323730	1712145466.04211401939392090
naif	1.2676506002282294e+30	1712145470.54368519783020020	1712145470.66566300392150879
rapid	1.2676506002282294e+30	1712145470.66575002670288086	1712145470.68628311157226562
naif	1.2676506002282294e+30	1712145475.06648802757263184	1712145475.18958306312561035
rapid	1.2676506002282294e+30	1712145475.18968009948730469	1712145475.21229481697082520
naif	1.2676506002282294e+30	1712145479.71558403968811035	1712145479.84379005432128906
rapid	1.2676506002282294e+30	1712145479.84388613700866699	1712145479.86663603782653809
naif	1.2676506002282294e+30	1712145484.26068782806396484	1712145484.38441300392150879
rapid	1.2676506002282294e+30	1712145484.38451719284057617	1712145484.40505099296569824
