           6.901 (23.032 %)	           2.648 (13.752 %)	           4.015 (19.727 %)	           2.624 (15.118 %)	           1.755 (11.018 %)
           2.976 (12.663 %)	           1.970 (10.256 %)	           0.550 ( 3.100 %)	           0.226 ( 1.401 %)	           1.770 (10.222 %)
           6.668 (26.749 %)	           2.402 (12.811 %)	           1.030 ( 5.904 %)	           2.919 (15.590 %)	           2.023 (12.447 %)
           4.492 (19.509 %)	           0.434 ( 2.462 %)	           1.386 ( 7.731 %)	           3.306 (17.082 %)	           1.299 ( 8.354 %)
           0.444 ( 2.116 %)	           0.971 ( 5.373 %)	           2.091 (11.189 %)	           4.728 (23.096 %)	           0.719 ( 4.693 %)
           0.328 ( 1.561 %)	           0.832 ( 4.674 %)	           0.465 ( 2.705 %)	           3.469 (18.278 %)	           0.782 ( 5.546 %)
           1.374 ( 6.423 %)	           2.469 (13.258 %)	           0.969 ( 5.537 %)	           0.112 ( 0.700 %)	           0.549 ( 3.564 %)
           2.251 (10.284 %)	           1.541 ( 8.332 %)	           4.294 (20.977 %)	           2.741 (14.486 %)	           4.083 (21.614 %)
           4.002 (17.165 %)	           0.194 ( 1.140 %)	           2.230 (12.434 %)	           0.231 ( 1.447 %)	           1.234 ( 8.382 %)
           0.360 ( 1.714 %)	           3.162 (14.125 %)	           0.993 ( 5.758 %)	           4.448 (21.877 %)	           3.754 (20.529 %)
           3.244 (14.164 %)	           0.565 ( 3.169 %)	           0.243 ( 1.409 %)	           2.411 (13.403 %)	           1.127 ( 7.391 %)
           3.302 (14.193 %)	           3.084 (16.180 %)	           2.509 (13.571 %)	           0.289 ( 1.807 %)	           6.827 (28.184 %)
           4.381 (18.417 %)	           3.106 (15.743 %)	           1.988 (10.595 %)	           2.414 (13.830 %)	           1.816 (11.426 %)
           4.745 (19.512 %)	           3.864 (20.239 %)	           1.355 ( 7.389 %)	           2.388 (13.296 %)	           0.022 ( 0.145 %)
           1.348 ( 6.164 %)	           1.354 ( 7.479 %)	           0.255 ( 1.479 %)	           0.885 ( 5.286 %)	           0.617 ( 4.037 %)
           0.171 ( 0.818 %)	           1.115 ( 6.139 %)	           3.232 (16.657 %)	           2.832 (15.213 %)	           1.232 ( 8.491 %)
           2.127 ( 9.413 %)	           0.653 ( 3.663 %)	           0.040 ( 0.235 %)	           1.144 ( 6.829 %)	           1.582 ( 9.897 %)
           4.373 (19.004 %)	           2.659 (14.307 %)	           0.464 ( 2.697 %)	           5.488 (27.088 %)	           2.387 (13.004 %)
           3.973 (15.645 %)	           2.432 (13.711 %)	           1.832 ( 9.906 %)	           2.701 (14.449 %)	           1.774 (11.309 %)
           0.637 ( 3.006 %)	           0.947 ( 5.444 %)	           5.550 (20.762 %)	           2.528 (14.246 %)	           1.102 ( 7.417 %)
           9.186 (34.619 %)	           2.495 (12.943 %)	           2.417 (12.707 %)	           1.880 (10.947 %)	           3.425 (18.760 %)
          11.521 (29.685 %)	           2.967 (14.911 %)	           0.275 ( 1.607 %)	           2.820 (15.939 %)	           0.819 ( 5.789 %)
           4.872 (18.327 %)	           1.944 (10.616 %)	           3.536 (16.627 %)	           3.204 (18.240 %)	           1.869 (11.915 %)
           4.564 (19.223 %)	           0.803 ( 4.660 %)	           3.059 (16.308 %)	           4.445 (24.478 %)	           2.560 (14.933 %)
           3.258 (14.721 %)	           0.648 ( 3.692 %)	           2.049 (10.989 %)	           5.203 (24.023 %)	           1.242 ( 8.432 %)
           2.418 (10.509 %)	           0.712 ( 4.003 %)	           4.035 (19.887 %)	           3.713 (19.504 %)	           2.363 (14.401 %)
           4.882 (20.259 %)	           1.838 ( 9.866 %)	           2.401 (12.559 %)	           2.049 (11.644 %)	           2.133 (12.604 %)
           1.013 ( 4.588 %)	           1.595 ( 8.672 %)	           0.793 ( 4.432 %)	           5.597 (26.389 %)	           0.531 ( 3.500 %)
           4.796 (19.165 %)	           1.987 (10.881 %)	           1.465 ( 8.147 %)	           7.336 (31.379 %)	           2.486 (13.946 %)
           4.326 (18.373 %)	           2.529 (13.424 %)	           0.998 ( 5.472 %)	           2.323 (13.665 %)	           0.376 ( 2.476 %)
           3.807 (16.187 %)	           2.705 (13.873 %)	           2.605 (13.565 %)	           0.237 ( 1.473 %)	           0.410 ( 2.694 %)
           0.518 ( 2.459 %)	           2.681 (14.423 %)	           2.769 (14.505 %)	           3.345 (18.757 %)	           1.116 ( 7.116 %)
           1.461 ( 6.671 %)	           3.730 (17.989 %)	           3.356 (16.439 %)	           0.048 ( 0.298 %)	           1.846 (11.946 %)
           4.631 (20.044 %)	           2.815 (14.814 %)	           2.970 (15.508 %)	           1.074 ( 6.393 %)	           2.023 (12.393 %)
