     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       3.781e+18;          51.980;          67.078;          55.356;           4.289 ( 7.749 %)
  naif_ite;         10;      10000;       1.660e+17;          25.900;          39.474;          28.982;           3.983 (13.743 %)
  rapi_rec;         10;      10000;       2.953e+16;          20.658;          33.761;          22.205;           2.335 (10.516 %)
  rapi_ite;         10;      10000;       5.969e+10;          13.428;          15.586;          14.047;           0.360 ( 2.564 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       7.986e+10;          52.026;          84.539;          56.352;           6.800 (12.068 %)
  naif_ite;         10;      10000;       4.180e+21;          25.931;          31.495;          27.027;           1.193 ( 4.413 %)
  rapi_rec;         10;      10000;       4.403e+24;          20.638;          32.069;          22.605;           3.055 (13.514 %)
  rapi_ite;         10;      10000;       8.361e+11;          13.494;          17.911;          14.614;           0.996 ( 6.813 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       6.953e+14;          51.994;          68.444;          54.578;           4.489 ( 8.225 %)
  naif_ite;         10;      10000;       4.193e+08;          26.097;          39.465;          27.377;           2.938 (10.733 %)
  rapi_rec;         10;      10000;       4.961e+31;          20.636;          37.488;          26.433;           5.133 (19.420 %)
  rapi_ite;         10;      10000;       1.520e+11;          13.435;          16.677;          14.107;           0.696 ( 4.937 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       3.915e+13;          52.499;          75.025;          58.215;           6.382 (10.963 %)
  naif_ite;         10;      10000;       8.645e+13;          25.880;          32.315;          27.138;           1.297 ( 4.779 %)
  rapi_rec;         10;      10000;       1.411e+17;          20.680;          37.408;          24.217;           4.103 (16.942 %)
  rapi_ite;         10;      10000;       2.476e+11;          13.435;          15.092;          14.077;           0.448 ( 3.182 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.438e+16;          52.151;          70.104;          56.193;           4.938 ( 8.787 %)
  naif_ite;         10;      10000;       7.805e+21;          25.875;          35.266;          27.335;           2.185 ( 7.994 %)
