     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_ite;         10;      10000;       3.445e+15;           5.027;           7.813;           5.774;           0.614 (10.640 %)
  rapi_rec;         10;      10000;       1.284e+16;          13.118;          17.885;          14.613;           0.908 ( 6.214 %)
  rapi_ite;         10;      10000;       1.383e+13;           7.078;          16.491;           9.127;           2.260 (24.765 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       3.409e+14;           5.791;           9.545;           6.745;           0.885 (13.116 %)
  naif_ite;         10;      10000;       1.273e+08;           5.019;           7.179;           5.453;           0.530 ( 9.729 %)
  rapi_rec;         10;      10000;       4.108e+11;          13.119;          19.514;          15.186;           1.516 ( 9.983 %)
  rapi_ite;         10;      10000;       1.082e+11;           7.332;          14.355;           9.082;           2.129 (23.442 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       6.224e+10;           5.792;          10.093;           6.415;           0.819 (12.770 %)
  naif_ite;         10;      10000;       3.924e+15;           5.019;           7.036;           5.112;           0.367 ( 7.174 %)
  rapi_rec;         10;      10000;       1.279e+11;          13.503;          19.809;          15.328;           1.179 ( 7.690 %)
  rapi_ite;         10;      10000;       1.010e+18;           7.333;          14.069;           8.529;           1.552 (18.194 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.760e+14;           5.794;          10.384;           6.833;           0.875 (12.807 %)
  naif_ite;         10;      10000;       8.100e+13;           5.019;           9.359;           5.661;           0.917 (16.206 %)
  rapi_rec;         10;      10000;       1.681e+14;          13.238;          16.403;          14.680;           0.678 ( 4.618 %)
  rapi_ite;         10;      10000;       3.243e+17;           6.950;          13.869;           9.637;           1.935 (20.075 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       8.878e+16;           5.795;          15.539;           8.449;           2.199 (26.031 %)
  naif_ite;         10;      10000;       6.876e+12;           5.019;           7.778;           5.517;           0.785 (14.235 %)
  rapi_rec;         10;      10000;       1.176e+18;          13.120;          22.292;          16.082;           2.238 (13.918 %)
  rapi_ite;         10;      10000;       1.418e+17;           7.334;          10.556;           8.186;           0.942 (11.504 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.022e+17;           5.790;           9.307;           6.275;           0.833 (13.281 %)
  naif_ite;         10;      10000;       8.448e+15;           5.022;          14.895;           8.010;           2.611 (32.594 %)
  rapi_rec;         10;      10000;       9.485e+16;          13.259;          21.693;          15.161;           1.870 (12.337 %)
  rapi_ite;         10;      10000;       3.267e+19;           7.336;          11.204;           8.028;           0.772 ( 9.614 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       4.193e+10;           5.798;          14.348;           8.740;           2.295 (26.263 %)
  naif_ite;         10;      10000;       5.893e+14;           5.021;           7.638;           5.681;           0.478 ( 8.405 %)
  rapi_rec;         10;      10000;       3.895e+08;          13.447;          16.693;          14.400;           0.749 ( 5.204 %)
  rapi_ite;         10;      10000;       2.312e+10;           7.333;           8.408;           7.425;           0.283 ( 3.806 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       4.662e+19;           5.793;           9.675;           6.490;           0.920 (14.169 %)
  naif_ite;         10;      10000;       2.621e+22;           5.021;           8.506;           5.784;           0.841 (14.546 %)
  rapi_rec;         10;      10000;       6.667e+29;          13.863;          20.780;          15.312;           1.343 ( 8.772 %)
  rapi_ite;         10;      10000;       7.291e+14;           7.339;          15.123;          10.373;           1.930 (18.607 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.412e+13;           6.675;          22.782;          13.832;           3.579 (25.873 %)
  naif_ite;         10;      10000;       4.859e+13;           5.021;          11.494;           6.933;           1.803 (26.013 %)
  rapi_rec;         10;      10000;       2.231e+14;          13.915;          27.173;          19.568;           3.146 (16.075 %)
  rapi_ite;         10;      10000;       1.462e+13;           7.332;          15.501;           9.598;           2.487 (25.917 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.629e+14;           6.095;          21.760;          13.923;           3.914 (28.111 %)
  naif_ite;         10;      10000;       1.109e+19;           5.827;          23.607;          11.934;           4.769 (39.961 %)
  rapi_rec;         10;      10000;       5.324e+11;          15.141;          28.999;          20.766;           3.382 (16.287 %)
  rapi_ite;         10;      10000;       1.157e+12;           7.337;          20.316;          11.374;           3.309 (29.088 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.327e+13;           5.792;          18.474;           9.640;           3.767 (39.073 %)
  naif_ite;         10;      10000;       1.285e+12;           5.020;          11.420;           8.153;           1.966 (24.109 %)
  rapi_rec;         10;      10000;       5.460e+12;          13.449;          21.390;          17.518;           1.961 (11.194 %)
  rapi_ite;         10;      10000;       7.410e+15;           8.572;          15.428;          11.579;           1.863 (16.086 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       5.779e+12;           5.793;          15.645;          10.032;           2.421 (24.129 %)
