     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_ite;         10;      10000;       3.459e+20;           4.250;           5.972;           4.511;           0.435 ( 9.632 %)
  rapi_rec;         10;      10000;       1.609e+14;          16.331;          18.050;          16.992;           0.408 ( 2.401 %)
  rapi_ite;         10;      10000;       1.161e+12;           7.930;          20.074;           9.709;           2.641 (27.200 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.119e+18;          30.852;          38.243;          32.349;           2.011 ( 6.217 %)
  naif_ite;         10;      10000;       5.302e+13;           4.252;           9.656;           5.534;           1.615 (29.189 %)
  rapi_rec;         10;      10000;       1.887e+14;          16.242;          25.799;          17.588;           1.902 (10.812 %)
  rapi_ite;         10;      10000;       4.266e+22;           7.721;          19.305;           8.923;           1.941 (21.756 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       5.242e+13;          30.850;          39.995;          33.950;           2.373 ( 6.988 %)
  naif_ite;         10;      10000;       1.120e+16;           4.253;          10.390;           6.988;           1.552 (22.211 %)
  rapi_rec;         10;      10000;       2.682e+18;          17.014;          25.076;          19.274;           1.872 ( 9.712 %)
  rapi_ite;         10;      10000;       9.973e+12;           7.721;          11.510;           9.078;           0.961 (10.584 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       4.719e+23;          30.851;          40.920;          33.409;           2.559 ( 7.660 %)
  naif_ite;         10;      10000;       3.332e+20;           4.250;           6.649;           4.529;           0.534 (11.782 %)
  rapi_rec;         10;      10000;       2.852e+14;          16.287;          26.700;          18.184;           2.814 (15.476 %)
  rapi_ite;         10;      10000;       5.301e+14;           7.719;          15.891;          10.952;           3.126 (28.540 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.826e+12;          31.013;          37.135;          34.072;           1.493 ( 4.381 %)
  naif_ite;         10;      10000;       3.437e+26;           4.636;           8.163;           6.033;           1.345 (22.286 %)
  rapi_rec;         10;      10000;       3.536e+14;          16.329;          22.325;          17.693;           1.698 ( 9.595 %)
  rapi_ite;         10;      10000;       1.188e+20;           7.722;          15.691;           9.803;           2.643 (26.966 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.562e+16;          30.851;          36.659;          31.749;           1.220 ( 3.844 %)
  naif_ite;         10;      10000;       1.172e+16;           4.254;           9.591;           6.994;           1.472 (21.044 %)
  rapi_rec;         10;      10000;       2.407e+25;          16.431;          23.123;          19.382;           1.847 ( 9.530 %)
  rapi_ite;         10;      10000;       2.588e+12;           7.726;          25.109;          14.604;           3.540 (24.242 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       3.336e+19;          30.851;          36.262;          31.684;           1.496 ( 4.721 %)
  naif_ite;         10;      10000;       3.733e+29;           4.250;           4.265;           4.253;           0.003 ( 0.061 %)
  rapi_rec;         10;      10000;       1.928e+15;          16.331;          24.787;          18.030;           2.592 (14.375 %)
  rapi_ite;         10;      10000;       1.587e+26;           7.718;           9.730;           7.936;           0.384 ( 4.843 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       4.625e+11;          30.850;          41.212;          33.324;           3.159 ( 9.480 %)
  naif_ite;         10;      10000;       8.687e+15;           4.269;           7.209;           5.067;           0.406 ( 8.021 %)
  rapi_rec;         10;      10000;       1.892e+22;          16.201;          25.442;          17.393;           1.783 (10.250 %)
  rapi_ite;         10;      10000;       2.677e+09;           7.726;          14.059;           9.836;           1.825 (18.554 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       3.237e+08;          30.851;          42.867;          33.669;           3.693 (10.970 %)
  naif_ite;         10;      10000;       4.399e+15;           5.021;           5.030;           5.025;           0.002 ( 0.034 %)
  rapi_rec;         10;      10000;       1.330e+17;          16.329;          16.844;          16.373;           0.116 ( 0.709 %)
  rapi_ite;         10;      10000;       9.851e+12;           7.723;           9.073;           8.264;           0.206 ( 2.496 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       3.384e+14;          30.851;          43.791;          33.280;           3.826 (11.498 %)
  naif_ite;         10;      10000;       1.755e+21;           4.252;          11.329;           6.824;           2.092 (30.652 %)
  rapi_rec;         10;      10000;       1.271e+15;          16.333;          18.595;          16.931;           0.492 ( 2.908 %)
  rapi_ite;         10;      10000;       5.315e+23;           7.722;          10.711;           8.369;           0.593 ( 7.083 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       4.897e+15;          30.850;          39.095;          31.585;           1.945 ( 6.158 %)
  naif_ite;         10;      10000;       1.159e+14;           4.253;          10.467;           6.142;           1.649 (26.842 %)
  rapi_rec;         10;      10000;       4.570e+15;          16.346;          23.096;          18.326;           2.156 (11.763 %)
  rapi_ite;         10;      10000;       1.743e+27;           8.105;           9.420;           8.256;           0.238 ( 2.877 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       4.197e+19;          30.849;          45.240;          33.650;           3.658 (10.872 %)
  naif_ite;         10;      10000;       2.101e+18;           4.250;           8.306;           4.941;           0.761 (15.396 %)
  rapi_rec;         10;      10000;       1.319e+27;          16.227;          25.622;          17.861;           2.251 (12.603 %)
  rapi_ite;         10;      10000;       8.801e+18;           7.719;          11.732;           8.904;           0.994 (11.159 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       7.751e+09;          30.848;          38.061;          31.824;           1.910 ( 6.003 %)
  naif_ite;         10;      10000;       9.366e+13;           4.252;           8.541;           5.681;           1.063 (18.713 %)
  rapi_rec;         10;      10000;       2.439e+15;          16.330;          19.633;          17.087;           0.674 ( 3.947 %)
  rapi_ite;         10;      10000;       5.709e+17;           8.020;          18.337;          11.994;           3.228 (26.915 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       9.519e+15;          34.246;          53.427;          42.072;           5.171 (12.290 %)
  naif_ite;         10;      10000;       5.353e+09;           4.595;          10.871;           7.214;           1.102 (15.282 %)
  rapi_rec;         10;      10000;       3.236e+15;          18.954;          30.985;          22.765;           2.731 (11.995 %)
  rapi_ite;         10;      10000;       3.980e+17;           8.107;          21.540;          13.010;           3.385 (26.021 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       7.590e+16;          30.849;          41.511;          33.774;           3.016 ( 8.931 %)
  naif_ite;         10;      10000;       5.137e+14;           4.249;           7.361;           4.476;           0.715 (15.983 %)
  rapi_rec;         10;      10000;       4.339e+15;          16.329;          25.149;          18.681;           2.827 (15.131 %)
  rapi_ite;         10;      10000;       8.546e+15;           8.097;          13.811;           9.842;           1.662 (16.888 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       7.679e+13;          30.850;          44.931;          32.449;           3.125 ( 9.629 %)
  naif_ite;         10;      10000;       1.329e+22;           4.249;           5.282;           4.308;           0.224 ( 5.203 %)
  rapi_rec;         10;      10000;       6.942e+15;          16.329;          19.362;          16.493;           0.609 ( 3.690 %)
  rapi_ite;         10;      10000;       1.863e+17;           7.721;          17.473;           9.298;           2.059 (22.148 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       5.868e+15;          30.969;          45.548;          33.983;           3.721 (10.951 %)
  naif_ite;         10;      10000;       1.352e+19;           4.250;           6.255;           4.654;           0.525 (11.281 %)
  rapi_rec;         10;      10000;       5.381e+33;          16.234;          26.031;          17.326;           1.724 ( 9.952 %)
  rapi_ite;         10;      10000;       1.009e+19;           7.721;          10.156;           8.354;           0.688 ( 8.238 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.117e+23;          30.897;          38.143;          32.455;           2.222 ( 6.847 %)
  naif_ite;         10;      10000;       3.122e+17;           4.252;          10.909;           6.902;           1.919 (27.796 %)
  rapi_rec;         10;      10000;       7.615e+24;          16.340;          24.567;          18.291;           2.206 (12.059 %)
  rapi_ite;         10;      10000;       5.779e+30;           7.720;          14.198;           8.595;           1.132 (13.169 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.410e+29;          30.852;          42.627;          33.355;           2.995 ( 8.978 %)
  naif_ite;         10;      10000;       1.128e+16;           4.248;           6.019;           4.574;           0.443 ( 9.683 %)
  rapi_rec;         10;      10000;       1.381e+16;          16.330;          21.969;          17.302;           1.277 ( 7.381 %)
  rapi_ite;         10;      10000;       5.062e+18;           7.720;          17.087;           9.400;           2.369 (25.204 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.822e+13;          30.849;          50.788;          34.686;           5.489 (15.824 %)
  naif_ite;         10;      10000;       7.161e+13;           4.249;          15.250;           6.763;           2.875 (42.510 %)
  rapi_rec;         10;      10000;       1.906e+16;          16.182;          20.894;          17.117;           1.062 ( 6.206 %)
  rapi_ite;         10;      10000;       4.432e+19;           7.726;          11.441;           8.825;           0.991 (11.228 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       3.616e+23;          30.917;          40.237;          32.622;           2.206 ( 6.761 %)
  naif_ite;         10;      10000;       5.284e+15;           4.253;           9.934;           6.462;           1.474 (22.814 %)
  rapi_rec;         10;      10000;       2.654e+16;          16.203;          27.169;          17.747;           2.472 (13.931 %)
  rapi_ite;         10;      10000;       5.425e+14;           7.721;          13.816;           8.734;           1.068 (12.228 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       3.032e+17;          30.849;          39.123;          31.869;           2.261 ( 7.096 %)
  naif_ite;         10;      10000;       1.559e+23;           4.250;           5.925;           4.352;           0.392 ( 9.001 %)
  rapi_rec;         10;      10000;       3.742e+16;          16.200;          25.316;          19.783;           2.891 (14.614 %)
  rapi_ite;         10;      10000;       1.154e+25;           7.722;          15.798;           9.608;           2.117 (22.036 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       7.931e+08;          30.850;          43.173;          32.772;           3.039 ( 9.273 %)
  naif_ite;         10;      10000;       9.364e+12;           4.250;           7.984;           4.855;           0.906 (18.672 %)
  rapi_rec;         10;      10000;       6.523e+18;          16.895;          22.794;          18.283;           1.342 ( 7.338 %)
  rapi_ite;         10;      10000;       2.957e+17;           7.721;          15.320;          10.407;           2.259 (21.704 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.444e+17;          30.850;          42.615;          33.163;           3.489 (10.520 %)
  naif_ite;         10;      10000;       8.756e+22;           4.248;           4.262;           4.252;           0.002 ( 0.057 %)
  rapi_rec;         10;      10000;       7.722e+16;          16.128;          20.434;          16.464;           0.720 ( 4.376 %)
  rapi_ite;         10;      10000;       1.836e+19;           7.719;          11.291;           8.127;           0.898 (11.052 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.125e+14;          30.851;          46.168;          33.038;           3.187 ( 9.648 %)
  naif_ite;         10;      10000;       9.975e+11;           4.249;           6.854;           5.021;           0.832 (16.564 %)
  rapi_rec;         10;      10000;       1.132e+17;          16.265;          26.722;          18.735;           2.591 (13.828 %)
  rapi_ite;         10;      10000;       4.684e+11;           7.722;          13.556;           9.017;           1.094 (12.132 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       4.301e+13;          30.849;          42.274;          34.935;           4.025 (11.521 %)
  naif_ite;         10;      10000;       3.328e+24;           4.250;           5.662;           4.517;           0.403 ( 8.930 %)
  rapi_rec;         10;      10000;       1.686e+17;          16.243;          19.471;          16.480;           0.575 ( 3.488 %)
  rapi_ite;         10;      10000;       3.553e+18;           7.722;          13.443;           9.664;           1.836 (18.999 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.028e+10;          30.850;          45.659;          32.954;           3.447 (10.459 %)
  naif_ite;         10;      10000;       5.522e+20;           4.250;          13.331;           6.277;           2.157 (34.368 %)
  rapi_rec;         10;      10000;       2.674e+17;          16.329;          17.555;          16.849;           0.370 ( 2.198 %)
  rapi_ite;         10;      10000;       3.652e+21;           7.896;          11.601;           8.678;           0.737 ( 8.497 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       4.973e+14;          30.850;          39.336;          31.793;           2.111 ( 6.640 %)
  naif_ite;         10;      10000;       4.347e+24;           4.251;           5.030;           4.277;           0.135 ( 3.160 %)
  rapi_rec;         10;      10000;       4.117e+17;          16.343;          38.786;          21.539;           4.832 (22.432 %)
  rapi_ite;         10;      10000;       1.530e+20;           8.038;          13.626;           9.176;           1.270 (13.839 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       4.261e+20;          30.852;          39.682;          32.883;           2.662 ( 8.094 %)
  naif_ite;         10;      10000;       2.068e+12;           4.249;           5.866;           4.409;           0.417 ( 9.458 %)
  rapi_rec;         10;      10000;       9.320e+20;          16.121;          25.153;          18.335;           2.444 (13.328 %)
  rapi_ite;         10;      10000;       8.203e+18;           8.010;          13.110;           9.791;           1.669 (17.047 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       6.790e+11;          30.852;          44.506;          32.647;           3.012 ( 9.227 %)
  naif_ite;         10;      10000;       3.907e+09;           4.250;           8.203;           4.830;           0.854 (17.688 %)
  rapi_rec;         10;      10000;       9.923e+17;          16.331;          25.288;          17.309;           1.790 (10.344 %)
  rapi_ite;         10;      10000;       8.503e+12;           7.734;           8.332;           8.309;           0.104 ( 1.250 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.153e+18;          30.976;          34.902;          31.862;           1.144 ( 3.590 %)
  naif_ite;         10;      10000;       1.122e+13;           4.252;           9.755;           5.842;           1.494 (25.576 %)
  rapi_rec;         10;      10000;       1.631e+18;          16.328;          21.080;          17.113;           1.192 ( 6.964 %)
  rapi_ite;         10;      10000;       4.446e+16;           7.721;          13.879;           9.339;           1.397 (14.956 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       6.342e+16;          31.167;          60.248;          39.915;           6.921 (17.340 %)
  naif_ite;         10;      10000;       3.060e+22;           5.787;          16.781;           9.978;           2.389 (23.944 %)
  rapi_rec;         10;      10000;       2.751e+18;          18.527;          34.916;          25.021;           4.276 (17.090 %)
  rapi_ite;         10;      10000;       1.466e+10;           7.720;          20.924;          11.935;           3.216 (26.946 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.447e+11;          30.871;          53.286;          41.807;           6.018 (14.394 %)
  naif_ite;         10;      10000;       8.353e+11;           4.250;          19.543;           9.986;           3.436 (34.414 %)
  rapi_rec;         10;      10000;       4.778e+18;          17.897;          38.271;          22.636;           3.967 (17.526 %)
  rapi_ite;         10;      10000;       3.490e+23;           7.720;          17.993;          10.450;           2.627 (25.140 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.971e+19;          30.849;          39.831;          32.372;           2.297 ( 7.094 %)
  naif_ite;         10;      10000;       6.607e+26;           4.253;          11.248;           5.463;           1.660 (30.384 %)
  rapi_rec;         10;      10000;       8.568e+18;          16.334;          24.794;          18.371;           2.169 (11.809 %)
  rapi_ite;         10;      10000;       2.867e+21;           7.843;           9.428;           8.506;           0.473 ( 5.563 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.890e+14;          30.850;          44.197;          33.481;           3.654 (10.915 %)
  naif_ite;         10;      10000;       2.286e+15;           4.250;           7.701;           4.550;           0.683 (15.019 %)
  rapi_rec;         10;      10000;       6.621e+25;          16.329;          16.719;          16.365;           0.101 ( 0.615 %)
  rapi_ite;         10;      10000;       5.768e+13;           7.721;           8.335;           8.273;           0.176 ( 2.127 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.562e+17;          30.850;          40.480;          33.142;           2.993 ( 9.029 %)
  naif_ite;         10;      10000;       1.174e+23;           4.254;          10.482;           6.505;           1.940 (29.829 %)
  rapi_rec;         10;      10000;       4.220e+22;          16.329;          19.939;          16.488;           0.635 ( 3.849 %)
  rapi_ite;         10;      10000;       2.588e+16;           7.721;           8.477;           8.171;           0.183 ( 2.242 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       5.068e+16;          30.850;          39.818;          31.850;           1.680 ( 5.273 %)
  naif_ite;         10;      10000;       1.349e+16;           4.255;           8.503;           6.249;           1.368 (21.890 %)
  rapi_rec;         10;      10000;       6.859e+28;          18.088;          37.113;          24.485;           4.385 (17.907 %)
  rapi_ite;         10;      10000;       8.812e+12;          11.517;          24.060;          17.711;           3.425 (19.338 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.930e+12;          30.851;          46.704;          34.299;           3.844 (11.207 %)
  naif_ite;         10;      10000;       7.805e+20;           4.994;          16.656;           9.156;           2.782 (30.383 %)
  rapi_rec;         10;      10000;       1.443e+20;          17.472;          43.320;          26.235;           5.645 (21.518 %)
  rapi_ite;         10;      10000;       1.757e+12;          12.491;          24.656;          16.736;           2.956 (17.661 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       8.050e+22;          30.851;          37.248;          32.011;           1.488 ( 4.647 %)
  naif_ite;         10;      10000;       7.017e+16;           4.249;           6.193;           4.574;           0.502 (10.971 %)
  rapi_rec;         10;      10000;       3.066e+20;          16.200;          25.535;          19.437;           2.609 (13.422 %)
  rapi_ite;         10;      10000;       1.009e+18;           7.723;          15.542;           9.304;           1.884 (20.254 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.262e+11;          30.851;          42.833;          33.858;           4.019 (11.870 %)
  naif_ite;         10;      10000;       2.583e+31;           4.255;          10.903;           6.477;           1.603 (24.741 %)
  rapi_rec;         10;      10000;       4.685e+39;          16.394;          26.434;          19.586;           2.768 (14.130 %)
  rapi_ite;         10;      10000;       6.314e+08;           7.928;          10.413;           8.774;           0.670 ( 7.635 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.632e+14;          30.849;          41.071;          32.108;           2.346 ( 7.307 %)
  naif_ite;         10;      10000;       1.118e+12;           4.250;          10.843;           5.989;           1.429 (23.864 %)
  rapi_rec;         10;      10000;       1.465e+22;          16.331;          20.824;          16.831;           0.842 ( 5.000 %)
  rapi_ite;         10;      10000;       6.671e+18;           7.719;           8.317;           7.750;           0.115 ( 1.484 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.325e+13;          30.850;          38.215;          32.089;           2.150 ( 6.700 %)
  naif_ite;         10;      10000;       4.288e+08;           4.252;          11.267;           6.906;           1.682 (24.357 %)
  rapi_rec;         10;      10000;       6.066e+21;          16.332;          27.272;          17.798;           2.230 (12.528 %)
  rapi_ite;         10;      10000;       2.233e+13;           7.722;          10.098;           8.563;           0.555 ( 6.486 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       6.037e+20;          30.852;          40.255;          32.272;           2.298 ( 7.120 %)
  naif_ite;         10;      10000;       7.043e+15;           4.634;           6.855;           4.830;           0.549 (11.370 %)
  rapi_rec;         10;      10000;       2.080e+22;          16.201;          30.611;          20.605;           4.033 (19.571 %)
  rapi_ite;         10;      10000;       4.885e+10;           7.720;          14.798;           9.657;           1.783 (18.460 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       3.899e+18;          30.850;          41.065;          32.722;           3.102 ( 9.479 %)
  naif_ite;         10;      10000;       2.542e+14;           4.250;           5.864;           4.771;           0.380 ( 7.956 %)
  rapi_rec;         10;      10000;       8.485e+22;          16.327;          17.665;          16.870;           0.317 ( 1.877 %)
  rapi_ite;         10;      10000;       2.808e+22;           7.836;          15.763;          10.404;           2.575 (24.748 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       7.677e+13;          30.849;          50.013;          33.873;           4.640 (13.698 %)
  naif_ite;         10;      10000;       7.264e+12;           4.248;          12.007;           4.928;           1.707 (34.636 %)
  rapi_rec;         10;      10000;       4.358e+23;          16.359;          22.098;          17.603;           1.315 ( 7.472 %)
  rapi_ite;         10;      10000;       6.163e+12;           7.723;          10.015;           8.603;           0.622 ( 7.230 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
