           2.769 	           0.993 	           1.020 	           2.286 	           0.357 
           0.229 	           2.919 	           0.962 	           2.988 	           0.911 
           1.803 	           2.026 	           1.607 	           4.558 	           1.844 
           2.088 	           0.943 	           0.127 	           1.965 	           1.758 
           0.431 	           1.018 	           0.358 	           0.890 	           0.513 
           1.369 	           2.599 	           2.191 	           2.244 	           1.705 
           4.942 	           1.711 	           2.167 	           0.155 	           0.632 
           1.482 	           1.300 	           0.188 	           1.005 	           0.439 
           1.844 	           0.178 	           0.862 	           2.850 	           0.538 
           2.867 	           0.078 	           2.396 	           0.810 	           2.093 
           0.234 	           0.894 	           1.136 	           2.041 	           1.922 
           0.255 	           0.164 	           1.374 	           0.436 	           1.016 
           3.845 	           1.469 	           2.786 	           0.425 	           0.104 
           1.247 	           1.401 	           1.748 	           3.827 	           0.058 
           0.480 	           1.946 	           0.189 	           2.011 	           1.991 
           0.710 	           2.806 	           2.380 	           3.251 	           1.951 
           1.171 	           2.310 	           0.359 	           2.816 	           0.123 
           2.121 	           1.489 	           1.647 	           0.628 	           2.041 
           2.165 	           2.473 	           1.587 	           1.785 	           1.268 
           3.108 	           3.165 	           2.748 	           3.056 	           2.717 
           0.850 	           1.799 	           0.218 	           2.505 	           0.537 
           0.296 	           1.879 	           5.639 	           0.711 	           1.905 
           0.007 	           1.394 	           0.071 	           3.298 	           0.806 
           2.057 	           1.768 	           2.063 	           2.014 	           0.555 
           2.142 	           2.987 	           0.162 	           9.346 	           0.552 
           1.734 	           3.152 	           0.201 	           1.650 	           0.341 
           0.908 	           2.043 	           0.495 	           3.999 	           0.219 
           1.712 	           2.819 	           0.536 	           2.514 	           2.104 
           2.565 	           2.220 	           4.379 	           2.022 	           1.956 
           0.777 	           2.668 	           0.181 	           2.828 	           0.466 
           2.494 	           2.522 	           0.822 	           0.951 	           1.216 
           0.443 	           1.545 	           1.487 	           2.402 	           0.338 
           0.521 	           1.634 	           0.894 	           1.142 	           0.580 
           2.413 	           2.701 	           0.103 	           2.667 	           1.048 
           0.784 	           4.377 	           3.128 	           0.516 	           1.815 
           0.471 	           1.714 	           0.412 	           0.275 	           0.894 
           0.469 	           0.582 	           2.446 	           2.502 	           0.523 
           1.980 	           0.911 	           2.820 	           2.450 	           1.576 
           0.547 	           2.546 	           1.955 	           0.641 	           1.585 
           1.807 	           2.758 	           0.146 	           1.860 	           1.177 
           3.486 	           0.467 	           1.194 	           1.582 	           0.049 
           0.864 	           0.161 	           2.019 	           0.668 	           0.522 
           0.833 	           1.079 	           0.074 	           0.592 	           0.354 
           3.854 	           0.877 	           3.121 	           1.733 	           0.258 
           0.504 	           1.592 	           2.454 	           0.465 	           0.303 
           0.153 	           0.199 	           0.101 	           0.667 	           3.192 
           2.717 	           0.305 	           0.564 	           2.159 	           0.003 
           0.430 	           2.202 	           3.591 	           2.048 	           1.366 
           0.895 	           1.026 	           0.359 	           0.858 	           0.347 
           0.251 	           1.754 	           0.623 	           1.649 	           0.640 
