           0.664 ( 2.484 %)	           0.440 ( 6.310 %)	           0.665 (14.923 %)	           0.508 (13.761 %)	           0.217 ( 3.852 %)
           1.077 ( 3.983 %)	           0.688 ( 9.610 %)	           0.253 ( 7.127 %)	           1.181 (27.168 %)	           1.425 (21.359 %)
           0.835 ( 3.172 %)	           0.451 ( 6.270 %)	           1.837 (31.321 %)	           1.253 (29.754 %)	           3.216 (36.175 %)
           3.503 (12.573 %)	           2.192 (25.958 %)	           0.325 ( 8.651 %)	           2.886 (42.836 %)	           1.957 (28.249 %)
           3.496 (12.127 %)	           2.017 (23.744 %)	           0.838 (20.614 %)	           0.569 (14.723 %)	           1.397 (21.746 %)
           8.489 (20.325 %)	           0.211 ( 3.159 %)	           1.325 (31.015 %)	           0.005 ( 0.155 %)	           1.285 (21.191 %)
           3.693 (12.836 %)	           0.407 ( 5.895 %)	           0.375 ( 9.703 %)	           0.715 (18.563 %)	           2.808 (23.872 %)
           2.334 ( 8.300 %)	           1.495 (20.549 %)	           0.576 (14.517 %)	           0.435 (12.026 %)	           1.442 (19.734 %)
           6.066 (19.251 %)	           1.925 (18.519 %)	           0.003 ( 0.074 %)	           1.636 (31.639 %)	           1.229 (19.889 %)
           2.829 (10.259 %)	           1.480 (18.679 %)	           0.003 ( 0.073 %)	           0.471 (12.019 %)	           0.002 ( 0.043 %)
           4.697 (16.135 %)	           1.227 (16.547 %)	           1.038 (23.942 %)	           1.574 (35.044 %)	           3.373 (37.554 %)
           0.940 ( 3.472 %)	           0.389 ( 5.864 %)	           0.589 (14.031 %)	           1.223 (28.221 %)	           0.950 (16.328 %)
           2.120 ( 7.920 %)	           0.003 ( 0.042 %)	           0.504 (12.957 %)	           0.383 (10.026 %)	           0.853 (13.618 %)
           3.949 (13.965 %)	           0.933 (13.139 %)	           2.884 (45.827 %)	           1.158 (28.702 %)	           1.126 (17.190 %)
           3.206 (11.604 %)	           0.281 ( 4.218 %)	           0.002 ( 0.055 %)	           1.922 (34.420 %)	           0.334 ( 5.968 %)
           3.863 (13.208 %)	           1.829 (20.630 %)	           0.002 ( 0.068 %)	           0.004 ( 0.109 %)	           2.739 (28.430 %)
           0.187 ( 0.715 %)	           0.465 ( 6.925 %)	           0.349 ( 9.485 %)	           0.295 ( 8.070 %)	           2.076 (29.200 %)
           0.853 ( 3.156 %)	           0.002 ( 0.023 %)	           0.442 (11.601 %)	           0.004 ( 0.107 %)	           1.925 (27.598 %)
           3.311 (11.644 %)	           2.701 (31.874 %)	           2.224 (25.962 %)	           2.633 (44.868 %)	           2.057 (24.246 %)
           3.293 (11.657 %)	           1.470 (19.305 %)	           0.912 (21.002 %)	           0.719 (17.801 %)	           1.214 (18.088 %)
           7.259 (18.456 %)	           1.048 (15.354 %)	           0.062 ( 1.596 %)	           0.062 ( 1.600 %)	           0.712 (11.265 %)
           8.027 (25.424 %)	           0.002 ( 0.037 %)	           0.444 (11.246 %)	           0.649 (15.712 %)	           1.085 (18.175 %)
