0	1.000000	1.000000
1	1.349076	1.349076
2	1.820005	1.820005
3	2.455325	2.455325
4	3.312419	3.312419
5	4.468703	4.468703
6	6.028619	6.028619
7	8.133063	8.133063
8	10.972118	10.972118
9	14.802217	14.802217
10	19.969311	19.969311
11	26.940111	26.940111
12	36.344249	36.344249
13	49.031141	49.031141
14	66.146719	66.146719
15	89.236929	89.236929
16	120.387369	120.387369
17	162.411670	162.411670
18	219.105632	219.105632
19	295.590075	295.590075
20	398.773377	398.773377
21	537.975458	537.975458
22	725.769597	725.769597
23	979.118101	979.118101
24	1320.904401	1320.904401
25	1781.999980	1781.999980
26	2404.052805	2404.052805
27	3243.249131	3243.249131
28	4375.388472	4375.388472
29	5902.730104	5902.730104
30	7963.229528	7963.229528
31	10742.999156	10742.999156
32	14493.118709	14493.118709
33	19552.313731	19552.313731
34	26377.550610	26377.550610
35	35585.311578	35585.311578
36	48007.277811	48007.277811
37	64765.450142	64765.450142
38	87373.492590	87373.492590
39	117873.452445	117873.452445
40	159020.206009	159020.206009
41	214530.289854	214530.289854
42	289417.593020	289417.593020
43	390446.231190	390446.231190
44	526741.508212	526741.508212
45	710614.149427	710614.149427
46	958672.254782	958672.254782
47	1293321.407729	1293321.407729
48	1744788.435617	1744788.435617
49	2353851.615593	2353851.615593
50	3175523.928933	3175523.928933
51	4284022.049829	4284022.049829
52	5779469.887223	5779469.887223
53	7796942.169952	7796942.169952
54	10518664.927378	10518664.927378
55	14190474.860883	14190474.860883
56	19144024.281372	19144024.281372
57	25826737.250072	25826737.250072
58	34842222.679026	34842222.679026
59	47004794.661449	47004794.661449
60	63413024.522543	63413024.522543
61	85548968.101219	85548968.101219
62	115412030.860973	115412030.860973
63	155699562.053098	155699562.053098
64	210050489.907150	210050489.907150
65	283374003.937064	283374003.937063
66	382292972.241192	382292972.241194
67	515742144.990351	515742144.990350
68	695775176.195057	695775176.195059
69	938653357.131246	938653357.131242
70	1266314400.108397	1266314400.108395
71	1708353938.905348	1708353938.905345
72	2304698722.784476	2304698722.784487
73	3109212957.478771	3109212957.478762
74	4194563532.049952	4194563532.049951
75	5658783578.037862	5658783578.037868
76	7634127207.371525	7634127207.371552
77	10299015223.787420	10299015223.787458
78	13894150791.381086	13894150791.381098
79	18744260690.843388	18744260690.843330
80	25287425919.131760	25287425919.131725
81	34114650887.669006	34114650887.669125
82	46023245264.636711	46023245264.636734
83	62088840119.261642	62088840119.261238
84	83762543149.414749	83762543149.414566
85	113002008434.700623	113002008434.700653
86	152448259450.505005	152448259450.505707
87	205664236692.910828	205664236692.910980
88	277456616473.933960	277456616473.935120
89	374309968826.084595	374309968826.081177
90	504972469365.301941	504972469365.304993
91	681246068910.791992	681246068910.787964
92	919052492088.782227	919052492088.779175
93	1239871350105.666504	1239871350105.659180
94	1672680263690.904785	1672680263690.898926
95	2256572235742.551758	2256572235742.562012
96	3044286685064.333984	3044286685064.342773
97	4106973078045.691406	4106973078045.679199
98	5540617428228.712891	5540617428228.716797
99	7474712130472.390625	7474712130472.444336
100	10083952223225.941406	10083952223225.941406
101	13604014531309.707031	13604014531309.806641
102	18352844923424.332031	18352844923424.457031
103	24759376433188.402344	24759376433188.296875
104	33402272177317.773438	33402272177317.472656
105	45062192483655.476562	45062192483655.765625
106	60792307201571.750000	60792307201571.937500
107	82013422143867.968750	82013422143868.359375
108	110642311854457.812500	110642311854457.484375
109	149264850222011.687500	149264850222011.343750
110	201369576777348.750000	201369576777348.281250
111	271662795300945.312500	271662795300947.593750
112	366493665685772.125000	366493665685771.312500
113	494427685023998.437500	494427685023998.000000
114	667020356984250.625000	667020356984248.750000
115	899860930339694.125000	899860930339689.250000
116	1213980481214818.750000	1213980481214821.500000
117	1637751522576078.500000	1637751522576081.250000
118	2209450721164965.500000	2209450721164989.500000
119	2980716196543543.000000	2980716196543552.000000
120	4021211679096623.000000	4021211679096628.000000
121	5424918812080836.000000	5424918812080852.000000
122	7318625943183369.000000	7318625943183413.000000
123	9873380146622306.000000	9873380146622298.000000
124	13319936867454268.000000	13319936867454338.000000
125	17969602660712192.000000	17969602660712190.000000
126	24242353623526496.000000	24242353623526500.000000
127	32704769287581964.000000	32704769287582120.000000
