       17407.810 (-585.583 %)	           0.850 ( 2.515 %)	           0.980 ( 2.946 %)	           0.963 ( 3.088 %)	           0.003 ( 0.057 %)
           1.631 ( 2.825 %)	           1.159 ( 3.447 %)	           0.791 ( 2.342 %)	           0.561 ( 1.807 %)	           0.012 ( 0.220 %)
           1.967 ( 3.421 %)	           0.824 ( 2.441 %)	           1.035 ( 3.132 %)	           0.922 ( 2.966 %)	           0.006 ( 0.119 %)
           1.054 ( 1.842 %)	           0.644 ( 1.890 %)	           0.732 ( 2.267 %)	           0.528 ( 1.702 %)	           0.005 ( 0.083 %)
           0.739 ( 1.300 %)	           1.082 ( 3.200 %)	           0.987 ( 2.967 %)	           1.760 ( 5.592 %)	           0.007 ( 0.128 %)
           0.860 ( 1.498 %)	           0.970 ( 2.917 %)	           0.470 ( 1.382 %)	           1.083 ( 3.472 %)	           0.004 ( 0.070 %)
           0.536 ( 0.940 %)	           1.041 ( 3.134 %)	           1.083 ( 3.252 %)	           0.927 ( 2.973 %)	           0.003 ( 0.063 %)
           0.879 ( 1.541 %)	           1.483 ( 4.448 %)	           1.509 ( 4.507 %)	           0.375 ( 1.214 %)	           0.004 ( 0.068 %)
           1.498 ( 2.597 %)	           0.762 ( 2.259 %)	           1.132 ( 3.397 %)	           1.884 ( 5.941 %)	           0.004 ( 0.074 %)
           1.541 ( 2.691 %)	           1.039 ( 3.119 %)	           2.639 ( 7.780 %)	           0.386 ( 1.248 %)	           0.004 ( 0.071 %)
           1.025 ( 1.796 %)	           0.967 ( 2.907 %)	           1.088 ( 3.271 %)	           0.469 ( 1.514 %)	           0.896 (15.737 %)
           0.644 ( 1.128 %)	           0.422 ( 1.240 %)	           0.414 ( 1.218 %)	           1.293 ( 4.142 %)	           0.011 ( 0.224 %)
           1.183 ( 2.059 %)	           1.017 ( 3.078 %)	           0.730 ( 2.151 %)	           0.450 ( 1.456 %)	           0.005 ( 0.086 %)
           0.550 ( 0.965 %)	           1.086 ( 3.268 %)	           0.471 ( 1.384 %)	           0.522 ( 1.685 %)	           0.004 ( 0.083 %)
           0.446 ( 0.781 %)	           1.056 ( 3.121 %)	           0.928 ( 2.745 %)	           0.785 ( 2.534 %)	           0.010 ( 0.192 %)
           0.544 ( 0.953 %)	           0.492 ( 1.446 %)	           0.470 ( 1.380 %)	           0.390 ( 1.262 %)	           0.006 ( 0.105 %)
           0.543 ( 0.951 %)	           0.948 ( 2.833 %)	           1.141 ( 3.424 %)	           0.504 ( 1.627 %)	           0.005 ( 0.092 %)
           0.595 ( 1.045 %)	           1.138 ( 3.418 %)	           0.987 ( 2.988 %)	           0.881 ( 2.842 %)	           0.005 ( 0.087 %)
           0.471 ( 0.822 %)	           1.175 ( 3.527 %)	           1.005 ( 3.021 %)	           0.384 ( 1.241 %)	           0.005 ( 0.084 %)
           1.325 ( 2.312 %)	           0.409 ( 1.203 %)	           1.020 ( 3.065 %)	           0.590 ( 1.904 %)	           0.004 ( 0.088 %)
           0.500 ( 0.876 %)	           1.103 ( 3.334 %)	           1.217 ( 3.621 %)	           0.408 ( 1.319 %)	           0.009 ( 0.163 %)
           0.651 ( 1.138 %)	           1.013 ( 3.046 %)	           0.482 ( 1.417 %)	           0.429 ( 1.386 %)	           0.004 ( 0.077 %)
           0.429 ( 0.732 %)	           1.151 ( 3.462 %)	           0.521 ( 1.532 %)	           0.375 ( 1.213 %)	           0.005 ( 0.095 %)
           0.824 ( 1.439 %)	           0.792 ( 2.346 %)	           0.893 ( 2.642 %)	           0.433 ( 1.400 %)	           0.005 ( 0.097 %)
           0.491 ( 0.854 %)	           0.530 ( 1.557 %)	           0.789 ( 2.336 %)	           1.307 ( 4.195 %)	           0.005 ( 0.108 %)
           1.379 ( 2.390 %)	           0.780 ( 2.309 %)	           0.981 ( 2.950 %)	           0.435 ( 1.406 %)	           0.005 ( 0.092 %)
           0.495 ( 0.863 %)	           1.178 ( 3.541 %)	           0.401 ( 1.180 %)	           0.374 ( 1.209 %)	           0.011 ( 0.194 %)
           0.394 ( 0.691 %)	           0.478 ( 1.404 %)	           1.015 ( 3.049 %)	           1.068 ( 3.429 %)	           0.004 ( 0.073 %)
           0.485 ( 0.850 %)	           1.789 ( 5.233 %)	           0.472 ( 1.386 %)	           1.143 ( 3.671 %)	           0.005 ( 0.101 %)
           0.523 ( 0.911 %)	           1.263 ( 3.795 %)	           0.783 ( 2.318 %)	           0.937 ( 3.014 %)	           0.020 ( 0.372 %)
           1.410 ( 2.466 %)	           0.367 ( 1.078 %)	           0.511 ( 1.501 %)	           0.485 ( 1.568 %)	           0.007 ( 0.127 %)
           0.682 ( 1.196 %)	           1.024 ( 3.076 %)	           0.772 ( 2.282 %)	           3.990 (12.072 %)	           0.833 (16.044 %)
           0.520 ( 0.912 %)	           1.125 ( 3.383 %)	       17405.284 (-580.903 %)	           0.713 ( 2.298 %)	           0.005 ( 0.098 %)
           0.387 ( 0.679 %)	           1.132 ( 3.425 %)	           1.303 ( 3.912 %)	           0.435 ( 1.405 %)	           0.005 ( 0.084 %)
           0.649 ( 1.133 %)	           0.388 ( 1.141 %)	           0.996 ( 2.994 %)	           0.946 ( 3.043 %)	           0.031 ( 0.579 %)
           0.480 ( 0.841 %)	           0.961 ( 2.812 %)	           1.385 ( 4.164 %)	           0.803 ( 2.591 %)	           0.006 ( 0.117 %)
           1.920 ( 3.316 %)	           1.656 ( 4.939 %)	           0.883 ( 2.586 %)	           1.658 ( 5.292 %)	           0.005 ( 0.095 %)
           1.004 ( 1.756 %)	           1.138 ( 3.438 %)	           0.979 ( 2.944 %)	           0.767 ( 2.469 %)	           0.004 ( 0.085 %)
           0.926 ( 1.614 %)	           1.018 ( 3.080 %)	           0.480 ( 1.410 %)	           0.450 ( 1.453 %)	           0.007 ( 0.136 %)
           0.515 ( 0.905 %)	           1.221 ( 3.605 %)	           0.851 ( 2.520 %)	           0.492 ( 1.589 %)	           0.004 ( 0.078 %)
           1.014 ( 1.770 %)	           1.054 ( 3.186 %)	           0.479 ( 1.406 %)	           2.569 ( 8.085 %)	           0.004 ( 0.076 %)
           0.399 ( 0.698 %)	           0.837 ( 2.480 %)	           1.137 ( 3.411 %)	           0.757 ( 2.438 %)	           0.007 ( 0.128 %)
           1.979 ( 3.430 %)	           1.005 ( 3.022 %)	           0.401 ( 1.179 %)	           1.487 ( 4.731 %)	           0.005 ( 0.087 %)
           0.574 ( 1.005 %)	           1.527 ( 4.463 %)	           0.639 ( 1.878 %)	           0.557 ( 1.800 %)	           0.009 ( 0.187 %)
           0.641 ( 1.119 %)	           1.295 ( 3.889 %)	           0.414 ( 1.216 %)	           0.497 ( 1.607 %)	           0.012 ( 0.232 %)
           1.023 ( 1.785 %)	           0.822 ( 2.413 %)	           1.029 ( 3.091 %)	           2.286 ( 7.199 %)	           0.005 ( 0.100 %)
           0.643 ( 1.125 %)	           0.851 ( 2.520 %)	           0.965 ( 2.870 %)	           0.770 ( 2.476 %)	           0.006 ( 0.123 %)
           0.507 ( 0.889 %)	           1.015 ( 3.051 %)	           0.914 ( 2.704 %)	       17407.810 (-580.414 %)	           0.004 ( 0.065 %)
           0.521 ( 0.909 %)	           0.838 ( 2.482 %)	           0.774 ( 2.398 %)	           0.743 ( 2.397 %)	           0.005 ( 0.109 %)
           0.431 ( 0.755 %)	           0.989 ( 2.973 %)	           0.779 ( 2.307 %)	           3.473 (10.936 %)	           0.157 ( 3.090 %)
           0.489 ( 0.856 %)	           2.283 ( 6.728 %)	           0.950 ( 2.823 %)	           0.829 ( 2.670 %)	           0.208 ( 3.750 %)
           0.902 ( 1.575 %)	           0.923 ( 2.731 %)	           0.078 ( 0.229 %)	           0.616 ( 1.988 %)	           0.006 ( 0.112 %)
           0.415 ( 0.729 %)	           0.539 ( 1.582 %)	           0.858 ( 2.539 %)	           0.528 ( 1.704 %)	           0.006 ( 0.114 %)
           0.445 ( 0.780 %)	           0.784 ( 2.322 %)	           0.484 ( 1.423 %)	           0.532 ( 1.718 %)	           0.006 ( 0.122 %)
           0.596 ( 1.044 %)	           0.539 ( 1.583 %)	           1.037 ( 3.115 %)	           0.394 ( 1.274 %)	           0.008 ( 0.152 %)
           0.502 ( 0.875 %)	           0.608 ( 1.785 %)	           1.985 ( 5.814 %)	           0.389 ( 1.258 %)	           0.044 ( 0.730 %)
           0.511 ( 0.892 %)	           0.362 ( 1.065 %)	           0.890 ( 2.634 %)	           0.375 ( 1.212 %)	       17407.766 (-575.483 %)
           0.401 ( 0.703 %)	           0.983 ( 2.943 %)	           0.885 ( 2.618 %)	           0.510 ( 1.648 %)	           0.007 ( 0.130 %)
           0.584 ( 1.021 %)	           1.012 ( 3.040 %)	           0.466 ( 1.370 %)	           0.856 ( 2.762 %)	           0.005 ( 0.093 %)
