rapid	1.009765625^1000	1712926910.60007905960083008	1712926910.88757228851318359
rapid	1.0078125^1000	1712926987.24935531616210938	1712926987.53574109077453613
rapid	1.0029296875^1000	1712927071.07939410209655762	1712927071.35805463790893555
rapid	1.009765625^1000	1712927147.60118460655212402	1712927147.88909506797790527
rapid	1.0068359375^1000	1712927224.52303791046142578	1712927224.80249977111816406
rapid	1.009765625^1000	1712927301.04031634330749512	1712927301.31738829612731934
rapid	1.001953125^1000	1712927377.61804342269897461	1712927377.90371990203857422
rapid	1.0078125^1000	1712927454.11135482788085938	1712927454.38969874382019043
rapid	1.0068359375^1000	1712927530.83685827255249023	1712927531.11713576316833496
rapid	1.001953125^1000	1712927607.40704941749572754	1712927607.68959999084472656
rapid	1.0029296875^1000	1712927684.02240300178527832	1712927684.30617427825927734
rapid	1.0048828125^1000	1712927760.63842511177062988	1712927760.92496943473815918
rapid	1.0078125^1000	1712927837.43967652320861816	1712927837.72069883346557617
rapid	1.001953125^1000	1712927914.05547976493835449	1712927914.33337736129760742
rapid	1.001953125^1000	1712927990.29093933105468750	1712927990.57102251052856445
rapid	1.0068359375^1000	1712928066.87620282173156738	1712928067.15565824508666992
rapid	1.00390625^1000	1712928143.34109997749328613	1712928143.62620520591735840
rapid	1.001953125^1000	1712928219.67673873901367188	1712928219.96289277076721191
rapid	1.0029296875^1000	1712928295.85513830184936523	1712928296.13483333587646484
rapid	1.001953125^1000	1712928372.75746989250183105	1712928373.04038619995117188
rapid	1.00390625^1000	1712928449.13684439659118652	1712928449.41826033592224121
rapid	1.0048828125^1000	1712928525.56718802452087402	1712928525.85124301910400391
rapid	1.0029296875^1000	1712928601.87320327758789062	1712928602.15105009078979492
rapid	1.001953125^1000	1712928678.23209905624389648	1712928678.51597166061401367
rapid	1.0009765625^1000	1712928754.56867599487304688	1712928754.84836053848266602
rapid	1.001953125^1000	1712928830.79281926155090332	1712928831.07011747360229492
rapid	1.00390625^1000	1712928914.82521462440490723	1712928915.10850524902343750
rapid	1.009765625^1000	1712928990.96818566322326660	1712928991.25577878952026367
rapid	1.009765625^1000	1712929067.37726974487304688	1712929067.65640258789062500
rapid	1.001953125^1000	1712929144.08850836753845215	1712929144.36999535560607910
rapid	1.001953125^1000	1712929220.35323190689086914	1712929220.63574886322021484
rapid	1.0048828125^1000	1712929296.92733621597290039	1712929297.20387911796569824
rapid	1.005859375^1000	1712929373.30966138839721680	1712929373.59124183654785156
rapid	1.009765625^1000	1712929449.71958684921264648	1712929450.00537657737731934
rapid	1.00390625^1000	1712929525.99848747253417969	1712929526.27595925331115723
rapid	1.001953125^1000	1712929602.33610248565673828	1712929602.61538815498352051
rapid	1.0087890625^1000	1712929678.74008202552795410	1712929679.02383279800415039
rapid	1.0068359375^1000	1712929755.89064049720764160	1712929756.16945886611938477
rapid	1.0068359375^1000	1712929832.41173219680786133	1712929832.69063878059387207
rapid	1.0087890625^1000	1712929909.32068538665771484	1712929909.60317730903625488
rapid	1.0009765625^1000	1712929985.98773598670959473	1712929986.26613330841064453
rapid	1.0068359375^1000	1712930061.93267631530761719	1712930062.21091747283935547
rapid	1.0029296875^1000	1712930138.17336559295654297	1712930138.45251965522766113
rapid	1.0048828125^1000	1712930214.34806537628173828	1712930214.63244509696960449
rapid	1.0048828125^1000	1712930290.72251319885253906	1712930291.00143957138061523
rapid	1.0068359375^1000	1712930367.39911270141601562	1712930367.67994928359985352
rapid	1.0048828125^1000	1712930444.13816499710083008	1712930444.41888475418090820
rapid	1.009765625^1000	1712930520.54914402961730957	1712930520.82786440849304199
rapid	1.00390625^1000	1712930597.00997042655944824	1712930597.28904700279235840
rapid	1.0087890625^1000	1712930673.67600774765014648	1712930673.95751619338989258
