1.000000 1.000000 1.000000
1.000000 1.130000 0.983333
1.013000 1.258867 0.968411
1.037587 1.388418 0.955339
1.072670 1.520259 0.944270
1.117429 1.655828 0.935396
1.171269 1.796432 0.928955
1.233785 1.943277 0.925224
1.304734 2.097497 0.924527
1.384011 2.260170 0.927240
1.471626 2.432336 0.933795
1.567697 2.615015 0.944688
1.672429 2.809210 0.960492
1.786107 3.015918 0.981861
1.909088 3.236138 1.009546
2.041793 3.470867 1.044405
2.184701 3.721103 1.087422
2.338341 3.987840 1.139719
2.503291 4.272062 1.202576
2.680168 4.574731 1.277450
2.869624 4.896771 1.365995
3.072339 5.239048 1.470087
3.289010 5.602343 1.591846
3.520343 5.987315 1.733659
3.767040 6.394462 1.898202
4.029783 6.824068 2.088465
4.309211 7.276134 2.307768
4.605904 7.750307 2.559771
4.920344 8.245789 2.848482
5.252888 8.761228 3.178244
5.603722 9.294599 3.553708
5.972810 9.843071 3.979786
6.359836 10.402857 4.461566
6.764138 10.969055 5.004196
7.184630 11.535495 5.612712
7.619717 12.094582 6.291822
8.067204 12.637175 7.045613
8.524200 13.152499 7.877197
8.987030 13.628137 8.788283
9.451140 14.050104 9.778694
9.911036 14.403076 10.845824
10.360241 14.670767 11.984097
10.791293 14.836514 13.184447
11.195815 14.884071 14.433913
11.564641 14.798609 15.715402
11.888038 14.567889 17.007730
12.156023 14.183531 18.286028
12.358774 13.642245 19.522554
12.487122 12.946891 20.687967
12.533098 12.107159 21.752983
12.490504 11.139729 22.690306
12.355427 10.067774 23.476639
12.126661 8.919771 24.094511
11.805972 7.727713 24.533661
11.398147 6.524895 24.791761
10.910822 5.343566 24.874365
10.354096 4.212756 24.794075
9.739963 3.156541 24.569092
9.081620 2.192949 24.221361
8.392754 1.333571 23.774614
7.686835 0.583803 23.252548
6.976532 -0.056394 22.677357
6.273239 -0.591444 22.068693
5.586771 -1.028965 21.443092
4.925198 -1.378636 20.813791
4.294814 -1.651191 20.190857
3.700214 -1.857617 19.581518
3.144431 -2.008566 18.990608
2.629131 -2.113963 18.421034
2.154821 -2.182766 17.874228
1.721063 -2.222873 17.350546
1.326669 -2.241099 16.849607
0.969892 -2.243226 16.370552
0.648580 -2.234087 15.912247
0.360314 -2.217663 15.473431
0.102516 -2.197192 15.052815
-0.127455 -2.175274 14.649155
-0.332237 -2.153968 14.261283
-0.514410 -2.134883 13.888139
-0.676457 -2.119254 13.528770
-0.820737 -2.108013 13.182339
-0.949464 -2.101851 12.848111
-1.064703 -2.101264 12.525452
-1.168359 -2.106598 12.213812
-1.262183 -2.118085 11.912723
-1.347773 -2.135871 11.621784
-1.426583 -2.160043 11.340656
-1.499929 -2.190647 11.069054
-1.569001 -2.227702 10.806737
-1.634871 -2.271217 10.553510
-1.698506 -2.321199 10.309215
-1.760775 -2.377661 10.073728
-1.822464 -2.440625 9.846960
-1.884280 -2.510131 9.628854
-1.946865 -2.586237 9.419382
-2.010802 -2.669021 9.218549
-2.076624 -2.758585 9.026389
-2.144820 -2.855048 8.842971
-2.215843 -2.958555 8.668394
-2.290114 -3.069268 8.502794
-2.368029 -3.187369 8.346343
-2.449963 -3.313056 8.199252
-2.536273 -3.446541 8.061774
-2.627299 -3.588048 7.934207
-2.723374 -3.737807 7.816897
-2.824817 -3.896051 7.710241
-2.931941 -4.063013 7.614691
-3.045048 -4.238916 7.530758
-3.164435 -4.423969 7.459015
-3.290388 -4.618359 7.400102
-3.423185 -4.822241 7.354728
-3.563091 -5.035731 7.323676
-3.710355 -5.258888 7.307806
-3.865208 -5.491707 7.308054
-4.027858 -5.734099 7.325438
-4.198483 -5.985879 7.361055
-4.377222 -6.246740 7.416076
-4.564174 -6.516238 7.491748
