naif	1.2676506002282294e+30	1712144562.74222683906555176	1712144562.86848211288452148
naif	1.2676506002282294e+30	1712144567.52496790885925293	1712144567.64515614509582520
naif	1.2676506002282294e+30	1712144572.12808203697204590	1712144572.25355505943298340
naif	1.2676506002282294e+30	1712144576.92080998420715332	1712144577.03806805610656738
naif	1.2676506002282294e+30	1712144581.49304080009460449	1712144581.60890913009643555
naif	1.2676506002282294e+30	1712144586.09604597091674805	1712144586.22844386100769043
naif	1.2676506002282294e+30	1712144590.88563990592956543	1712144590.99713516235351562
naif	1.2676506002282294e+30	1712144595.61701607704162598	1712144595.74425292015075684
naif	1.2676506002282294e+30	1712144600.29258179664611816	1712144600.41879701614379883
naif	1.2676506002282294e+30	1712144604.98817801475524902	1712144605.10915398597717285
naif	1.2676506002282294e+30	1712144609.46689414978027344	1712144609.58642101287841797
naif	1.2676506002282294e+30	1712144613.89144396781921387	1712144614.00964713096618652
naif	1.2676506002282294e+30	1712144618.27888584136962891	1712144618.39975404739379883
naif	1.2676506002282294e+30	1712144622.71769595146179199	1712144622.83410000801086426
naif	1.2676506002282294e+30	1712144627.10562682151794434	1712144627.22066903114318848
naif	1.2676506002282294e+30	1712144631.64527416229248047	1712144631.76526904106140137
naif	1.2676506002282294e+30	1712144636.14798808097839355	1712144636.26435303688049316
naif	1.2676506002282294e+30	1712144640.57442212104797363	1712144640.69440698623657227
naif	1.2676506002282294e+30	1712144645.01875305175781250	1712144645.13705301284790039
naif	1.2676506002282294e+30	1712144649.51101398468017578	1712144649.63731884956359863
