naif	1.2676506002282294e+30	1712145336.53900289535522461	1712145336.66302585601806641
rapid	1.2676506002282294e+30	1712145336.66312193870544434	1712145336.68451309204101562
naif	1.2676506002282294e+30	1712145341.13922190666198730	1712145341.25536584854125977
rapid	1.2676506002282294e+30	1712145341.25546503067016602	1712145341.27644896507263184
naif	1.2676506002282294e+30	1712145345.81473684310913086	1712145345.94073009490966797
rapid	1.2676506002282294e+30	1712145345.94082784652709961	1712145345.96302199363708496
naif	1.2676506002282294e+30	1712145350.33096504211425781	1712145350.44636487960815430
rapid	1.2676506002282294e+30	1712145350.44645595550537109	1712145350.46654319763183594
naif	1.2676506002282294e+30	1712145354.73161077499389648	1712145354.84988498687744141
rapid	1.2676506002282294e+30	1712145354.84998083114624023	1712145354.87008595466613770
naif	1.2676506002282294e+30	1712145359.25887703895568848	1712145359.37673711776733398
rapid	1.2676506002282294e+30	1712145359.37683510780334473	1712145359.39712095260620117
naif	1.2676506002282294e+30	1712145363.76906180381774902	1712145363.88299202919006348
rapid	1.2676506002282294e+30	1712145363.88308715820312500	1712145363.90287685394287109
naif	1.2676506002282294e+30	1712145368.27706694602966309	1712145368.39567589759826660
rapid	1.2676506002282294e+30	1712145368.39577603340148926	1712145368.41599011421203613
naif	1.2676506002282294e+30	1712145372.86500000953674316	1712145372.98460102081298828
rapid	1.2676506002282294e+30	1712145372.98470401763916016	1712145373.00527787208557129
naif	1.2676506002282294e+30	1712145377.34430789947509766	1712145377.45726490020751953
rapid	1.2676506002282294e+30	1712145377.45736598968505859	1712145377.47756600379943848
naif	1.2676506002282294e+30	1712145381.78715491294860840	1712145381.90392494201660156
rapid	1.2676506002282294e+30	1712145381.90401411056518555	1712145381.92414593696594238
naif	1.2676506002282294e+30	1712145386.20283484458923340	1712145386.32281303405761719
rapid	1.2676506002282294e+30	1712145386.32291984558105469	1712145386.34316205978393555
naif	1.2676506002282294e+30	1712145390.67488789558410645	1712145390.79037308692932129
rapid	1.2676506002282294e+30	1712145390.79046702384948730	1712145390.81069993972778320
naif	1.2676506002282294e+30	1712145395.09293317794799805	1712145395.20800805091857910
rapid	1.2676506002282294e+30	1712145395.20811223983764648	1712145395.22840023040771484
naif	1.2676506002282294e+30	1712145399.64115619659423828	1712145399.76747488975524902
rapid	1.2676506002282294e+30	1712145399.76756501197814941	1712145399.78933095932006836
naif	1.2676506002282294e+30	1712145404.01820492744445801	1712145404.13160085678100586
rapid	1.2676506002282294e+30	1712145404.13169002532958984	1712145404.15177297592163086
naif	1.2676506002282294e+30	1712145408.43750000000000000	1712145408.55778002738952637
rapid	1.2676506002282294e+30	1712145408.55788707733154297	1712145408.57804584503173828
naif	1.2676506002282294e+30	1712145412.90833902359008789	1712145413.02595996856689453
rapid	1.2676506002282294e+30	1712145413.02606105804443359	1712145413.04770898818969727
naif	1.2676506002282294e+30	1712145417.35373306274414062	1712145417.47480010986328125
rapid	1.2676506002282294e+30	1712145417.47489309310913086	1712145417.49537205696105957
naif	1.2676506002282294e+30	1712145421.81520199775695801	1712145421.93560385704040527
rapid	1.2676506002282294e+30	1712145421.93569397926330566	1712145421.95690298080444336
naif	1.2676506002282294e+30	1712145426.23179697990417480	1712145426.35475301742553711
rapid	1.2676506002282294e+30	1712145426.35484790802001953	1712145426.37504410743713379
naif	1.2676506002282294e+30	1712145430.85815000534057617	1712145430.98233294486999512
rapid	1.2676506002282294e+30	1712145430.98243713378906250	1712145431.00419497489929199
naif	1.2676506002282294e+30	1712145435.36486506462097168	1712145435.47957396507263184
rapid	1.2676506002282294e+30	1712145435.47967004776000977	1712145435.49985694885253906
naif	1.2676506002282294e+30	1712145439.86498904228210449	1712145439.98860287666320801
rapid	1.2676506002282294e+30	1712145439.98870706558227539	1712145440.00954103469848633
naif	1.2676506002282294e+30	1712145444.42654800415039062	1712145444.55114603042602539
rapid	1.2676506002282294e+30	1712145444.55124711990356445	1712145444.57193183898925781
naif	1.2676506002282294e+30	1712145448.89530110359191895	1712145449.01201415061950684
rapid	1.2676506002282294e+30	1712145449.01216197013854980	1712145449.03208708763122559
naif	1.2676506002282294e+30	1712145453.46060299873352051	1712145453.59888315200805664
rapid	1.2676506002282294e+30	1712145453.59899592399597168	1712145453.62164616584777832
naif	1.2676506002282294e+30	1712145459.03665089607238770	1712145459.16762018203735352
rapid	1.2676506002282294e+30	1712145459.16784691810607910	1712145459.19006896018981934
naif	1.2676506002282294e+30	1712145463.72333693504333496	1712145463.83828878402709961
rapid	1.2676506002282294e+30	1712145463.83838009834289551	1712145463.85812997817993164
naif	1.2676506002282294e+30	1712145468.22332501411437988	1712145468.34222602844238281
rapid	1.2676506002282294e+30	1712145468.34231615066528320	1712145468.36352515220642090
naif	1.2676506002282294e+30	1712145472.79551196098327637	1712145472.92499399185180664
rapid	1.2676506002282294e+30	1712145472.92509603500366211	1712145472.94637584686279297
naif	1.2676506002282294e+30	1712145477.37511491775512695	1712145477.49391484260559082
rapid	1.2676506002282294e+30	1712145477.49400401115417480	1712145477.51438999176025391
naif	1.2676506002282294e+30	1712145482.01332092285156250	1712145482.13253188133239746
rapid	1.2676506002282294e+30	1712145482.13261890411376953	1712145482.15315294265747070
