     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.994e+18;          33.163;          46.367;          34.493;           3.411 ( 9.889 %)
  naif_ite;         10;      10000;       3.178e+15;           3.498;           3.998;           3.515;           0.087 ( 2.465 %)
  rapi_rec;         10;      10000;       8.440e+15;          16.846;          17.111;          16.981;           0.042 ( 0.246 %)
  rapi_ite;         10;      10000;       8.171e+11;           7.721;          13.652;           9.509;           1.748 (18.388 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.705e+10;          32.008;          44.556;          34.668;           3.002 ( 8.659 %)
  naif_ite;         10;      10000;       1.373e+22;           3.497;           3.513;           3.500;           0.003 ( 0.076 %)
  rapi_rec;         10;      10000;       2.485e+14;          16.974;          18.120;          17.298;           0.216 ( 1.249 %)
  rapi_ite;         10;      10000;       2.126e+27;           7.722;           8.384;           7.860;           0.189 ( 2.410 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       5.808e+09;          32.010;          48.922;          34.866;           3.460 ( 9.923 %)
  naif_ite;         10;      10000;       4.142e+25;           3.497;           3.512;           3.500;           0.003 ( 0.072 %)
  rapi_rec;         10;      10000;       4.489e+10;          16.843;          28.532;          20.759;           3.103 (14.947 %)
  rapi_ite;         10;      10000;       1.706e+13;           7.809;          16.147;          10.308;           2.380 (23.087 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.912e+11;          32.009;          47.606;          35.919;           3.663 (10.197 %)
  naif_ite;         10;      10000;       3.422e+16;           3.496;           5.043;           3.693;           0.370 (10.021 %)
  rapi_rec;         10;      10000;       3.337e+21;          17.051;          26.399;          19.128;           2.402 (12.555 %)
  rapi_ite;         10;      10000;       4.542e+29;           7.720;           9.321;           8.014;           0.359 ( 4.478 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       5.722e+20;          32.007;          46.276;          35.018;           3.750 (10.708 %)
  naif_ite;         10;      10000;       6.201e+14;           3.498;           6.673;           4.082;           0.763 (18.692 %)
  rapi_rec;         10;      10000;       2.774e+28;          16.971;          17.567;          17.169;           0.207 ( 1.207 %)
  rapi_ite;         10;      10000;       9.707e+13;           7.719;          14.142;           8.543;           1.647 (19.273 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.604e+15;          32.007;          43.841;          34.284;           3.013 ( 8.787 %)
  naif_ite;         10;      10000;       2.430e+22;           3.499;           6.066;           4.226;           0.693 (16.389 %)
